旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Nine Hours Sendai,仙台9小時膠囊旅館,Agoda.com,【特惠】2間膠囊房 - 限女性,1160,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Booking.com,特別優惠- 男性膠囊間 - 不退款 - 免費WiFi,1307,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Agoda.com,【特惠】2間膠囊房 - 限男性,1160,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Agoda.com,2間膠囊房 - 限女性,1307,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Agoda.com,2間膠囊房 - 限男性,1307,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Booking.com,特別優惠- 女性膠囊間 - 不退款 - 免費WiFi,1307,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Hotels.com,"標準客房, 僅限男士 (2 Rooms - Special Offer) (免費無線上網)",1274,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Hotels.com,"標準客房, 僅限女士 (2 Rooms - Special Offer) (免費無線上網)",1274,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Expedia.com.tw,"標準客房, 僅限男士 (2 Rooms - Special Offer) (免費無線上網)",1307,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Expedia.com.tw,"標準客房, 僅限女士 (2 Rooms - Special Offer) (免費無線上網)",1307,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Priceline.com,特別優惠- 男性膠囊間 - 不退款 - 免費WiFi,1307,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Priceline.com,特別優惠- 女性膠囊間 - 不退款 - 免費WiFi,1307,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Jalan.net,單人,1304,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Trip.com,單人房,1342,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Booking.com,男性膠囊室 - 不退款 - 免費WiFi,1634,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Booking.com,Capsule客房，只供女士入住 - 不退款 - 免費WiFi,1634,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Hotels.com,"標準客房, 僅限女士 (2 Rooms) (免費無線上網)",1592,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Hotels.com,"標準客房, 僅限男士 (2 Rooms) (免費無線上網)",1592,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Expedia.com.tw,"標準客房, 僅限女士 (2 Rooms) (免費無線上網)",1634,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Expedia.com.tw,"標準客房, 僅限男士 (2 Rooms) (免費無線上網)",1634,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Priceline.com,男性膠囊室 - 不退款 - 免費WiFi,1634,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Priceline.com,Capsule客房，只供女士入住 - 不退款 - 免費WiFi,1634,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Booking.com,特別優惠- 女性膠囊間 - 不退款 - 免費WiFi,1743,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Booking.com,特別優惠- 男性膠囊間 - 不退款 - 免費WiFi,1743,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Priceline.com,特別優惠- 女性膠囊間 - 不退款 - 免費WiFi,1743,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Priceline.com,特別優惠- 男性膠囊間 - 不退款 - 免費WiFi,1743,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Trip.com,單人房,2236,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Booking.com,男性膠囊室 - 不退款 - 免費WiFi,2179,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Booking.com,Capsule客房，只供女士入住 - 不退款 - 免費WiFi,2179,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Hotels.com,"標準客房, 僅限男士 (2 Rooms) (免費早餐, 免費無線上網)",2123,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Hotels.com,"標準客房, 僅限女士 (2 Rooms) (免費早餐, 免費無線上網)",2123,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Expedia.com.tw,"標準客房, 僅限男士 (2 Rooms) (免費早餐, 免費無線上網)",2179,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Expedia.com.tw,"標準客房, 僅限女士 (2 Rooms) (免費早餐, 免費無線上網)",2179,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Priceline.com,男性膠囊室 - 不退款 - 免費WiFi,2179,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Priceline.com,Capsule客房，只供女士入住 - 不退款 - 免費WiFi,2179,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Booking.com,特別優惠- 男性兩間膠囊房間 - 單人用 - 不退款 - 免費WiFi,2615,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Booking.com,特別優惠- 女性兩間膠囊間 - 單人用 - 不退款 - 免費WiFi,2615,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
Nine Hours Sendai,仙台9小時膠囊旅館,Priceline.com,特別優惠- 男性兩間膠囊房間 - 單人用 - 不退款 - 免費WiFi,2615,"國分町2-2-8, 青葉区, 仙台, 宮城縣, 日本"
