旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Central Hotel Sasebo,佐世保中央飯店,Agoda.com,行政房(兩床) - 禁菸,3974,"上京町3番2號, 佐世保, 長崎縣, 日本"
Central Hotel Sasebo,佐世保中央飯店,Jalan.net,兩小床,4347,"上京町3番2號, 佐世保, 長崎縣, 日本"
Central Hotel Sasebo,佐世保中央飯店,Agoda.com,行政房(兩床) - 禁菸,4746,"上京町3番2號, 佐世保, 長崎縣, 日本"
Central Hotel Sasebo,佐世保中央飯店,Agoda.com,Executive Twin Room 26 to 30 Sq M,4848,"上京町3番2號, 佐世保, 長崎縣, 日本"
Central Hotel Sasebo,佐世保中央飯店,Agoda.com,Standard Double Room,4848,"上京町3番2號, 佐世保, 長崎縣, 日本"
Central Hotel Sasebo,佐世保中央飯店,Hotel.info,最優惠可訂房價格,4648,"上京町3番2號, 佐世保, 長崎縣, 日本"
Central Hotel Sasebo,佐世保中央飯店,Jalan.net,雙人,4673,"上京町3番2號, 佐世保, 長崎縣, 日本"
Central Hotel Sasebo,佐世保中央飯店,Jalan.net,和洋混合式,4673,"上京町3番2號, 佐世保, 長崎縣, 日本"
Central Hotel Sasebo,佐世保中央飯店,Agoda.com,New Wing Special Semi Western-Style Room 76 to 80 Sq M,9923,"上京町3番2號, 佐世保, 長崎縣, 日本"
Hotel Okura JR Huis Ten Bosch,JR豪斯登堡大倉飯店,Agoda.com,Standard Mountain View Twin Room Lower Floor,5807,"豪斯登堡町10, 佐世保, 長崎縣, 日本"
Hotel Okura JR Huis Ten Bosch,JR豪斯登堡大倉飯店,Rakuten.Travel,標準山景雙床間低層,5658,"豪斯登堡町10, 佐世保, 長崎縣, 日本"
Hotel Okura JR Huis Ten Bosch,JR豪斯登堡大倉飯店,Rakuten.Travel,標準山景雙床間低層,5713,"豪斯登堡町10, 佐世保, 長崎縣, 日本"
Hotel Okura JR Huis Ten Bosch,JR豪斯登堡大倉飯店,Jalan.net,兩小床,5652,"豪斯登堡町10, 佐世保, 長崎縣, 日本"
Hotel Okura JR Huis Ten Bosch,JR豪斯登堡大倉飯店,Agoda.com,Superior Twin Room,6058,"豪斯登堡町10, 佐世保, 長崎縣, 日本"
Hotel Okura JR Huis Ten Bosch,JR豪斯登堡大倉飯店,Agoda.com,Standard Mountain View Twin Room Lower Floor-Highly Recommended! Room Only Plan-NonSmoking,6591,"豪斯登堡町10, 佐世保, 長崎縣, 日本"
Hotel Okura JR Huis Ten Bosch,JR豪斯登堡大倉飯店,Agoda.com,Twin Room,6616,"豪斯登堡町10, 佐世保, 長崎縣, 日本"
Hotel Okura JR Huis Ten Bosch,JR豪斯登堡大倉飯店,Rakuten.Travel,標準花園景雙床間低層,6475,"豪斯登堡町10, 佐世保, 長崎縣, 日本"
Hotel Okura JR Huis Ten Bosch,JR豪斯登堡大倉飯店,Rakuten.Travel,高級花園景好萊塢雙床間中層,6801,"豪斯登堡町10, 佐世保, 長崎縣, 日本"
