旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Hotel Gran Spa,格蘭Spa酒店,Booking.com,家庭房（3位成人） - 不退款 - 免費WiFi,6327,"中町2-1, 八王子, 東京都, 日本"
Hotel Gran Spa,格蘭Spa酒店,Priceline.com,家庭房（3位成人） - 不退款 - 免費WiFi,6327,"中町2-1, 八王子, 東京都, 日本"
Hotel Gran Spa,格蘭Spa酒店,Booking.com,家庭房（3位成人） - 不退款 - 免費WiFi,6768,"中町2-1, 八王子, 東京都, 日本"
Hotel Gran Spa,格蘭Spa酒店,Priceline.com,家庭房（3位成人） - 不退款 - 免費WiFi,6768,"中町2-1, 八王子, 東京都, 日本"
Hotel Gran Spa,格蘭Spa酒店,Booking.com,家庭房（4位成人） - 免費WiFi,7357,"中町2-1, 八王子, 東京都, 日本"
Hotel Gran Spa,格蘭Spa酒店,Booking.com,家庭房（4位成人） - 免費WiFi,7945,"中町2-1, 八王子, 東京都, 日本"
Hotel Gran Spa,格蘭Spa酒店,Priceline.com,家庭房（4位成人） - 免費WiFi,7357,"中町2-1, 八王子, 東京都, 日本"
Hotel Gran Spa,格蘭Spa酒店,Priceline.com,家庭房（4位成人） - 免費WiFi,7945,"中町2-1, 八王子, 東京都, 日本"
Tokyo8home Hachioji,,Agoda.com,Economy Triple Room with Shared Bathroom,2859,"Nakacho 12-10, 八王子, 東京都, 日本"
Tokyo8home Hachioji,,Booking.com,日式家庭房 - 附共用浴室 - 免費WiFi,2861,"Nakacho 12-10, 八王子, 東京都, 日本"
Tokyo8home Hachioji,,Booking.com,家庭間- 帶雙層床和共用浴室 - 免費WiFi,2861,"Nakacho 12-10, 八王子, 東京都, 日本"
Tokyo8home Hachioji,,Priceline.com,日式家庭房 - 附共用浴室 - 免費WiFi,2861,"Nakacho 12-10, 八王子, 東京都, 日本"
Tokyo8home Hachioji,,Priceline.com,家庭間- 帶雙層床和共用浴室 - 免費WiFi,2861,"Nakacho 12-10, 八王子, 東京都, 日本"
Central Hotel Hachiouji,八王子中央酒店 - 八王子,Agoda.com,小型雙人房 - 禁菸,1498,"Ueno-machi 6-7, 八王子, 東京都, 日本"
Central Hotel Hachiouji,八王子中央酒店 - 八王子,Booking.com,雙人房 - 附小型雙人床 - 可吸菸 - 不退款 - 免費WiFi,1874,"Ueno-machi 6-7, 八王子, 東京都, 日本"
Central Hotel Hachiouji,八王子中央酒店 - 八王子,Agoda.com,小型雙人房 - 可吸菸,1498,"Ueno-machi 6-7, 八王子, 東京都, 日本"
Central Hotel Hachiouji,八王子中央酒店 - 八王子,Agoda.com,雙人房 - 禁菸,1650,"Ueno-machi 6-7, 八王子, 東京都, 日本"
Central Hotel Hachiouji,八王子中央酒店 - 八王子,Agoda.com,好萊塢客房(兩床) - 可吸菸,1759,"Ueno-machi 6-7, 八王子, 東京都, 日本"
