旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Hotel Kikuya Hakodate,菊屋酒店,Agoda.com,半雙人房,1281,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Agoda.com,標準房(兩床),1552,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Trip.com,小間大床房,1451,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Trip.com,小間大床房,1504,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Agoda.com,日式客房A,1700,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Agoda.com,日式客房B,1799,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Trip.com,雙床房,1755,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Trip.com,雙床房,1850,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Trip.com,日式房A,1850,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Hotels.com,"標準客房, 1 張小型雙人床 (免費早餐, 免費無線上網)",1725,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Expedia.com.tw,"標準客房, 1 張小型雙人床 (免費早餐, 免費無線上網)",1717,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Trip.com,日式房B,1966,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Trip.com,和洋室,2035,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Hotels.com,"傳統客房 (Japanese Style) (免費早餐, 免費無線上網)",2123,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Hotels.com,"雙人房, 2 張單人床 (免費早餐, 免費無線上網)",2123,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Expedia.com.tw,"傳統客房 (Japanese Style) (免費早餐, 免費無線上網)",2114,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Expedia.com.tw,"雙人房, 2 張單人床 (免費早餐, 免費無線上網)",2114,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Hotels.com,"傳統客房 (Japanese Western Style) (免費早餐, 免費無線上網)",2335,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Expedia.com.tw,"傳統客房 (Japanese Western Style) (免費早餐, 免費無線上網)",2325,"若松町8-23, 函館, 北海道, 日本"
Hotel Kikuya Hakodate,菊屋酒店,Agoda.com,和洋室客房,2859,"若松町8-23, 函館, 北海道, 日本"
Hotel Sharoum Inn 2,和平飯店,Agoda.com,小型雙人房 - 禁菸,1325,"若松町30番19號, 函館, 北海道, 日本"
Hotel Sharoum Inn 2,和平飯店,Booking.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,1433,"若松町30番19號, 函館, 北海道, 日本"
Hotel Sharoum Inn 2,和平飯店,Agoda.com,Standard Semi-Double Room Non-Smoking,1468,"若松町30番19號, 函館, 北海道, 日本"
Hotel Sharoum Inn 2,和平飯店,Trip.com,小間大床房,1373,"若松町30番19號, 函館, 北海道, 日本"
Hotel Sharoum Inn 2,和平飯店,Priceline.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,1433,"若松町30番19號, 函館, 北海道, 日本"
Hotel Sharoum Inn 2,和平飯店,Hotel.info,最優惠可訂房價格,1313,"若松町30番19號, 函館, 北海道, 日本"
Hotel Sharoum Inn 2,和平飯店,Agoda.com,雙人房,1678,"若松町30番19號, 函館, 北海道, 日本"
Hotel Sharoum Inn 2,和平飯店,Agoda.com,Standard Double Room,1860,"若松町30番19號, 函館, 北海道, 日本"
Hotel Sharoum Inn 2,和平飯店,Trip.com,小間大床房,1740,"若松町30番19號, 函館, 北海道, 日本"
Hotel Sharoum Inn 2,和平飯店,Trip.com,客房,1790,"若松町30番19號, 函館, 北海道, 日本"
Hotel Sharoum Inn 2,和平飯店,Booking.com,雙人房 - 不退款 - 免費WiFi,1815,"若松町30番19號, 函館, 北海道, 日本"
Hotel Sharoum Inn 2,和平飯店,Priceline.com,雙人房 - 不退款 - 免費WiFi,1815,"若松町30番19號, 函館, 北海道, 日本"
Hotel Sharoum Inn 2,和平飯店,Trip.com,客房,2160,"若松町30番19號, 函館, 北海道, 日本"
Smile Hotel Hakodate,函館微笑酒店,Agoda.com,Semi-Double Room,1973,"若松町20-11, 函館, 北海道, 日本"
Smile Hotel Hakodate,函館微笑酒店,Booking.com,雙床房－禁菸 - 不退款 - 免費WiFi,2997,"若松町20-11, 函館, 北海道, 日本"
Smile Hotel Hakodate,函館微笑酒店,Agoda.com,小型雙人房 - 可吸菸,1973,"若松町20-11, 函館, 北海道, 日本"
Smile Hotel Hakodate,函館微笑酒店,Agoda.com,Semi-Double Room-Highly Recommended! Room Only Plan-NonSmoking,2091,"若松町20-11, 函館, 北海道, 日本"
Smile Hotel Hakodate,函館微笑酒店,Agoda.com,Semi-Double Room-Highly Recommended! Room Only Plan-Smoking,2091,"若松町20-11, 函館, 北海道, 日本"
Smile Hotel Hakodate,函館微笑酒店,Trip.com,小型雙人房,2000,"若松町20-11, 函館, 北海道, 日本"
Smile Hotel Hakodate,函館微笑酒店,Agoda.com,小型雙人房 - 可吸菸,2179,"若松町20-11, 函館, 北海道, 日本"
Smile Hotel Hakodate,函館微笑酒店,Trip.com,小型雙人房,2286,"若松町20-11, 函館, 北海道, 日本"
Smile Hotel Hakodate,函館微笑酒店,Hotel.info,最優惠可訂房價格,2162,"若松町20-11, 函館, 北海道, 日本"
Smile Hotel Hakodate,函館微笑酒店,hrs.com,最優惠可訂房價格,2161,"若松町20-11, 函館, 北海道, 日本"
Smile Hotel Hakodate,函館微笑酒店,Trip.com,雙人房,2449,"若松町20-11, 函館, 北海道, 日本"
