旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Umikaoru Yado Hotel New Matsumi,新松實酒店,Trip.com,海景日式雙床房,3946,"北濱3丁目14-8, 別府, 大分縣, 日本"
Umikaoru Yado Hotel New Matsumi,新松實酒店,Trip.com,海景日式房,3990,"北濱3丁目14-8, 別府, 大分縣, 日本"
Umikaoru Yado Hotel New Matsumi,新松實酒店,Trip.com,城景雙床房,3990,"北濱3丁目14-8, 別府, 大分縣, 日本"
Umikaoru Yado Hotel New Matsumi,新松實酒店,Hotels.com,"傳統客房, 非吸煙房, 海景 (Japanese Style) (免費無線上網)",3964,"北濱3丁目14-8, 別府, 大分縣, 日本"
Umikaoru Yado Hotel New Matsumi,新松實酒店,Hotels.com,"雙床房, 非吸煙房, 城市景觀 (免費早餐, 免費無線上網)",3964,"北濱3丁目14-8, 別府, 大分縣, 日本"
Umikaoru Yado Hotel New Matsumi,新松實酒店,Hotels.com,"傳統客房, 海景 (Japanese Style with Ceramic Bath) (免費無線上網)",3964,"北濱3丁目14-8, 別府, 大分縣, 日本"
Umikaoru Yado Hotel New Matsumi,新松實酒店,Expedia.com.tw,"傳統客房, 非吸煙房, 海景 (Japanese Style) (免費無線上網)",3964,"北濱3丁目14-8, 別府, 大分縣, 日本"
Umikaoru Yado Hotel New Matsumi,新松實酒店,Expedia.com.tw,"雙床房, 非吸煙房, 城市景觀 (免費早餐, 免費無線上網)",3964,"北濱3丁目14-8, 別府, 大分縣, 日本"
Umikaoru Yado Hotel New Matsumi,新松實酒店,Expedia.com.tw,"傳統客房, 海景 (Japanese Style with Ceramic Bath) (免費無線上網)",3964,"北濱3丁目14-8, 別府, 大分縣, 日本"
Umikaoru Yado Hotel New Matsumi,新松實酒店,Trip.com,城景日式房,4253,"北濱3丁目14-8, 別府, 大分縣, 日本"
Umikaoru Yado Hotel New Matsumi,新松實酒店,Hotels.com,"傳統客房, 城市景觀 (Japanese Style) - Breakfast (免費早餐, 免費無線上網)",4223,"北濱3丁目14-8, 別府, 大分縣, 日本"
Umikaoru Yado Hotel New Matsumi,新松實酒店,Hotels.com,"家庭客房, 非吸煙房 (2 Single Beds and 3 Japanese Futon) - Breakfast (免費早餐, 免費無線上網)",4223,"北濱3丁目14-8, 別府, 大分縣, 日本"
Umikaoru Yado Hotel New Matsumi,新松實酒店,Expedia.com.tw,"傳統客房, 城市景觀 (Japanese Style) - Breakfast (免費早餐, 免費無線上網)",4223,"北濱3丁目14-8, 別府, 大分縣, 日本"
Umikaoru Yado Hotel New Matsumi,新松實酒店,Expedia.com.tw,"家庭客房, 非吸煙房 (2 Single Beds and 3 Japanese Futon) - Breakfast (免費早餐, 免費無線上網)",4223,"北濱3丁目14-8, 別府, 大分縣, 日本"
Umikaoru Yado Hotel New Matsumi,新松實酒店,Agoda.com,Twin Room,4466,"北濱3丁目14-8, 別府, 大分縣, 日本"
