旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Hotel Monterey Grasmere Osaka,大阪蒙特利格拉斯米爾酒店,直接跟飯店訂房,兩小床客房 - 包含Wi-Fi,5440,"湊町1-2-3, 浪速區, 大阪, 大阪府, 日本"
Hotel Monterey Grasmere Osaka,大阪蒙特利格拉斯米爾酒店,Booking.com,雙床房－禁菸 - 不退款 - 免費WiFi,6539,"湊町1-2-3, 浪速區, 大阪, 大阪府, 日本"
Hotel Monterey Grasmere Osaka,大阪蒙特利格拉斯米爾酒店,直接跟飯店訂房,兩小床客房 (城市景觀) - 包含Wi-Fi,5894,"湊町1-2-3, 浪速區, 大阪, 大阪府, 日本"
Hotel Monterey Grasmere Osaka,大阪蒙特利格拉斯米爾酒店,Expedia.com.tw,"雙床房, 非吸煙房 (免費無線上網)",5898,"湊町1-2-3, 浪速區, 大阪, 大阪府, 日本"
Hotel Monterey Grasmere Osaka,大阪蒙特利格拉斯米爾酒店,直接跟飯店訂房,"兩小床客房 - 包含Wi-Fi, 含早餐",6257,"湊町1-2-3, 浪速區, 大阪, 大阪府, 日本"
Hotel Monterey Grasmere Osaka,大阪蒙特利格拉斯米爾酒店,Agoda.com,市景房(兩床) - 禁菸,6137,"湊町1-2-3, 浪速區, 大阪, 大阪府, 日本"
Hotel Monterey Grasmere Osaka,大阪蒙特利格拉斯米爾酒店,Agoda.com,客房(兩床) - 禁菸,6173,"湊町1-2-3, 浪速區, 大阪, 大阪府, 日本"
Hotel Monterey Grasmere Osaka,大阪蒙特利格拉斯米爾酒店,Hotels.com,"雙床房, 非吸煙房 (免費無線上網)",5934,"湊町1-2-3, 浪速區, 大阪, 大阪府, 日本"
Hotel Monterey Grasmere Osaka,大阪蒙特利格拉斯米爾酒店,Hotels.com,"雙床房, 非吸煙房 (免費無線上網)",6283,"湊町1-2-3, 浪速區, 大阪, 大阪府, 日本"
Hotel Monterey Grasmere Osaka,大阪蒙特利格拉斯米爾酒店,Expedia.com.tw,"雙床房, 非吸煙房 (免費無線上網)",6245,"湊町1-2-3, 浪速區, 大阪, 大阪府, 日本"
Hotel Monterey Grasmere Osaka,大阪蒙特利格拉斯米爾酒店,Expedia.com.tw,"雙床房, 非吸煙房, 城市景觀 (免費無線上網)",6389,"湊町1-2-3, 浪速區, 大阪, 大阪府, 日本"
