旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
The Deer Park Inn,鹿園汽車旅館,Booking.com,6床男女混住宿舍的1張床位 - 單人用 - 不退款 - 免費WiFi,1515,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Booking.com,4床女性宿舍間的1張床位 - 單人用 - 不退款 - 免費WiFi,1515,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Priceline.com,6床男女混住宿舍的1張床位 - 單人用 - 不退款 - 免費WiFi,1515,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Priceline.com,4床女性宿舍間的1張床位 - 單人用 - 不退款 - 免費WiFi,1515,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Agoda.com,客房(兩床) - 需共用衛浴/禁菸,1898,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Agoda.com,雙人房 - 禁菸/需共用衛浴,1898,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Trip.com,客房公用浴室,1899,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Booking.com,雙床間- 帶共用浴室- 禁煙 - 不退款 - 免費WiFi,1899,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Booking.com,雙人間- 帶共用浴室- 禁止吸煙 - 不退款 - 免費WiFi,1899,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Priceline.com,雙床間- 帶共用浴室- 禁煙 - 不退款 - 免費WiFi,1899,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Priceline.com,雙人間- 帶共用浴室- 禁止吸煙 - 不退款 - 免費WiFi,1899,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Agoda.com,四人房 - 需共用衛浴,2587,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Booking.com,四人間- 帶共用浴室- 禁煙 - 不退款 - 免費WiFi,2588,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Priceline.com,四人間- 帶共用浴室- 禁煙 - 不退款 - 免費WiFi,2588,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Agoda.com,Family Room with Shared Bathroom,2859,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Booking.com,家庭間- 帶共用浴室 - 不退款 - 免費WiFi,2861,"春日野町158-5, 奈良, 奈良縣, 日本"
The Deer Park Inn,鹿園汽車旅館,Priceline.com,家庭間- 帶共用浴室 - 不退款 - 免費WiFi,2861,"春日野町158-5, 奈良, 奈良縣, 日本"
