旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Miyazaki Daiichi Hotel,宮崎第一飯店,Agoda.com,Standard Single Room Non-Smoking,1814,"橘通東5丁目4番14號, 宮崎, 宮崎縣, 日本"
Miyazaki Daiichi Hotel,宮崎第一飯店,Booking.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,2144,"橘通東5丁目4番14號, 宮崎, 宮崎縣, 日本"
Miyazaki Daiichi Hotel,宮崎第一飯店,Trip.com,單人房,1769,"橘通東5丁目4番14號, 宮崎, 宮崎縣, 日本"
Miyazaki Daiichi Hotel,宮崎第一飯店,Jalan.net,單人,1766,"橘通東5丁目4番14號, 宮崎, 宮崎縣, 日本"
Miyazaki Daiichi Hotel,宮崎第一飯店,Agoda.com,Standard Single Room Smoking,1954,"橘通東5丁目4番14號, 宮崎, 宮崎縣, 日本"
Miyazaki Daiichi Hotel,宮崎第一飯店,Agoda.com,Standard Semi-double Room,2093,"橘通東5丁目4番14號, 宮崎, 宮崎縣, 日本"
Miyazaki Daiichi Hotel,宮崎第一飯店,Trip.com,小間大床房,2041,"橘通東5丁目4番14號, 宮崎, 宮崎縣, 日本"
Miyazaki Daiichi Hotel,宮崎第一飯店,Hotels.com,"標準客房, 1 張小型雙人床, 吸煙房 (免費無線上網)",2088,"橘通東5丁目4番14號, 宮崎, 宮崎縣, 日本"
Miyazaki Daiichi Hotel,宮崎第一飯店,Hotels.com,"標準客房, 1 張小型雙人床, 非吸煙房 (免費無線上網)",2088,"橘通東5丁目4番14號, 宮崎, 宮崎縣, 日本"
Miyazaki Daiichi Hotel,宮崎第一飯店,Expedia.com.tw,"標準客房, 1 張小型雙人床, 吸煙房 (免費無線上網)",2080,"橘通東5丁目4番14號, 宮崎, 宮崎縣, 日本"
