旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Log Yukari Guest House,由緣LOG,Booking.com,男生宿舍房單人床位 - 不退款 - 免費WiFi,1089,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Booking.com,女性宿舍的單人床位 - 不退款 - 免費WiFi,1089,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Booking.com,雙人房－附共用衛浴 - 不退款 - 免費WiFi,1089,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Priceline.com,男生宿舍房單人床位 - 不退款 - 免費WiFi,1089,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Priceline.com,女性宿舍的單人床位 - 不退款 - 免費WiFi,1089,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Priceline.com,雙人房－附共用衛浴 - 不退款 - 免費WiFi,1089,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Booking.com,日式雙床間- 帶共用浴室 - 不退款 - 免費WiFi,1362,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Priceline.com,日式雙床間- 帶共用浴室 - 不退款 - 免費WiFi,1362,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Booking.com,家庭間- 帶共用浴室（B） - 不退款 - 免費WiFi,2179,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Priceline.com,家庭間- 帶共用浴室（B） - 不退款 - 免費WiFi,2179,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Booking.com,家庭間- 帶共用浴室（A） - 不退款 - 免費WiFi,2724,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Priceline.com,家庭間- 帶共用浴室（A） - 不退款 - 免費WiFi,2724,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Agoda.com,小屋 - 可住6人,4766,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Booking.com,小屋（4名成人） - B - 不退款,4768,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Priceline.com,小屋（4名成人） - B - 不退款,4768,"下御料, 富良野, 北海道, 日本"
Log Yukari Guest House,由緣LOG,Agoda.com,小屋 - 可住8人,5856,"下御料, 富良野, 北海道, 日本"
