旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Guesthouse Mikkaichi,三日市旅館 - 小松,Agoda.com,豪華房(兩床),1852,"Mikkaichi 38-1, 小松, 石川縣, 日本"
Yukai Resort Awazu Grand Hotel,,Agoda.com,Japanese-Style Room,2483,"Wa- 36 Awazu, 小松, 石川縣, 日本"
Yukai Resort Awazu Grand Hotel,,Booking.com,日式雙床間 - 免費WiFi,4577,"Wa- 36 Awazu, 小松, 石川縣, 日本"
Yukai Resort Awazu Grand Hotel,,Trip.com,日式房,2397,"Wa- 36 Awazu, 小松, 石川縣, 日本"
Yukai Resort Awazu Grand Hotel,,Trip.com,日式房,3513,"Wa- 36 Awazu, 小松, 石川縣, 日本"
Yukai Resort Awazu Grand Hotel,,Agoda.com,日式客房(兩床) - 禁菸,3850,"Wa- 36 Awazu, 小松, 石川縣, 日本"
Yukai Resort Awazu Grand Hotel,,Agoda.com,日式客房,3850,"Wa- 36 Awazu, 小松, 石川縣, 日本"
Yukai Resort Awazu Grand Hotel,,Priceline.com,日式雙床間 - 免費WiFi,4577,"Wa- 36 Awazu, 小松, 石川縣, 日本"
Yukai Resort Awazu Grand Hotel,,Booking.com,日式客房 - 免費WiFi,6866,"Wa- 36 Awazu, 小松, 石川縣, 日本"
Yukai Resort Awazu Grand Hotel,,Priceline.com,日式客房 - 免費WiFi,6866,"Wa- 36 Awazu, 小松, 石川縣, 日本"
Yukai Resort Awazu Grand Hotel,,Hotels.com,"標準客房, 吸煙房 (For 3-4 Person) (免費早餐, 免費停車, 免費無線上網)",9236,"Wa- 36 Awazu, 小松, 石川縣, 日本"
Yukai Resort Awazu Grand Hotel,,Expedia.com.tw,"標準客房, 吸煙房 (For 3-4 Person) (免費早餐, 免費停車, 免費無線上網)",9236,"Wa- 36 Awazu, 小松, 石川縣, 日本"
Yukai Resort Awazu Grand Hotel,,Trip.com,標準日式入住時指定房型,15996,"Wa- 36 Awazu, 小松, 石川縣, 日本"
Awazuonsen Kitahachi,,Booking.com,四人間 - 不退款,2942,"Inoguchimachi 13, 小松, 石川縣, 日本"
Awazuonsen Kitahachi,,Priceline.com,四人間 - 不退款,2942,"Inoguchimachi 13, 小松, 石川縣, 日本"
Kametani,,Jalan.net,日式床,2255,"Wa 40 Awazumachi, 小松, 石川縣, 日本"
Hoshi,法師,Agoda.com,Japanese-Style Economy Room,3540,"粟津町ワ４６, 小松, 石川縣, 日本"
Hoshi,法師,Booking.com,日式經濟間,3542,"粟津町ワ４６, 小松, 石川縣, 日本"
Hoshi,法師,Priceline.com,日式經濟間,3542,"粟津町ワ４６, 小松, 石川縣, 日本"
Hoshi,法師,Hotels.com,傳統客房 (Historical) (免費停車),3907,"粟津町ワ４６, 小松, 石川縣, 日本"
Hoshi,法師,Expedia.com.tw,傳統客房 (Historical) (免費停車),3907,"粟津町ワ４６, 小松, 石川縣, 日本"
Hoshi,法師,Hotel.info,最優惠可訂房價格,3794,"粟津町ワ４６, 小松, 石川縣, 日本"
Hoshi,法師,hrs.com,最優惠可訂房價格,3793,"粟津町ワ４６, 小松, 石川縣, 日本"
Hoshi,法師,Jalan.net,日式床,3815,"粟津町ワ４６, 小松, 石川縣, 日本"
