旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Otaru Furukawa,Furukawa運河客棧,Agoda.com,運河景兩床房,8175,"色内1-2-15, 小樽, 北海道, 日本"
Otaru Furukawa,Furukawa運河客棧,Agoda.com,Twin (Canal Side) [Non Smoking] [Sleeps 2],8461,"色内1-2-15, 小樽, 北海道, 日本"
Otaru Furukawa,Furukawa運河客棧,Agoda.com,運河景兩床房,9021,"色内1-2-15, 小樽, 北海道, 日本"
Otaru Furukawa,Furukawa運河客棧,Trip.com,城景雙床房 (免費WiFi),9290,"色内1-2-15, 小樽, 北海道, 日本"
Otaru Furukawa,Furukawa運河客棧,Agoda.com,Twin (Canal Side) [Non Smoking] [Sleeps 2],9475,"色内1-2-15, 小樽, 北海道, 日本"
Otaru Furukawa,Furukawa運河客棧,hrs.com,最優惠可訂房價格,9617,"色内1-2-15, 小樽, 北海道, 日本"
Otaru Furukawa,Furukawa運河客棧,Rakuten.Travel,標準 三人間,9685,"色内1-2-15, 小樽, 北海道, 日本"
Otaru Furukawa,Furukawa運河客棧,Trip.com,運河側景雙床房 (免費WiFi),16700,"色内1-2-15, 小樽, 北海道, 日本"
Otaru Furukawa,Furukawa運河客棧,Rakuten.Travel,主樓 套房 海景 兩張床間 帶檜木浴池,16486,"色内1-2-15, 小樽, 北海道, 日本"
Otaru Furukawa,Furukawa運河客棧,Hotels.com,"高級雙人房, 非吸煙房 (免費早餐, 免費無線上網)",22003,"色内1-2-15, 小樽, 北海道, 日本"
Otaru Furukawa,Furukawa運河客棧,Expedia.com.tw,"高級雙人房, 非吸煙房 (免費早餐, 免費無線上網)",21912,"色内1-2-15, 小樽, 北海道, 日本"
Authent Hotel Otaru,小樽歐森飯店,Agoda.com,客房(兩床) - 禁菸,3758,"稻穗2-15-1, 小樽, 北海道, 日本"
Authent Hotel Otaru,小樽歐森飯店,Booking.com,雙床房－禁菸 - 不退款 - 免費WiFi,4021,"稻穗2-15-1, 小樽, 北海道, 日本"
Authent Hotel Otaru,小樽歐森飯店,Trip.com,雙床房,4114,"稻穗2-15-1, 小樽, 北海道, 日本"
Authent Hotel Otaru,小樽歐森飯店,Priceline.com,雙床房－禁菸 - 不退款 - 免費WiFi,4021,"稻穗2-15-1, 小樽, 北海道, 日本"
Authent Hotel Otaru,小樽歐森飯店,Agoda.com,Main Building Standard Twin Room Non-Smoking,4397,"稻穗2-15-1, 小樽, 北海道, 日本"
Authent Hotel Otaru,小樽歐森飯店,Rakuten.Travel,主樓標準雙床間禁煙房,4244,"稻穗2-15-1, 小樽, 北海道, 日本"
Authent Hotel Otaru,小樽歐森飯店,Agoda.com,Main Building Standard Twin Room Non-Smoking-Room Only Plan,4658,"稻穗2-15-1, 小樽, 北海道, 日本"
Authent Hotel Otaru,小樽歐森飯店,Agoda.com,三人房 - 禁菸,4813,"稻穗2-15-1, 小樽, 北海道, 日本"
Authent Hotel Otaru,小樽歐森飯店,Agoda.com,豪華房(兩床) - 禁菸,4813,"稻穗2-15-1, 小樽, 北海道, 日本"
Authent Hotel Otaru,小樽歐森飯店,Booking.com,豪華雙床間- 禁煙 - 不退款 - 免費WiFi,4659,"稻穗2-15-1, 小樽, 北海道, 日本"
