旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Guest House Mintaro Hut,敏太郎小木屋旅館,Booking.com,雙床房－附共用衛浴 - 不退款 - 免費WiFi,1634,"大手町5-13, 山形, 山形縣, 日本"
Guest House Mintaro Hut,敏太郎小木屋旅館,Priceline.com,雙床房－附共用衛浴 - 不退款 - 免費WiFi,1634,"大手町5-13, 山形, 山形縣, 日本"
Apa Hotel Yamagata-Ekimaedori,阿帕酒店〈山形站前大街〉,Agoda.com,小型雙人房 - 禁菸,2080,"十日街4-1-8, 山形, 山形縣, 日本"
Apa Hotel Yamagata-Ekimaedori,阿帕酒店〈山形站前大街〉,Booking.com,雙人房 - 附小型雙人床 - 可吸菸 - 免費WiFi,2179,"十日街4-1-8, 山形, 山形縣, 日本"
Apa Hotel Yamagata-Ekimaedori,阿帕酒店〈山形站前大街〉,Agoda.com,客房(小型雙人床) - 可吸菸,2080,"十日街4-1-8, 山形, 山形縣, 日本"
Apa Hotel Yamagata-Ekimaedori,阿帕酒店〈山形站前大街〉,Agoda.com,小型雙人房 - 禁菸,2179,"十日街4-1-8, 山形, 山形縣, 日本"
Apa Hotel Yamagata-Ekimaedori,阿帕酒店〈山形站前大街〉,Agoda.com,客房(小型雙人床) - 可吸菸,2179,"十日街4-1-8, 山形, 山形縣, 日本"
Apa Hotel Yamagata-Ekimaedori,阿帕酒店〈山形站前大街〉,Booking.com,雙人房 - 附小型雙人床 - 禁菸 - 免費WiFi,2179,"十日街4-1-8, 山形, 山形縣, 日本"
Apa Hotel Yamagata-Ekimaedori,阿帕酒店〈山形站前大街〉,Hotels.com,"經濟雙人房, 吸煙房 (Semidouble 120cm 12sqm) (免費早餐, 免費無線上網)",2179,"十日街4-1-8, 山形, 山形縣, 日本"
Apa Hotel Yamagata-Ekimaedori,阿帕酒店〈山形站前大街〉,Hotels.com,"經濟雙人房, 非吸煙房 (Semidouble 120cm 12sqm) (免費早餐, 免費無線上網)",2179,"十日街4-1-8, 山形, 山形縣, 日本"
Apa Hotel Yamagata-Ekimaedori,阿帕酒店〈山形站前大街〉,Expedia.com.tw,"經濟雙人房, 吸煙房 (Semidouble 120cm 12sqm) (免費早餐, 免費無線上網)",2179,"十日街4-1-8, 山形, 山形縣, 日本"
Apa Hotel Yamagata-Ekimaedori,阿帕酒店〈山形站前大街〉,Expedia.com.tw,"經濟雙人房, 非吸煙房 (Semidouble 120cm 12sqm) (免費早餐, 免費無線上網)",2179,"十日街4-1-8, 山形, 山形縣, 日本"
Apa Hotel Yamagata-Ekimaedori,阿帕酒店〈山形站前大街〉,Priceline.com,雙人房 - 附小型雙人床 - 可吸菸 - 免費WiFi,2179,"十日街4-1-8, 山形, 山形縣, 日本"
Apa Hotel Yamagata-Ekimaedori,阿帕酒店〈山形站前大街〉,Priceline.com,雙人房 - 附小型雙人床 - 禁菸 - 免費WiFi,2179,"十日街4-1-8, 山形, 山形縣, 日本"
Apa Hotel Yamagata-Ekimaedori,阿帕酒店〈山形站前大街〉,Jalan.net,半雙人床,2173,"十日街4-1-8, 山形, 山形縣, 日本"
Apa Hotel Yamagata-Ekimaedori,阿帕酒店〈山形站前大街〉,Agoda.com,客房(兩床) - 可吸菸,2601,"十日街4-1-8, 山形, 山形縣, 日本"
