旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Agoda.com,客房(兩床),1879,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Booking.com,雙床房－可吸菸 - 不退款 - 免費WiFi,2234,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Agoda.com,Standard Semi-double Room,1916,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Trip.com,小間大床房,1850,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Trip.com,客房,2054,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Jalan.net,半雙人床,1852,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Jalan.net,雙人,2016,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Trip.com,小間大床房,2314,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Hotels.com,雙床房 (免費無線上網),2167,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Expedia.com.tw,雙床房 (免費無線上網),2167,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,getaroom.com,Twin Room,2232,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Priceline.com,雙床房－可吸菸 - 不退款 - 免費WiFi,2234,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Hotel.info,标准双人间,2162,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,hrs.com,最優惠可訂房價格,2161,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Jalan.net,兩小床,2234,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Agoda.com,客房(兩床),2587,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Trip.com,客房,2588,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Booking.com,雙床房－可吸菸 - 不退款 - 免費WiFi,2588,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Hotels.com,"雙床房 (免費早餐, 免費無線上網)",2510,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Expedia.com.tw,"雙床房 (免費早餐, 免費無線上網)",2510,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,getaroom.com,Twin Room,2587,"南町12-9, 川崎, 神奈川縣, 日本"
Hotel Sky Court Kawasaki,川崎藍天閣飯店,Priceline.com,雙床房－可吸菸 - 不退款 - 免費WiFi,2588,"南町12-9, 川崎, 神奈川縣, 日本"
Kawasaki Central Hotel,,Agoda.com,客房(小型雙人床),1990,"9-1 Higashida-cho Kawasaki-ku, 川崎, 神奈川縣, 日本"
Kawasaki Central Hotel,,Booking.com,雙人間- 可吸煙 - 免費WiFi,2425,"9-1 Higashida-cho Kawasaki-ku, 川崎, 神奈川縣, 日本"
Kawasaki Central Hotel,,Hotel.info,最優惠可訂房價格,1999,"9-1 Higashida-cho Kawasaki-ku, 川崎, 神奈川縣, 日本"
Kawasaki Central Hotel,,Trip.com,小間大床房,2150,"9-1 Higashida-cho Kawasaki-ku, 川崎, 神奈川縣, 日本"
Kawasaki Central Hotel,,Trip.com,客房,2204,"9-1 Higashida-cho Kawasaki-ku, 川崎, 神奈川縣, 日本"
Kawasaki Central Hotel,,Trip.com,小間大床一室房,2313,"9-1 Higashida-cho Kawasaki-ku, 川崎, 神奈川縣, 日本"
Kawasaki Central Hotel,,Jalan.net,雙人,2125,"9-1 Higashida-cho Kawasaki-ku, 川崎, 神奈川縣, 日本"
Kawasaki Central Hotel,,Jalan.net,半雙人床,2125,"9-1 Higashida-cho Kawasaki-ku, 川崎, 神奈川縣, 日本"
Kawasaki Central Hotel,,Agoda.com,Double Room Smoking,2345,"9-1 Higashida-cho Kawasaki-ku, 川崎, 神奈川縣, 日本"
Kawasaki Central Hotel,,Agoda.com,Semi-Double Room Studio,2373,"9-1 Higashida-cho Kawasaki-ku, 川崎, 神奈川縣, 日本"
Kawasaki Central Hotel,,Agoda.com,客房(小型雙人床),2424,"9-1 Higashida-cho Kawasaki-ku, 川崎, 神奈川縣, 日本"
Kawasaki Central Hotel,,Priceline.com,雙人間- 可吸煙 - 免費WiFi,2425,"9-1 Higashida-cho Kawasaki-ku, 川崎, 神奈川縣, 日本"
Kawasaki Central Hotel,,Jalan.net,兩小床,2670,"9-1 Higashida-cho Kawasaki-ku, 川崎, 神奈川縣, 日本"
Hotel cooju Kawasaki,精美酒店,Agoda.com,雙人房,1959,"堀之内町9-8, 川崎, 神奈川縣, 日本"
Hotel cooju Kawasaki,精美酒店,Booking.com,標準雙人房 - 不退款 - 免費WiFi,2207,"堀之内町9-8, 川崎, 神奈川縣, 日本"
