旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Agoda.com,標準房(兩床) - 禁菸,4445,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Booking.com,經濟雙床間- 禁煙 - 不退款 - 免費WiFi,4904,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Agoda.com,經濟房(兩床) - 禁菸,4706,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Hotels.com,"標準雙床房, 非吸煙房 (24sqm) (免費無線上網)",4679,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Agoda.com,Standard Twin Room 21 to 25 Sq M,5025,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Trip.com,標準雙床房,4900,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Expedia.com.tw,"標準雙床房, 非吸煙房 (24sqm) (免費無線上網)",4904,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,getaroom.com,"Standard Twin Room, Non Smoking (24m²)",4899,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Priceline.com,經濟雙床間- 禁煙 - 不退款 - 免費WiFi,4904,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Jalan.net,兩小床,5013,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Hotels.com,"標準雙床房, 非吸煙房 (26m2) (免費無線上網)",5199,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Agoda.com,標準豪華房(兩床) - 禁菸,5489,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Expedia.com.tw,"標準雙床房, 非吸煙房 (26m2) (免費無線上網)",5449,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,getaroom.com,"Standard Twin Room (26m2), Non-Smoking",5444,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Agoda.com,Standard Twin Room 26 to 30 Sq M,5583,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Hotels.com,"標準雙床房, 非吸煙房 (24sqm) (免費早餐, 免費無線上網)",5614,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Trip.com,標準雙床房,5880,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Booking.com,經濟雙床間- 禁煙 - 不退款 - 免費WiFi,5885,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Hotels.com,"標準雙床房, 非吸煙房 (26m2) (免費早餐, 免費無線上網)",6134,"基町6-78, 中区, 廣島, 廣島縣, 日本"
Rihga Royal Hotel Hiroshima,廣島麗嘉皇家酒店,Expedia.com.tw,"標準雙床房, 非吸煙房 (24sqm) (免費早餐, 免費無線上網)",5885,"基町6-78, 中区, 廣島, 廣島縣, 日本"
