旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Juraku Stay Niigata,新潟獅子宮飯店,Jalan.net,雙人,2415,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Booking.com,標準雙人間- 可吸煙 - 免費WiFi,2588,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Booking.com,標準雙人房 - 禁菸 - 免費WiFi,2588,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Priceline.com,標準雙人間- 可吸煙 - 免費WiFi,2588,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Priceline.com,標準雙人房 - 禁菸 - 免費WiFi,2588,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Booking.com,豪華雙人間- 吸煙 - 免費WiFi,2861,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Booking.com,舒適雙人間-可吸煙 - 免費WiFi,2861,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Booking.com,標準雙人間- 可吸煙 - 免費WiFi,2915,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Booking.com,標準雙人房 - 禁菸 - 免費WiFi,2915,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Priceline.com,豪華雙人間- 吸煙 - 免費WiFi,2861,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Priceline.com,舒適雙人間-可吸煙 - 免費WiFi,2861,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Priceline.com,標準雙人間- 可吸煙 - 免費WiFi,2915,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Priceline.com,標準雙人房 - 禁菸 - 免費WiFi,2915,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Booking.com,舒適雙人間-可吸煙 - 免費WiFi,3188,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Booking.com,豪華雙人間- 吸煙 - 免費WiFi,3188,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Priceline.com,舒適雙人間-可吸煙 - 免費WiFi,3188,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Priceline.com,豪華雙人間- 吸煙 - 免費WiFi,3188,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Booking.com,雙床房－可吸菸 - 免費WiFi,3406,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Priceline.com,雙床房－可吸菸 - 免費WiFi,3406,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Booking.com,雙床房－可吸菸 - 免費WiFi,3733,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Juraku Stay Niigata,新潟獅子宮飯店,Priceline.com,雙床房－可吸菸 - 免費WiFi,3733,"花園1丁目6-15, 新潟, 新瀉縣, 日本"
Bandai Silver Hotel,萬代銀大酒店,Agoda.com,Twin Room,2311,"萬代1丁目3番30號, 新潟, 新瀉縣, 日本"
Bandai Silver Hotel,萬代銀大酒店,Booking.com,經濟雙床間- 禁煙 - 不退款,2354,"萬代1丁目3番30號, 新潟, 新瀉縣, 日本"
Bandai Silver Hotel,萬代銀大酒店,Agoda.com,Economy Twin Room - Non-Smoking,2353,"萬代1丁目3番30號, 新潟, 新瀉縣, 日本"
Bandai Silver Hotel,萬代銀大酒店,Trip.com,客房 (免費WiFi),2328,"萬代1丁目3番30號, 新潟, 新瀉縣, 日本"
Bandai Silver Hotel,萬代銀大酒店,Trip.com,客房,2449,"萬代1丁目3番30號, 新潟, 新瀉縣, 日本"
Bandai Silver Hotel,萬代銀大酒店,Priceline.com,經濟雙床間- 禁煙 - 不退款,2354,"萬代1丁目3番30號, 新潟, 新瀉縣, 日本"
Bandai Silver Hotel,萬代銀大酒店,Agoda.com,Twin Room 16 to 20 Sq M,2537,"萬代1丁目3番30號, 新潟, 新瀉縣, 日本"
