旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Mimatsuso Ryokan,美松莊旅館,Agoda.com,日式客房 - 需共用衛浴,2015,"2條通5丁目右8號, 旭川, 北海道, 日本"
Mimatsuso Ryokan,美松莊旅館,Booking.com,日式雙床間- 帶共用浴室 - 不退款 - 免費WiFi,2016,"2條通5丁目右8號, 旭川, 北海道, 日本"
Mimatsuso Ryokan,美松莊旅館,Priceline.com,日式雙床間- 帶共用浴室 - 不退款 - 免費WiFi,2016,"2條通5丁目右8號, 旭川, 北海道, 日本"
Mimatsuso Ryokan,美松莊旅館,Agoda.com,日式客房 - 需共用衛浴,2396,"2條通5丁目右8號, 旭川, 北海道, 日本"
Mimatsuso Ryokan,美松莊旅館,Booking.com,日式雙床間- 帶共用浴室 - 不退款 - 免費WiFi,2397,"2條通5丁目右8號, 旭川, 北海道, 日本"
Mimatsuso Ryokan,美松莊旅館,Priceline.com,日式雙床間- 帶共用浴室 - 不退款 - 免費WiFi,2397,"2條通5丁目右8號, 旭川, 北海道, 日本"
Mimatsuso Ryokan,美松莊旅館,Agoda.com,Japanese-Style Triple Room with Shared Bathroom,3077,"2條通5丁目右8號, 旭川, 北海道, 日本"
Mimatsuso Ryokan,美松莊旅館,Booking.com,日式三人間- 帶共用浴室 - 不退款 - 免費WiFi,3079,"2條通5丁目右8號, 旭川, 北海道, 日本"
Mimatsuso Ryokan,美松莊旅館,Priceline.com,日式三人間- 帶共用浴室 - 不退款 - 免費WiFi,3079,"2條通5丁目右8號, 旭川, 北海道, 日本"
Mimatsuso Ryokan,美松莊旅館,Agoda.com,Japanese-Style Triple Room with Shared Bathroom,3731,"2條通5丁目右8號, 旭川, 北海道, 日本"
Mimatsuso Ryokan,美松莊旅館,Booking.com,日式三人間- 帶共用浴室 - 不退款 - 免費WiFi,3733,"2條通5丁目右8號, 旭川, 北海道, 日本"
Mimatsuso Ryokan,美松莊旅館,Priceline.com,日式三人間- 帶共用浴室 - 不退款 - 免費WiFi,3733,"2條通5丁目右8號, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Agoda.com,標準雙人房 - 禁菸,2540,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Booking.com,雙人間- 禁煙 - 不退款 - 免費WiFi,2844,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Agoda.com,標準房(兩床) - 禁菸,2759,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Agoda.com,標準房(兩床) - 可吸菸,2759,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Agoda.com,Double Room - Non-Smoking,2843,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Trip.com,雙人床,2844,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Hotels.com,"標準雙人房, 非吸煙房 (1 Double Bed) (免費無線上網)",2764,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Expedia.com.tw,"標準雙人房, 非吸煙房 (1 Double Bed) (免費無線上網)",2759,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Priceline.com,雙人間- 禁煙 - 不退款 - 免費WiFi,2844,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Booking.com,雙床房－禁菸 - 不退款 - 免費WiFi,3089,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Hotels.com,"標準雙人房, 吸煙房 (免費無線上網)",3003,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Hotels.com,"標準雙人房, 非吸煙房 (免費無線上網)",3003,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Hotels.com,"標準雙人房, 非吸煙房 (1 Double Bed) (免費無線上網)",3071,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Expedia.com.tw,"標準雙人房, 吸煙房 (免費無線上網)",2997,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
Route-Inn Grand Asahikawa Ekimae,旭川站前路線Route-Inn飯店,Expedia.com.tw,"標準雙人房, 非吸煙房 (免費無線上網)",2997,"宮下通8丁目1962-1, 旭川, 北海道, 日本"
