旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Cross Hotel Sapporo,札幌Cross飯店,Agoda.com,隨機安排房型 - 禁菸,3131,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,Booking.com,客房- 可吸煙- 入住時分配房型 - 免費WiFi,3506,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,Agoda.com,隨機安排房型 - 可吸菸,3131,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,Agoda.com,雙人房 - 禁菸,3503,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,Agoda.com,雙人房 - 可吸菸,3503,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,Trip.com,入住時指定房型,3539,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,Booking.com,客房– 禁煙– 入住時分配房型 - 免費WiFi,3506,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,Hotels.com,"客房, 吸煙房 (免費無線上網)",3418,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,Hotels.com,客房 (免費無線上網),3418,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,Expedia.com.tw,"客房, 吸煙房 (免費無線上網)",3399,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,Expedia.com.tw,客房 (免費無線上網),3399,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,getaroom.com,"Run of House (Room including bed type assigned by hotel), Non Smoking",3538,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,getaroom.com,"Run of House (Room including bed type assigned by hotel), Smoking",3538,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,Priceline.com,客房- 可吸煙- 入住時分配房型 - 免費WiFi,3506,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,Priceline.com,客房– 禁煙– 入住時分配房型 - 免費WiFi,3506,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
Cross Hotel Sapporo,札幌Cross飯店,Jalan.net,兩小床,3542,"北2條西2丁目23番地, 中央區, 札幌, 北海道, 日本"
