旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Yokohama Sakuragicho Washington Hotel,橫濱櫻木町華盛頓酒店,Agoda.com,灣景雙人房 - 可吸菸,1946,"櫻木町1-101-1, 横浜市中心部, 橫濱, 神奈川縣, 日本"
Yokohama Sakuragicho Washington Hotel,橫濱櫻木町華盛頓酒店,Booking.com,市景經濟雙床房－禁煙 - 不退款 - 免費WiFi,2207,"櫻木町1-101-1, 横浜市中心部, 橫濱, 神奈川縣, 日本"
Yokohama Sakuragicho Washington Hotel,橫濱櫻木町華盛頓酒店,Agoda.com,灣景雙人房 - 禁菸,1946,"櫻木町1-101-1, 横浜市中心部, 橫濱, 神奈川縣, 日本"
Yokohama Sakuragicho Washington Hotel,橫濱櫻木町華盛頓酒店,Agoda.com,休閒房(兩床) - 可吸菸,1946,"櫻木町1-101-1, 横浜市中心部, 橫濱, 神奈川縣, 日本"
Yokohama Sakuragicho Washington Hotel,橫濱櫻木町華盛頓酒店,Agoda.com,休閒房(兩床) - 禁菸,1946,"櫻木町1-101-1, 横浜市中心部, 橫濱, 神奈川縣, 日本"
Yokohama Sakuragicho Washington Hotel,橫濱櫻木町華盛頓酒店,Trip.com,標準雙人房,2225,"櫻木町1-101-1, 横浜市中心部, 橫濱, 神奈川縣, 日本"
Yokohama Sakuragicho Washington Hotel,橫濱櫻木町華盛頓酒店,Booking.com,市景經濟雙床房－可吸煙 - 不退款 - 免費WiFi,2207,"櫻木町1-101-1, 横浜市中心部, 橫濱, 神奈川縣, 日本"
Yokohama Sakuragicho Washington Hotel,橫濱櫻木町華盛頓酒店,Booking.com,灣景雙人房－可吸煙 - 不退款 - 免費WiFi,2207,"櫻木町1-101-1, 横浜市中心部, 橫濱, 神奈川縣, 日本"
Yokohama Sakuragicho Washington Hotel,橫濱櫻木町華盛頓酒店,Booking.com,灣景雙人房－禁煙 - 不退款 - 免費WiFi,2207,"櫻木町1-101-1, 横浜市中心部, 橫濱, 神奈川縣, 日本"
Yokohama Sakuragicho Washington Hotel,橫濱櫻木町華盛頓酒店,Priceline.com,市景經濟雙床房－禁煙 - 不退款 - 免費WiFi,2207,"櫻木町1-101-1, 横浜市中心部, 橫濱, 神奈川縣, 日本"
