旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Deigo Hotel,迪亞哥飯店,Agoda.com,客房(兩床),2751,"中央3-4-2, 沖縄市, 日本"
Deigo Hotel,迪亞哥飯店,Agoda.com,客房(兩床),3159,"中央3-4-2, 沖縄市, 日本"
Guest House Unity Female Only,團結旅館,Booking.com,男生宿舍房單人床位 - 免費WiFi,1362,"住吉1-8-10, 沖縄市, 日本"
Guest House Unity Female Only,團結旅館,Priceline.com,男生宿舍房單人床位 - 免費WiFi,1362,"住吉1-8-10, 沖縄市, 日本"
Guest House Unity Female Only,團結旅館,Booking.com,三人房 - 不退款 - 免費WiFi,1634,"住吉1-8-10, 沖縄市, 日本"
Guest House Unity Female Only,團結旅館,Priceline.com,三人房 - 不退款 - 免費WiFi,1634,"住吉1-8-10, 沖縄市, 日本"
Mr Kinjo in Yogi,與儀金城先生公寓式酒店,Agoda.com,Twin Room,1361,"與儀3-9-17, 沖縄市, 日本"
Mr Kinjo in Yogi,與儀金城先生公寓式酒店,Booking.com,雙床房 - 不退款 - 免費WiFi,1362,"與儀3-9-17, 沖縄市, 日本"
Mr Kinjo in Yogi,與儀金城先生公寓式酒店,Priceline.com,雙床房 - 不退款 - 免費WiFi,1362,"與儀3-9-17, 沖縄市, 日本"
Sunrise Kanko Hotel,旭日觀光酒店,Agoda.com,Standard Twin Room,2057,"胡屋2-1-46, 沖縄市, 日本"
Sunrise Kanko Hotel,旭日觀光酒店,Booking.com,雙床房 - 不退款 - 免費WiFi,2316,"胡屋2-1-46, 沖縄市, 日本"
Sunrise Kanko Hotel,旭日觀光酒店,Trip.com,雙床房,1986,"胡屋2-1-46, 沖縄市, 日本"
Sunrise Kanko Hotel,旭日觀光酒店,Agoda.com,客房(兩床),2315,"胡屋2-1-46, 沖縄市, 日本"
Sunrise Kanko Hotel,旭日觀光酒店,Priceline.com,雙床房 - 不退款 - 免費WiFi,2316,"胡屋2-1-46, 沖縄市, 日本"
Sunrise Kanko Hotel,旭日觀光酒店,Agoda.com,Standard Twin Room,2706,"胡屋2-1-46, 沖縄市, 日本"
Sunrise Kanko Hotel,旭日觀光酒店,Agoda.com,客房(兩床),2778,"胡屋2-1-46, 沖縄市, 日本"
Sunrise Kanko Hotel,旭日觀光酒店,Trip.com,雙床房,2612,"胡屋2-1-46, 沖縄市, 日本"
Sunrise Kanko Hotel,旭日觀光酒店,Booking.com,雙床房 - 不退款 - 免費WiFi,2779,"胡屋2-1-46, 沖縄市, 日本"
Sunrise Kanko Hotel,旭日觀光酒店,Priceline.com,雙床房 - 不退款 - 免費WiFi,2779,"胡屋2-1-46, 沖縄市, 日本"
Western Hotel Okinawa,,Agoda.com,客房(兩床),1916,"Sonoda 3-4-27, 沖縄市, 日本"
Western Hotel Okinawa,,Hotel.info,最優惠可訂房價格,1837,"Sonoda 3-4-27, 沖縄市, 日本"
Western Hotel Okinawa,,hrs.com,最優惠可訂房價格,1837,"Sonoda 3-4-27, 沖縄市, 日本"
Western Hotel Okinawa,,Rakuten.Travel,雙床間,1850,"Sonoda 3-4-27, 沖縄市, 日本"
Okinawa-shi Guesthouse Peace,沖繩市和平旅館,Booking.com,標準雙人房 - 不退款 - 免費WiFi,1934,"中央1-14-4, 沖縄市, 日本"
Okinawa-shi Guesthouse Peace,沖繩市和平旅館,Booking.com,雙人房－附私人浴室 - 不退款 - 免費WiFi,1934,"中央1-14-4, 沖縄市, 日本"
Okinawa-shi Guesthouse Peace,沖繩市和平旅館,Priceline.com,標準雙人房 - 不退款 - 免費WiFi,1934,"中央1-14-4, 沖縄市, 日本"
Okinawa-shi Guesthouse Peace,沖繩市和平旅館,Priceline.com,雙人房－附私人浴室 - 不退款 - 免費WiFi,1934,"中央1-14-4, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Agoda.com,Standard Double Room 21 to 25 Sq M,2680,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Booking.com,雙床房 - 不退款,3531,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Trip.com,標準房,2588,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Agoda.com,標準房(兩床) - 禁菸,2942,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Agoda.com,標準房(兩床) - 可吸菸,2942,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Agoda.com,Standard Twin Room 21 to 25 Sq M,3044,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Trip.com,標準房,2993,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Hotels.com,"雙人房, 非吸煙房, 城市景觀 (免費停車, 免費上網)",2942,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Hotels.com,"雙人房, 吸煙房, 城市景觀 (免費停車, 免費上網)",2942,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Expedia.com.tw,"雙人房, 非吸煙房, 城市景觀 (免費停車, 免費上網)",2942,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Expedia.com.tw,"雙人房, 吸煙房, 城市景觀 (免費停車, 免費上網)",2942,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Hotel.info,最優惠可訂房價格,2918,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Jalan.net,兩小床,2942,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Trip.com,雙床房,3085,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Hotels.com,"雙人房, 非吸煙房, 城市景觀 (免費早餐, 免費停車, 免費上網)",3269,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Hotels.com,"雙人房, 吸煙房, 城市景觀 (免費早餐, 免費停車, 免費上網)",3269,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Expedia.com.tw,"雙人房, 非吸煙房, 城市景觀 (免費早餐, 免費停車, 免費上網)",3269,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Expedia.com.tw,"雙人房, 吸煙房, 城市景觀 (免費早餐, 免費停車, 免費上網)",3269,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Trip.com,雙床房,3428,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Hotels.com,"豪華雙人房, 非吸煙房, 城市景觀 (免費停車, 免費上網)",3531,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Hotels.com,"豪華雙人房, 吸煙房, 城市景觀 (免費停車, 免費上網)",3531,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Expedia.com.tw,"豪華雙人房, 非吸煙房, 城市景觀 (免費停車, 免費上網)",3531,"胡屋2-1-43, 沖縄市, 日本"
Hotel New Century,新世紀酒店,Expedia.com.tw,"豪華雙人房, 吸煙房, 城市景觀 (免費停車, 免費上網)",3531,"胡屋2-1-43, 沖縄市, 日本"
