旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Trip.com,小間大床房,2449,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Booking.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,2670,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Agoda.com,雙人房 - 附小型雙人床 - 禁菸,2669,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Priceline.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,2670,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Jalan.net,半雙人床,2771,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Agoda.com,Standard Semi-Double Room Non-Smoking,2875,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Trip.com,小間大床房,2873,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Agoda.com,雙人房 - 附小型雙人床 - 禁菸,3094,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Booking.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,3095,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Priceline.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,3095,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Agoda.com,Standard Semi-Double Room Non-Smoking,3315,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Agoda.com,客房(兩床),3922,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Booking.com,雙床房 - 不退款 - 免費WiFi,3923,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Priceline.com,雙床房 - 不退款 - 免費WiFi,3923,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Booking.com,雙床房 - 不退款 - 免費WiFi,4348,"春日3-15-15, 熊本, 熊本縣, 日本"
JR Kyushu Hotel Kumamoto,熊本JR九州飯店,Priceline.com,雙床房 - 不退款 - 免費WiFi,4348,"春日3-15-15, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Agoda.com,雙人房 - 可吸菸,2647,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Booking.com,雙人間- 可吸煙 - 不退款 - 免費WiFi,2942,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Agoda.com,雙人房 - 禁菸,2647,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Trip.com,客房,2710,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Hotel.info,最優惠可訂房價格,2648,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Agoda.com,Double Room Non-Smoking,3044,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Agoda.com,Double Room Smoking,3044,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Booking.com,雙人間- 禁煙 - 不退款 - 免費WiFi,2942,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Hotels.com,"標準雙人房, 吸煙房 (免費無線上網)",2866,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Hotels.com,"標準雙人房, 非吸煙房 (免費無線上網)",2866,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Expedia.com.tw,"標準雙人房, 吸煙房 (免費無線上網)",2854,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Expedia.com.tw,"標準雙人房, 非吸煙房 (免費無線上網)",2854,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Priceline.com,雙人間- 可吸煙 - 不退款 - 免費WiFi,2942,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Priceline.com,雙人間- 禁煙 - 不退款 - 免費WiFi,2942,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Trip.com,客房,3210,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Hotels.com,"標準雙人房, 非吸煙房 (免費早餐, 免費無線上網)",3397,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Hotels.com,"標準雙人房, 吸煙房 (免費早餐, 免費無線上網)",3397,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Expedia.com.tw,"標準雙人房, 非吸煙房 (免費早餐, 免費無線上網)",3383,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Expedia.com.tw,"標準雙人房, 吸煙房 (免費早餐, 免費無線上網)",3383,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Agoda.com,客房(兩床) - 可吸菸,3431,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Booking.com,雙人間- 禁煙 - 不退款 - 免費WiFi,3487,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Booking.com,雙人間- 可吸煙 - 不退款 - 免費WiFi,3487,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Priceline.com,雙人間- 禁煙 - 不退款 - 免費WiFi,3487,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Priceline.com,雙人間- 可吸煙 - 不退款 - 免費WiFi,3487,"新市街7-25, 熊本, 熊本縣, 日本"
Kumamoto Tokyu REI Hotel,東急熊本商務酒店,Booking.com,雙床房－可吸菸 - 不退款 - 免費WiFi,3814,"新市街7-25, 熊本, 熊本縣, 日本"
