旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Hotel East China Sea,東中國海酒店,Agoda.com,Junior Twin Room,3908,"美崎町2-8, 石垣, 日本"
Hotel East China Sea,東中國海酒店,Agoda.com,Junior Twin Room,4467,"美崎町2-8, 石垣, 日本"
Hotel East China Sea,東中國海酒店,Agoda.com,Twin Room,5583,"美崎町2-8, 石垣, 日本"
Hotel East China Sea,東中國海酒店,Agoda.com,Twin Room,6633,"美崎町2-8, 石垣, 日本"
Fusaki Resort Village,富崎渡假村,Trip.com,豪華雙床小屋,6103,"新川1625, 石垣, 日本"
Fusaki Resort Village,富崎渡假村,Booking.com,小屋高級間- 禁煙 - 不退款 - 免費WiFi,6136,"新川1625, 石垣, 日本"
Fusaki Resort Village,富崎渡假村,Hotels.com,"高級平房, 非吸煙房 (免費早餐, 免費停車, 免費無線上網)",5951,"新川1625, 石垣, 日本"
Fusaki Resort Village,富崎渡假村,Expedia.com.tw,"高級平房, 非吸煙房 (免費早餐, 免費停車, 免費無線上網)",5951,"新川1625, 石垣, 日本"
Fusaki Resort Village,富崎渡假村,Priceline.com,小屋高級間- 禁煙 - 不退款 - 免費WiFi,6136,"新川1625, 石垣, 日本"
Fusaki Resort Village,富崎渡假村,Trip.com,高級雙床小屋,6579,"新川1625, 石垣, 日本"
Fusaki Resort Village,富崎渡假村,Trip.com,高級雙床小屋,7161,"新川1625, 石垣, 日本"
Fusaki Resort Village,富崎渡假村,Hotels.com,"豪華平房, 非吸煙房 (免費早餐, 免費停車, 免費無線上網)",7009,"新川1625, 石垣, 日本"
Fusaki Resort Village,富崎渡假村,Expedia.com.tw,"豪華平房, 非吸煙房 (免費早餐, 免費停車, 免費無線上網)",7009,"新川1625, 石垣, 日本"
Fusaki Resort Village,富崎渡假村,Booking.com,豪華間- 禁煙 - 不退款 - 免費WiFi,7226,"新川1625, 石垣, 日本"
Fusaki Resort Village,富崎渡假村,Priceline.com,豪華間- 禁煙 - 不退款 - 免費WiFi,7226,"新川1625, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Agoda.com,客房(兩床) - 可吸菸,2449,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Booking.com,雙床房－可吸菸 - 不退款 - 免費WiFi,2450,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Agoda.com,客房(兩床) - 禁菸,2449,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Trip.com,客房,2464,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Booking.com,雙床房－禁菸 - 不退款 - 免費WiFi,2450,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Hotels.com,"雙床房, 吸煙房 (免費早餐, 免費停車, 免費無線上網)",2376,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Hotels.com,"雙床房, 非吸煙房 (免費早餐, 免費停車, 免費無線上網)",2376,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Expedia.com.tw,"雙床房, 吸煙房 (免費早餐, 免費停車, 免費無線上網)",2376,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Expedia.com.tw,"雙床房, 非吸煙房 (免費早餐, 免費停車, 免費無線上網)",2376,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,getaroom.com,"Twin Room, Non Smoking",2463,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,getaroom.com,"Twin Room, Smoking",2463,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Priceline.com,雙床房－可吸菸 - 不退款 - 免費WiFi,2450,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Priceline.com,雙床房－禁菸 - 不退款 - 免費WiFi,2450,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Hotels.com,"三人房, 非吸煙房 (Wide) (免費早餐, 免費停車, 免費無線上網)",3564,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Expedia.com.tw,"三人房, 非吸煙房 (Wide) (免費早餐, 免費停車, 免費無線上網)",3564,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Agoda.com,三人房 - 禁菸,3673,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Trip.com,三人房,3688,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Booking.com,三人間(禁煙) - 不退款 - 免費WiFi,3675,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,getaroom.com,"Wide Triple Room, Non Smoking",3686,"登野城16, 石垣, 日本"
Hotel Happy Holiday Ishigaki,石垣幸福假日酒店,Priceline.com,三人間(禁煙) - 不退款 - 免費WiFi,3675,"登野城16, 石垣, 日本"
Shiraho Friends House,白保友之家旅館,Booking.com,男生宿舍房單人床位 - 免費WiFi,980,"白保757-1, 石垣, 日本"
Shiraho Friends House,白保友之家旅館,Priceline.com,男生宿舍房單人床位 - 免費WiFi,980,"白保757-1, 石垣, 日本"
Shiraho Friends House,白保友之家旅館,Agoda.com,客房(兩床),1549,"白保757-1, 石垣, 日本"
Shiraho Friends House,白保友之家旅館,Booking.com,雙床房 - 免費WiFi,1716,"白保757-1, 石垣, 日本"
Shiraho Friends House,白保友之家旅館,Hotels.com,"四人房 (免費停車, 免費無線上網)",1716,"白保757-1, 石垣, 日本"
Shiraho Friends House,白保友之家旅館,Hotels.com,"家庭客房 (免費停車, 免費無線上網)",1716,"白保757-1, 石垣, 日本"
Shiraho Friends House,白保友之家旅館,Expedia.com.tw,"家庭客房 (免費停車, 免費無線上網)",1716,"白保757-1, 石垣, 日本"
Shiraho Friends House,白保友之家旅館,Expedia.com.tw,"四人房 (免費停車, 免費無線上網)",1716,"白保757-1, 石垣, 日本"
Shiraho Friends House,白保友之家旅館,Priceline.com,雙床房 - 免費WiFi,1716,"白保757-1, 石垣, 日本"
Vessel Hotel Ishigakijima,Vessel賓館石垣島,Trip.com,雙床房,2503,"濱崎町1丁目2-7, 石垣, 日本"
Vessel Hotel Ishigakijima,Vessel賓館石垣島,Booking.com,雙人間- 禁煙 - 不退款 - 免費WiFi,3923,"濱崎町1丁目2-7, 石垣, 日本"
Vessel Hotel Ishigakijima,Vessel賓館石垣島,Agoda.com,客房(雙人床),3098,"濱崎町1丁目2-7, 石垣, 日本"
Vessel Hotel Ishigakijima,Vessel賓館石垣島,Agoda.com,Standard Double Room 21 to 25 Sq M,3241,"濱崎町1丁目2-7, 石垣, 日本"
Vessel Hotel Ishigakijima,Vessel賓館石垣島,Trip.com,雙人房,3180,"濱崎町1丁目2-7, 石垣, 日本"
Vessel Hotel Ishigakijima,Vessel賓館石垣島,hrs.com,最優惠可訂房價格,3106,"濱崎町1丁目2-7, 石垣, 日本"
Vessel Hotel Ishigakijima,Vessel賓館石垣島,Jalan.net,雙人,3079,"濱崎町1丁目2-7, 石垣, 日本"
