旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Hakata Tokyu REI Hotel,博多東急REI酒店,Trip.com,大床房,3265,"博多站前1-2-23, 博多区, 福岡, 福岡縣, 日本"
Hakata Tokyu REI Hotel,博多東急REI酒店,Rakuten.Travel,雙人床間可吸煙房,3264,"博多站前1-2-23, 博多区, 福岡, 福岡縣, 日本"
Hakata Tokyu REI Hotel,博多東急REI酒店,Trip.com,大床房,3809,"博多站前1-2-23, 博多区, 福岡, 福岡縣, 日本"
Hakata Tokyu REI Hotel,博多東急REI酒店,Rakuten.Travel,雙人床間可吸煙房,3808,"博多站前1-2-23, 博多区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,Agoda.com,小型雙人房,1729,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,Booking.com,雙人間帶小型雙人床 - 不退款 - 免費WiFi,2084,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,Trip.com,小型雙人房,1964,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,Hotels.com,一張小雙人床 (免費無線上網),1945,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,Expedia.com.tw,一張小雙人床 (免費無線上網),1945,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,getaroom.com,One Semidouble Bed,1963,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,Priceline.com,雙人間帶小型雙人床 - 不退款 - 免費WiFi,2084,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,Jalan.net,單人,2125,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,Agoda.com,Deluxe Single Room Smoking,2345,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,Trip.com,小型雙人房,2461,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,Hotels.com,"一張小雙人床 (免費早餐, 免費無線上網)",2455,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,Expedia.com.tw,"一張小雙人床 (免費早餐, 免費無線上網)",2455,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,getaroom.com,One Semidouble Bed,2460,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,Agoda.com,Standard Semi Double,2543,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,Agoda.com,客房(兩床),2644,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,skoosh.com,Nonrefundable Standard Semi Double - Room Only,2570,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
Hotel Ascent Fukuoka,福岡晉飯店,Booking.com,雙人間帶小型雙人床 - 不退款 - 免費WiFi,2861,"天神3-3-14, 中央区, 福岡, 福岡縣, 日本"
