旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Comfort Hotel Akita,秋田Comfort飯店,Trip.com,經濟房,2721,"千秋久保田町3-23, 秋田, 秋田縣, 日本"
Comfort Hotel Akita,秋田Comfort飯店,Trip.com,客房,3186,"千秋久保田町3-23, 秋田, 秋田縣, 日本"
Comfort Hotel Akita,秋田Comfort飯店,Jalan.net,兩小床,3106,"千秋久保田町3-23, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Agoda.com,Twin Room,3270,"中通1-3-5, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Booking.com,標准雙床間 -可吸煙 - 免費WiFi,4414,"中通1-3-5, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Trip.com,標準房 (免費WiFi),3224,"中通1-3-5, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Trip.com,標準房 (免費WiFi),3992,"中通1-3-5, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Trip.com,客房,4114,"中通1-3-5, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Agoda.com,標準兩床房- 禁煙,4412,"中通1-3-5, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Agoda.com,標準房(兩床) - 可吸菸,4412,"中通1-3-5, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Agoda.com,Smoking,4566,"中通1-3-5, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Booking.com,標準雙床間- 禁煙 - 免費WiFi,4414,"中通1-3-5, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Priceline.com,標准雙床間 -可吸煙 - 免費WiFi,4414,"中通1-3-5, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Priceline.com,標準雙床間- 禁煙 - 免費WiFi,4414,"中通1-3-5, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Trip.com,客房,4701,"中通1-3-5, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Booking.com,標准雙床間 -可吸煙 - 免費WiFi,5238,"中通1-3-5, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Booking.com,標準雙床間- 禁煙 - 免費WiFi,5238,"中通1-3-5, 秋田, 秋田縣, 日本"
Akita Castle Hotel,秋田城堡飯店,Priceline.com,標准雙床間 -可吸煙 - 免費WiFi,5238,"中通1-3-5, 秋田, 秋田縣, 日本"
