旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Daiwa Roynet Hotel Naha Omoromachi,那霸歌町大和ROYNET飯店,Agoda.com,好萊塢客房(兩床) - 可住2人/可吸菸,2796,"歌町1-1-2, 那霸, 日本"
Daiwa Roynet Hotel Naha Omoromachi,那霸歌町大和ROYNET飯店,Agoda.com,客房(兩床) - 可住2人/可吸菸,2796,"歌町1-1-2, 那霸, 日本"
Daiwa Roynet Hotel Naha Omoromachi,那霸歌町大和ROYNET飯店,Hotels.com,"標準雙人房, 吸煙房 (For 2 people) (免費無線上網)",2695,"歌町1-1-2, 那霸, 日本"
Daiwa Roynet Hotel Naha Omoromachi,那霸歌町大和ROYNET飯店,Hotels.com,"標準雙人房, 非吸煙房 (For 2 people) - Non Refundable - Room Only (免費無線上網)",2695,"歌町1-1-2, 那霸, 日本"
Daiwa Roynet Hotel Naha Omoromachi,那霸歌町大和ROYNET飯店,Expedia.com.tw,"標準雙人房, 吸煙房 (For 2 people) (免費無線上網)",2782,"歌町1-1-2, 那霸, 日本"
Daiwa Roynet Hotel Naha Omoromachi,那霸歌町大和ROYNET飯店,Expedia.com.tw,"標準雙人房, 非吸煙房 (For 2 people) - Non Refundable - Room Only (免費無線上網)",2782,"歌町1-1-2, 那霸, 日本"
Daiwa Roynet Hotel Naha Omoromachi,那霸歌町大和ROYNET飯店,Agoda.com,Standard Double Room 16 to 20 Sq M,2990,"歌町1-1-2, 那霸, 日本"
Daiwa Roynet Hotel Naha Omoromachi,那霸歌町大和ROYNET飯店,Agoda.com,標準雙人房 - 可住2人/可吸菸,2995,"歌町1-1-2, 那霸, 日本"
Daiwa Roynet Hotel Naha Omoromachi,那霸歌町大和ROYNET飯店,Hotels.com,"雙床房, 2 張單人床, 非吸煙房 (免費無線上網)",3002,"歌町1-1-2, 那霸, 日本"
Daiwa Roynet Hotel Naha Omoromachi,那霸歌町大和ROYNET飯店,Hotels.com,"雙人房, 吸煙房 (Hollywood For 2 people) (免費無線上網)",3002,"歌町1-1-2, 那霸, 日本"
Daiwa Roynet Hotel Naha Omoromachi,那霸歌町大和ROYNET飯店,Hotels.com,"雙人房, 非吸煙房 (Hollywood For 2 poeple) (免費無線上網)",3002,"歌町1-1-2, 那霸, 日本"
Daiwa Roynet Hotel Naha Omoromachi,那霸歌町大和ROYNET飯店,Expedia.com.tw,"雙床房, 2 張單人床, 非吸煙房 (免費無線上網)",3098,"歌町1-1-2, 那霸, 日本"
