旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Agoda.com,Double Room with Small Double Bed - Non-Smoking,2601,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Booking.com,雙人房 - 附小型雙人床 - 可吸菸 - 不退款 - 免費WiFi,2602,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Agoda.com,Double Room with Small Double Bed - Smoking,2601,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Agoda.com,Standard Single [Non Smoking] [Sleeps 2],2726,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Agoda.com,Standard Single [Sleeps 2],2726,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Trip.com,單人房,2656,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Trip.com,小間大床房,2669,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Booking.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,2602,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Priceline.com,雙人房 - 附小型雙人床 - 可吸菸 - 不退款 - 免費WiFi,2602,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Priceline.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,2602,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Jalan.net,半雙人床,2595,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Agoda.com,Comfort Single [Sleeps 2],2823,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Trip.com,舒適單人房 (免費WiFi),2767,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Trip.com,標準房,2934,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Hotel.info,最優惠可訂房價格,2851,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Trip.com,舒適單人房,2952,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Trip.com,單人房,3065,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Jalan.net,單人,2948,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Trip.com,舒適雙床房 (免費WiFi),3228,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Trip.com,雙床房,3274,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Booking.com,雙床房－可吸菸 - 不退款 - 免費WiFi,3269,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Booking.com,雙床房－禁菸 - 不退款 - 免費WiFi,3269,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Hotels.com,"雙床房, 非吸煙房 - Breakfast Included (免費早餐, 免費無線上網)",3269,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Hotels.com,"雙床房, 吸煙房 (免費早餐, 免費無線上網)",3269,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Expedia.com.tw,"雙床房, 非吸煙房 - Breakfast Included (免費早餐, 免費無線上網)",3269,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,Expedia.com.tw,"雙床房, 吸煙房 (免費早餐, 免費無線上網)",3269,"北大通13-2-10, 釧路, 北海道, 日本"
Hotel Route Inn Kushiro Ekimae,釧路站前Route Inn飯店,getaroom.com,"Twin Room, Smoking",3273,"北大通13-2-10, 釧路, 北海道, 日本"
