旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Hostel Casa Noda,卡薩野田青年旅館,Agoda.com,宿舍房(上下舖床) - 男女混合,1191,"元船町6-1, 長崎, 長崎縣, 日本"
Hostel Casa Noda,卡薩野田青年旅館,Booking.com,混合宿舍間的1張床位 - 不退款 - 免費WiFi,1416,"元船町6-1, 長崎, 長崎縣, 日本"
Hostel Casa Noda,卡薩野田青年旅館,Agoda.com,宿舍房(上下舖床) - 限女性,1329,"元船町6-1, 長崎, 長崎縣, 日本"
Hostel Casa Noda,卡薩野田青年旅館,Agoda.com,Bunk Bed in Mixed Dormitory Room,1416,"元船町6-1, 長崎, 長崎縣, 日本"
Hostel Casa Noda,卡薩野田青年旅館,Agoda.com,Bunk Bed in Female Dormitory Room,1579,"元船町6-1, 長崎, 長崎縣, 日本"
Hostel Casa Noda,卡薩野田青年旅館,Booking.com,女生宿舍房單人床位 - 不退款 - 免費WiFi,1580,"元船町6-1, 長崎, 長崎縣, 日本"
Hostel Casa Noda,卡薩野田青年旅館,Hotels.com,"共用宿舍, 男女混合宿舍, 非吸煙房 (免費早餐, 免費無線上網)",1416,"元船町6-1, 長崎, 長崎縣, 日本"
Hostel Casa Noda,卡薩野田青年旅館,Hotels.com,"共用宿舍, 僅限女士, 非吸煙房 (免費早餐, 免費無線上網)",1580,"元船町6-1, 長崎, 長崎縣, 日本"
Hostel Casa Noda,卡薩野田青年旅館,Expedia.com.tw,"共用宿舍, 男女混合宿舍, 非吸煙房 (免費早餐, 免費無線上網)",1416,"元船町6-1, 長崎, 長崎縣, 日本"
Hostel Casa Noda,卡薩野田青年旅館,Expedia.com.tw,"共用宿舍, 僅限女士, 非吸煙房 (免費早餐, 免費無線上網)",1580,"元船町6-1, 長崎, 長崎縣, 日本"
Hostel Casa Noda,卡薩野田青年旅館,Priceline.com,混合宿舍間的1張床位 - 不退款 - 免費WiFi,1416,"元船町6-1, 長崎, 長崎縣, 日本"
Hostel Casa Noda,卡薩野田青年旅館,Priceline.com,女生宿舍房單人床位 - 不退款 - 免費WiFi,1580,"元船町6-1, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Agoda.com,隨機安排房型 - 禁菸,2519,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Booking.com,入住時由住宿安排客房 - 不退款 - 免費WiFi,2724,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Agoda.com,Refresh客房(兩床) - 禁菸,2771,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Agoda.com,Relax客房(兩床) - 可住2人/禁菸,2771,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Priceline.com,入住時由住宿安排客房 - 不退款 - 免費WiFi,2724,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Trip.com,客房,2993,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Trip.com,客房(休閑),2993,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Booking.com,雙床間- 舒緩 - 不退款 - 免費WiFi,2997,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Booking.com,雙床間- 含提神飲品 - 不退款 - 免費WiFi,2997,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Hotels.com,"雙人房 (REFRESH Type, Double Occupancy) (免費無線上網)",2997,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Hotels.com,"雙人房 (RELAX Type, Double Occupancy) (免費無線上網)",2997,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Expedia.com.tw,"雙人房 (REFRESH Type, Double Occupancy) (免費無線上網)",2997,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Expedia.com.tw,"雙人房 (RELAX Type, Double Occupancy) (免費無線上網)",2997,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Priceline.com,雙床間- 舒緩 - 不退款 - 免費WiFi,2997,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Priceline.com,雙床間- 含提神飲品 - 不退款 - 免費WiFi,2997,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Hotel.info,最優惠可訂房價格,2972,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,hrs.com,最優惠可訂房價格,2971,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Jalan.net,兩小床,2989,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Booking.com,入住時由住宿安排客房 - 不退款 - 免費WiFi,3487,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Priceline.com,入住時由住宿安排客房 - 不退款 - 免費WiFi,3487,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Jalan.net,最優惠可訂房價格,3478,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Trip.com,客房,3755,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Trip.com,客房(休閑),3755,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Booking.com,雙床間- 含提神飲品 - 不退款 - 免費WiFi,3760,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Booking.com,雙床間- 舒緩 - 不退款 - 免費WiFi,3760,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Hotels.com,"雙人房 (RELAX Type, Double Occupancy) (免費早餐, 免費無線上網)",3760,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Hotels.com,"雙人房 (REFRESH Type, Double Occupancy) (免費早餐, 免費無線上網)",3760,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Expedia.com.tw,"雙人房 (RELAX Type, Double Occupancy) (免費早餐, 免費無線上網)",3760,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Expedia.com.tw,"雙人房 (REFRESH Type, Double Occupancy) (免費早餐, 免費無線上網)",3760,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Priceline.com,雙床間- 含提神飲品 - 不退款 - 免費WiFi,3760,"濱町4-11, 長崎, 長崎縣, 日本"
Hotel Forza Nagasaki,長崎Forza飯店,Priceline.com,雙床間- 舒緩 - 不退款 - 免費WiFi,3760,"濱町4-11, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Agoda.com,雙人房 - 附小型雙人床 - 禁菸,3105,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Booking.com,雙人房 - 附小型雙人床 - 可吸菸 - 不退款 - 免費WiFi,3106,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Agoda.com,雙人房 - 附小型雙人床 - 可吸菸,3105,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Agoda.com,Main Building Standard Single Room Non-Smoking,3294,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Agoda.com,Main Building Standard Single Room Smoking,3294,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Trip.com,單人房,3257,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Booking.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,3106,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Priceline.com,雙人房 - 附小型雙人床 - 可吸菸 - 不退款 - 免費WiFi,3106,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Priceline.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,3106,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Hotel.info,最優惠可訂房價格,3189,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,hrs.com,最優惠可訂房價格,3187,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Rakuten.Travel,主樓標準單人間禁煙房,3210,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Rakuten.Travel,主樓標準單人間可吸煙房,3210,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Jalan.net,單人,3206,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Agoda.com,Standard Semi-Double Room 16 to 20 Sq M-Highly Recommended! Room Only Plan-Smoking,3602,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Booking.com,雙人房 - 附小型雙人床 - 可吸菸 - 不退款 - 免費WiFi,3580,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Booking.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,3580,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Priceline.com,雙人房 - 附小型雙人床 - 可吸菸 - 不退款 - 免費WiFi,3580,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Priceline.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,3580,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Rakuten.Travel,主樓標準單人間禁煙房,3683,"尾上町1-1, 長崎, 長崎縣, 日本"
JR Kyushu Hotel Nagasaki,長崎JR九州飯店,Rakuten.Travel,主樓標準單人間可吸煙房,3683,"尾上町1-1, 長崎, 長崎縣, 日本"
