旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Smile Hotel Shizuoka,靜岡微笑酒店,Agoda.com,STANDARD SEMI DOUBLE ROOM,1758,"傳馬町23-5, 靜岡, 靜崗縣, 日本"
Smile Hotel Shizuoka,靜岡微笑酒店,Booking.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,1907,"傳馬町23-5, 靜岡, 靜崗縣, 日本"
Smile Hotel Shizuoka,靜岡微笑酒店,Trip.com,小型大床房,1660,"傳馬町23-5, 靜岡, 靜崗縣, 日本"
Smile Hotel Shizuoka,靜岡微笑酒店,Jalan.net,半雙人床,1630,"傳馬町23-5, 靜岡, 靜崗縣, 日本"
Smile Hotel Shizuoka,靜岡微笑酒店,Agoda.com,客房(小型雙人床) - 禁菸,1906,"傳馬町23-5, 靜岡, 靜崗縣, 日本"
Smile Hotel Shizuoka,靜岡微笑酒店,Priceline.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,1907,"傳馬町23-5, 靜岡, 靜崗縣, 日本"
Hotel Century Shizuoka,世紀靜岡飯店,Agoda.com,Standard Double Room,4426,"南町18-1, 靜岡, 靜崗縣, 日本"
Hotel Century Shizuoka,世紀靜岡飯店,Booking.com,雙人間- 可吸煙 - 不退款 - 免費WiFi,4659,"南町18-1, 靜岡, 靜崗縣, 日本"
Hotel Century Shizuoka,世紀靜岡飯店,Agoda.com,Standard Twin Room,4426,"南町18-1, 靜岡, 靜崗縣, 日本"
Hotel Century Shizuoka,世紀靜岡飯店,Trip.com,標準雙人房,4272,"南町18-1, 靜岡, 靜崗縣, 日本"
Hotel Century Shizuoka,世紀靜岡飯店,Trip.com,標準雙床房,4272,"南町18-1, 靜岡, 靜崗縣, 日本"
Hotel Century Shizuoka,世紀靜岡飯店,Jalan.net,雙人,4266,"南町18-1, 靜岡, 靜崗縣, 日本"
Hotel Century Shizuoka,世紀靜岡飯店,Agoda.com,標準雙人房 - 可吸菸,4657,"南町18-1, 靜岡, 靜崗縣, 日本"
Hotel Century Shizuoka,世紀靜岡飯店,Priceline.com,雙人間- 可吸煙 - 不退款 - 免費WiFi,4659,"南町18-1, 靜岡, 靜崗縣, 日本"
Hotel Century Shizuoka,世紀靜岡飯店,Trip.com,標準雙人房,5196,"南町18-1, 靜岡, 靜崗縣, 日本"
Hotel Century Shizuoka,世紀靜岡飯店,Trip.com,標準雙床房,5196,"南町18-1, 靜岡, 靜崗縣, 日本"
Hotel Century Shizuoka,世紀靜岡飯店,Booking.com,雙人間- 可吸煙 - 不退款 - 免費WiFi,5585,"南町18-1, 靜岡, 靜崗縣, 日本"
Hotel Century Shizuoka,世紀靜岡飯店,Priceline.com,雙人間- 可吸煙 - 不退款 - 免費WiFi,5585,"南町18-1, 靜岡, 靜崗縣, 日本"
Shizutetsu Hotel Prezio Shizuoka Ekinan,靜鐵商旅Prezio靜岡站南,Trip.com,標準房,2920,"南町13-21, 靜岡, 靜崗縣, 日本"
Shizutetsu Hotel Prezio Shizuoka Ekinan,靜鐵商旅Prezio靜岡站南,Trip.com,高級房,3055,"南町13-21, 靜岡, 靜崗縣, 日本"
Shizutetsu Hotel Prezio Shizuoka Ekinan,靜鐵商旅Prezio靜岡站南,Trip.com,豪華單人房,3085,"南町13-21, 靜岡, 靜崗縣, 日本"
