旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Country Hotel Takayama,鄉村高山飯店,Agoda.com,經濟房(兩床) - 可吸菸,1986,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Booking.com,經濟雙床間- 禁煙 - 不退款 - 免費WiFi,2016,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Agoda.com,經濟房(兩床) - 禁菸,2015,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Trip.com,經濟雙床房,2122,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Booking.com,經濟雙床間- 吸煙 - 不退款 - 免費WiFi,2016,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Hotels.com,"雙人房, 吸煙房 (免費無線上網)",2125,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Expedia.com.tw,"雙人房, 吸煙房 (免費無線上網)",2125,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Priceline.com,經濟雙床間- 禁煙 - 不退款 - 免費WiFi,2016,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Priceline.com,經濟雙床間- 吸煙 - 不退款 - 免費WiFi,2016,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,hrs.com,最優惠可訂房價格,2107,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Jalan.net,兩小床,2119,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Trip.com,經濟雙床房,2558,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Booking.com,經濟雙床間- 禁煙 - 不退款 - 免費WiFi,2561,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Booking.com,經濟雙床間- 吸煙 - 不退款 - 免費WiFi,2561,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Hotels.com,"雙人房, 吸煙房 (免費早餐, 免費無線上網)",2561,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Expedia.com.tw,"雙人房, 吸煙房 (免費早餐, 免費無線上網)",2561,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Priceline.com,經濟雙床間- 禁煙 - 不退款 - 免費WiFi,2561,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Priceline.com,經濟雙床間- 吸煙 - 不退款 - 免費WiFi,2561,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Agoda.com,Double Room - Smoking,3214,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Booking.com,雙人間- 可吸煙 - 不退款 - 免費WiFi,3215,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Priceline.com,雙人間- 可吸煙 - 不退款 - 免費WiFi,3215,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Jalan.net,雙人,3206,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Agoda.com,Twin Room with Sofa Bed - Smoking,3758,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
Country Hotel Takayama,鄉村高山飯店,Booking.com,帶沙發床的雙床間- 可吸煙 - 不退款 - 免費WiFi,3760,"花里町6丁目38番地, 高山, 岐阜縣, 日本"
