旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Hotel Urbic Kagoshima,鹿兒島烏比克酒店,Trip.com,標準房,2885,"武1-3-1, 鹿兒島, 鹿兒島縣, 日本"
Hotel Urbic Kagoshima,鹿兒島烏比克酒店,Trip.com,標準房,3342,"武1-3-1, 鹿兒島, 鹿兒島縣, 日本"
Hotel Urbic Kagoshima,鹿兒島烏比克酒店,Agoda.com,Standard Twin Room 21 to 25 Sq M,3908,"武1-3-1, 鹿兒島, 鹿兒島縣, 日本"
Hotel Urbic Kagoshima,鹿兒島烏比克酒店,Hotel.info,最優惠可訂房價格,3783,"武1-3-1, 鹿兒島, 鹿兒島縣, 日本"
Hotel Urbic Kagoshima,鹿兒島烏比克酒店,hrs.com,最優惠可訂房價格,3782,"武1-3-1, 鹿兒島, 鹿兒島縣, 日本"
Hotel Urbic Kagoshima,鹿兒島烏比克酒店,Rakuten.Travel,標準雙床間 21-25平方米,3858,"武1-3-1, 鹿兒島, 鹿兒島縣, 日本"
Hotel Urbic Kagoshima,鹿兒島烏比克酒店,Agoda.com,Standard Twin Room 21 to 25 Sq M,4355,"武1-3-1, 鹿兒島, 鹿兒島縣, 日本"
Hotel Urbic Kagoshima,鹿兒島烏比克酒店,Agoda.com,Superior Twin Room 21 to 25 Sq M,4466,"武1-3-1, 鹿兒島, 鹿兒島縣, 日本"
Hotel Urbic Kagoshima,鹿兒島烏比克酒店,Trip.com,高級雙床房,4353,"武1-3-1, 鹿兒島, 鹿兒島縣, 日本"
Hotel Urbic Kagoshima,鹿兒島烏比克酒店,Rakuten.Travel,標準雙床間 21-25平方米,4299,"武1-3-1, 鹿兒島, 鹿兒島縣, 日本"
Hotel Urbic Kagoshima,鹿兒島烏比克酒店,Rakuten.Travel,高級雙床間 21-25平方米,4410,"武1-3-1, 鹿兒島, 鹿兒島縣, 日本"
Hotel Urbic Kagoshima,鹿兒島烏比克酒店,Trip.com,高級雙床房,4788,"武1-3-1, 鹿兒島, 鹿兒島縣, 日本"
Hotel Urbic Kagoshima,鹿兒島烏比克酒店,Rakuten.Travel,高級雙床間 21-25平方米,4851,"武1-3-1, 鹿兒島, 鹿兒島縣, 日本"
Hotel Sunflex Kagoshima,鹿兒島日光飯店,Jalan.net,半雙人床,1662,"堀江町19-14, 鹿兒島, 鹿兒島縣, 日本"
Hotel Sunflex Kagoshima,鹿兒島日光飯店,Agoda.com,Standard Double Room Smoking,2396,"堀江町19-14, 鹿兒島, 鹿兒島縣, 日本"
Hotel Sunflex Kagoshima,鹿兒島日光飯店,Hotel.info,最優惠可訂房價格,2297,"堀江町19-14, 鹿兒島, 鹿兒島縣, 日本"
Hotel Sunflex Kagoshima,鹿兒島日光飯店,hrs.com,最優惠可訂房價格,2296,"堀江町19-14, 鹿兒島, 鹿兒島縣, 日本"
Hotel Sunflex Kagoshima,鹿兒島日光飯店,Jalan.net,雙人,2316,"堀江町19-14, 鹿兒島, 鹿兒島縣, 日本"
Hotel Sunflex Kagoshima,鹿兒島日光飯店,Agoda.com,Standard Double Room Smoking,2509,"堀江町19-14, 鹿兒島, 鹿兒島縣, 日本"
Hotel Sunflex Kagoshima,鹿兒島日光飯店,Jalan.net,兩小床,2588,"堀江町19-14, 鹿兒島, 鹿兒島縣, 日本"
Hotel Sunflex Kagoshima,鹿兒島日光飯店,Agoda.com,Standard Twin Room,2678,"堀江町19-14, 鹿兒島, 鹿兒島縣, 日本"
