旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Garden Kawamura,川村花園,Agoda.com,客房(兩床),3316,"花輪字下花輪24, 鹿角, 秋田縣, 日本"
Garden Kawamura,川村花園,Agoda.com,客房(兩床),3919,"花輪字下花輪24, 鹿角, 秋田縣, 日本"
Yuze Hotel,湯瀨飯店,Booking.com,三人間(禁煙) - 不退款 - 免費WiFi,3705,"八幡平字湯瀬湯端43番地, 鹿角, 秋田縣, 日本"
Yuze Hotel,湯瀨飯店,Priceline.com,三人間(禁煙) - 不退款 - 免費WiFi,3705,"八幡平字湯瀬湯端43番地, 鹿角, 秋田縣, 日本"
Yuze Hotel,湯瀨飯店,Booking.com,三人間(禁煙) - 不退款 - 免費WiFi,4250,"八幡平字湯瀬湯端43番地, 鹿角, 秋田縣, 日本"
Yuze Hotel,湯瀨飯店,Booking.com,日式客房- 禁煙 - 不退款 - 免費WiFi,4250,"八幡平字湯瀬湯端43番地, 鹿角, 秋田縣, 日本"
Yuze Hotel,湯瀨飯店,Priceline.com,三人間(禁煙) - 不退款 - 免費WiFi,4250,"八幡平字湯瀬湯端43番地, 鹿角, 秋田縣, 日本"
Yuze Hotel,湯瀨飯店,Priceline.com,日式客房- 禁煙 - 不退款 - 免費WiFi,4250,"八幡平字湯瀬湯端43番地, 鹿角, 秋田縣, 日本"
Yuze Hotel,湯瀨飯店,Booking.com,山景禁煙日式客房 - 不退款 - 免費WiFi,4795,"八幡平字湯瀬湯端43番地, 鹿角, 秋田縣, 日本"
Yuze Hotel,湯瀨飯店,Booking.com,日式客房- 禁煙 - 不退款 - 免費WiFi,4795,"八幡平字湯瀬湯端43番地, 鹿角, 秋田縣, 日本"
Yuze Hotel,湯瀨飯店,Priceline.com,山景禁煙日式客房 - 不退款 - 免費WiFi,4795,"八幡平字湯瀬湯端43番地, 鹿角, 秋田縣, 日本"
Yuze Hotel,湯瀨飯店,Priceline.com,日式客房- 禁煙 - 不退款 - 免費WiFi,4795,"八幡平字湯瀬湯端43番地, 鹿角, 秋田縣, 日本"
Yuze Hotel,湯瀨飯店,Booking.com,山景禁煙日式客房 - 不退款 - 免費WiFi,5340,"八幡平字湯瀬湯端43番地, 鹿角, 秋田縣, 日本"
Yuze Hotel,湯瀨飯店,Priceline.com,山景禁煙日式客房 - 不退款 - 免費WiFi,5340,"八幡平字湯瀬湯端43番地, 鹿角, 秋田縣, 日本"
Hotel Kazuno,鹿角酒店,Expedia.com.tw,"客房 (免費早餐, 免費停車, 免費無線上網)",3524,"字中谷地5-1, 鹿角, 秋田縣, 日本"
Hotel Kazuno,鹿角酒店,Booking.com,大型雙床間 - 不退款 - 免費WiFi,3825,"字中谷地5-1, 鹿角, 秋田縣, 日本"
Hotel Kazuno,鹿角酒店,Expedia.com.tw,"傳統客房 (免費早餐, 免費停車, 免費無線上網)",3524,"字中谷地5-1, 鹿角, 秋田縣, 日本"
Hotel Kazuno,鹿角酒店,Expedia.com.tw,"標準雙人房, 2 張單人床 (免費早餐, 免費停車, 免費無線上網)",3524,"字中谷地5-1, 鹿角, 秋田縣, 日本"
Hotel Kazuno,鹿角酒店,Jalan.net,日式床,3404,"字中谷地5-1, 鹿角, 秋田縣, 日本"
Hotel Kazuno,鹿角酒店,Jalan.net,兩小床,3404,"字中谷地5-1, 鹿角, 秋田縣, 日本"
Hotel Kazuno,鹿角酒店,Booking.com,日式四人間 - 不退款 - 免費WiFi,3825,"字中谷地5-1, 鹿角, 秋田縣, 日本"
Hotel Kazuno,鹿角酒店,Booking.com,標準雙床房 - 不退款 - 免費WiFi,3825,"字中谷地5-1, 鹿角, 秋田縣, 日本"
Hotel Kazuno,鹿角酒店,Expedia.com.tw,"標準雙人房, 2 張單人床 (免費早餐, 免費停車, 免費無線上網)",3907,"字中谷地5-1, 鹿角, 秋田縣, 日本"
Hotel Kazuno,鹿角酒店,Expedia.com.tw,"客房 (免費早餐, 免費停車, 免費無線上網)",3907,"字中谷地5-1, 鹿角, 秋田縣, 日本"
Hotel Kazuno,鹿角酒店,Expedia.com.tw,"傳統客房 (免費早餐, 免費停車, 免費無線上網)",3907,"字中谷地5-1, 鹿角, 秋田縣, 日本"
Hotel Kazuno,鹿角酒店,Priceline.com,大型雙床間 - 不退款 - 免費WiFi,3825,"字中谷地5-1, 鹿角, 秋田縣, 日本"
Hotel Kazuno,鹿角酒店,Priceline.com,日式四人間 - 不退款 - 免費WiFi,3825,"字中谷地5-1, 鹿角, 秋田縣, 日本"
