旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Hotel Airport,機場飯店,Trip.com,高級大床房 (免費WiFi),2160,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,Trip.com,高級雙床房 (免費WiFi),2160,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,直接跟飯店訂房,標準雙人床客房 - 包含Wi-Fi,2282,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,直接跟飯店訂房,標準兩小床客房 - 包含Wi-Fi,2282,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,Agoda.com,高級雙人房,2314,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,Trip.com,豪華雙床房 (免費WiFi),2442,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,Hotels.com,"高級雙人房 (免費停車, 免費無線上網)",2332,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,Expedia.com.tw,"高級雙人房 (免費停車, 免費無線上網)",2332,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,getaroom.com,Superior Twin Room,2357,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,getaroom.com,Superior Double Room,2357,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,直接跟飯店訂房,豪華兩小床客房 - 包含Wi-Fi,2588,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,Hotels.com,"高級雙人房 (免費早餐, 免費停車, 免費無線上網)",2609,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,Hotels.com,"高級雙人房 - Breakfast for 1 (免費早餐, 免費停車, 免費無線上網)",2609,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,Hotels.com,"豪華雙人房 (免費停車, 免費無線上網)",2637,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,Expedia.com.tw,"高級雙人房 (免費早餐, 免費停車, 免費無線上網)",2609,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,Expedia.com.tw,"高級雙人房 - Breakfast for 1 (免費早餐, 免費停車, 免費無線上網)",2609,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,Expedia.com.tw,"豪華雙人房 (免費停車, 免費無線上網)",2637,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,getaroom.com,Deluxe Twin Room,2646,"221,Gonghang-Ro, 東區, 大邱, 南韓"
Hotel Airport,機場飯店,Trip.com,高級大床房,2881,"221,Gonghang-Ro, 東區, 大邱, 南韓"
