旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
You&I Guesthouse,你&我賓館,Booking.com,6床女性宿舍间的1张床位 - 不退款 - 免費WiFi,944,"1-2, Gwangyang 8-gil, 濟州, 濟州特別自治道, 南韓"
You&I Guesthouse,你&我賓館,Booking.com,4床女性宿舍間的1張床位 - 不退款 - 免費WiFi,1055,"1-2, Gwangyang 8-gil, 濟州, 濟州特別自治道, 南韓"
You&I Guesthouse,你&我賓館,Priceline.com,6床女性宿舍间的1张床位 - 不退款 - 免費WiFi,944,"1-2, Gwangyang 8-gil, 濟州, 濟州特別自治道, 南韓"
You&I Guesthouse,你&我賓館,Priceline.com,4床女性宿舍間的1張床位 - 不退款 - 免費WiFi,1055,"1-2, Gwangyang 8-gil, 濟州, 濟州特別自治道, 南韓"
You&I Guesthouse,你&我賓館,Agoda.com,客房(兩床),1330,"1-2, Gwangyang 8-gil, 濟州, 濟州特別自治道, 南韓"
You&I Guesthouse,你&我賓館,Agoda.com,雙人房,1330,"1-2, Gwangyang 8-gil, 濟州, 濟州特別自治道, 南韓"
You&I Guesthouse,你&我賓館,Booking.com,標準雙床房 - 不退款 - 免費WiFi,1388,"1-2, Gwangyang 8-gil, 濟州, 濟州特別自治道, 南韓"
You&I Guesthouse,你&我賓館,Booking.com,標準雙人房 - 不退款 - 免費WiFi,1388,"1-2, Gwangyang 8-gil, 濟州, 濟州特別自治道, 南韓"
You&I Guesthouse,你&我賓館,Priceline.com,標準雙床房 - 不退款 - 免費WiFi,1388,"1-2, Gwangyang 8-gil, 濟州, 濟州特別自治道, 南韓"
You&I Guesthouse,你&我賓館,Priceline.com,標準雙人房 - 不退款 - 免費WiFi,1388,"1-2, Gwangyang 8-gil, 濟州, 濟州特別自治道, 南韓"
You&I Guesthouse,你&我賓館,Agoda.com,三人房,1596,"1-2, Gwangyang 8-gil, 濟州, 濟州特別自治道, 南韓"
You&I Guesthouse,你&我賓館,Booking.com,三人房 - 不退款 - 免費WiFi,1666,"1-2, Gwangyang 8-gil, 濟州, 濟州特別自治道, 南韓"
You&I Guesthouse,你&我賓館,Priceline.com,三人房 - 不退款 - 免費WiFi,1666,"1-2, Gwangyang 8-gil, 濟州, 濟州特別自治道, 南韓"
December Hotel Jeju,十二月飯店,Agoda.com,標準雙人房,1393,"15, Sammu-ro 1-gil, 濟州, 濟州特別自治道, 南韓"
December Hotel Jeju,十二月飯店,Booking.com,標準雙人房 - 不退款 - 免費WiFi,1527,"15, Sammu-ro 1-gil, 濟州, 濟州特別自治道, 南韓"
December Hotel Jeju,十二月飯店,Priceline.com,標準雙人房 - 不退款 - 免費WiFi,1527,"15, Sammu-ro 1-gil, 濟州, 濟州特別自治道, 南韓"
Shilla Stay Jeju,濟洲新羅舒泰酒店,Agoda.com,標準房(兩床),2624,"老蓮路100, 濟州, 濟州特別自治道, 南韓"
Shilla Stay Jeju,濟洲新羅舒泰酒店,Booking.com,標準雙床房 - 不退款 - 免費WiFi,2804,"老蓮路100, 濟州, 濟州特別自治道, 南韓"
Shilla Stay Jeju,濟洲新羅舒泰酒店,Priceline.com,標準雙床房 - 不退款 - 免費WiFi,2804,"老蓮路100, 濟州, 濟州特別自治道, 南韓"
Shilla Stay Jeju,濟洲新羅舒泰酒店,Hotels.com,"標準雙人房, 2 張單人床 (免費停車, 免費無線上網)",3115,"老蓮路100, 濟州, 濟州特別自治道, 南韓"
Shilla Stay Jeju,濟洲新羅舒泰酒店,Expedia.com.tw,"標準雙人房, 2 張單人床 (免費停車, 免費無線上網)",3115,"老蓮路100, 濟州, 濟州特別自治道, 南韓"
Shilla Stay Jeju,濟洲新羅舒泰酒店,getaroom.com,Standard Twin Room,3130,"老蓮路100, 濟州, 濟州特別自治道, 南韓"
Shilla Stay Jeju,濟洲新羅舒泰酒店,Agoda.com,標準房(兩床),3319,"老蓮路100, 濟州, 濟州特別自治道, 南韓"
Shilla Stay Jeju,濟洲新羅舒泰酒店,Trip.com,標準房 (免費WiFi),3423,"老蓮路100, 濟州, 濟州特別自治道, 南韓"
Shilla Stay Jeju,濟洲新羅舒泰酒店,Booking.com,標準雙床房 - 不退款 - 免費WiFi,3464,"老蓮路100, 濟州, 濟州特別自治道, 南韓"
Shilla Stay Jeju,濟洲新羅舒泰酒店,Priceline.com,標準雙床房 - 不退款 - 免費WiFi,3464,"老蓮路100, 濟州, 濟州特別自治道, 南韓"
Shilla Stay Jeju,濟洲新羅舒泰酒店,直接跟飯店訂房,標準兩小床客房 - 包含Wi-Fi [2位大人],3950,"老蓮路100, 濟州, 濟州特別自治道, 南韓"
Shilla Stay Jeju,濟洲新羅舒泰酒店,Hotels.com,"標準雙人房, 2 張單人床 - Breakfast Included Pro (免費早餐, 免費停車, 免費無線上網)",3848,"老蓮路100, 濟州, 濟州特別自治道, 南韓"
Shilla Stay Jeju,濟洲新羅舒泰酒店,Expedia.com.tw,"標準雙人房, 2 張單人床 - Breakfast Included Pro (免費早餐, 免費停車, 免費無線上網)",3848,"老蓮路100, 濟州, 濟州特別自治道, 南韓"
Shilla Stay Jeju,濟洲新羅舒泰酒店,Trip.com,標準房 (免費WiFi),4324,"老蓮路100, 濟州, 濟州特別自治道, 南韓"
