旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Kkodak Kkodak Guesthouse,科達科達旅館,Agoda.com,雙人房,684,"39, Cheonji-ro, 西歸浦, 濟州特別自治道, 南韓"
Kkodak Kkodak Guesthouse,科達科達旅館,Booking.com,6床女性宿舍间的1张床位 - 不退款 - 免費WiFi,666,"39, Cheonji-ro, 西歸浦, 濟州特別自治道, 南韓"
Kkodak Kkodak Guesthouse,科達科達旅館,Agoda.com,商務雙人房,798,"39, Cheonji-ro, 西歸浦, 濟州特別自治道, 南韓"
Kkodak Kkodak Guesthouse,科達科達旅館,Trip.com,標準房 (免費WiFi),826,"39, Cheonji-ro, 西歸浦, 濟州特別自治道, 南韓"
Kkodak Kkodak Guesthouse,科達科達旅館,Booking.com,雙人房 - 不退款 - 免費WiFi,833,"39, Cheonji-ro, 西歸浦, 濟州特別自治道, 南韓"
Kkodak Kkodak Guesthouse,科達科達旅館,Hotels.com,雙人房 (免費無線上網),807,"39, Cheonji-ro, 西歸浦, 濟州特別自治道, 南韓"
Kkodak Kkodak Guesthouse,科達科達旅館,Expedia.com.tw,雙人房 (免費無線上網),807,"39, Cheonji-ro, 西歸浦, 濟州特別自治道, 南韓"
Kkodak Kkodak Guesthouse,科達科達旅館,Priceline.com,6床女性宿舍间的1张床位 - 不退款 - 免費WiFi,666,"39, Cheonji-ro, 西歸浦, 濟州特別自治道, 南韓"
Kkodak Kkodak Guesthouse,科達科達旅館,Priceline.com,雙人房 - 不退款 - 免費WiFi,833,"39, Cheonji-ro, 西歸浦, 濟州特別自治道, 南韓"
Kkodak Kkodak Guesthouse,科達科達旅館,Agoda.com,家庭房 - 可住3人,1026,"39, Cheonji-ro, 西歸浦, 濟州特別自治道, 南韓"
Kkodak Kkodak Guesthouse,科達科達旅館,Trip.com,商務房 (免費WiFi),949,"39, Cheonji-ro, 西歸浦, 濟州特別自治道, 南韓"
Kkodak Kkodak Guesthouse,科達科達旅館,Booking.com,4床男性宿舍間的1張床位 - 不退款 - 免費WiFi,1111,"39, Cheonji-ro, 西歸浦, 濟州特別自治道, 南韓"
