旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Hanok Sodamjeong,小譚亭韓屋旅館,Agoda.com,韓國傳統暖炕房,1973,"17, Cheomseong-ro 49beon-gil, 慶州, 慶尚北道, 南韓"
Hanok Sodamjeong,小譚亭韓屋旅館,Booking.com,雙人房 - 不退款 - 免費WiFi,1972,"17, Cheomseong-ro 49beon-gil, 慶州, 慶尚北道, 南韓"
Hanok Sodamjeong,小譚亭韓屋旅館,Priceline.com,雙人房 - 不退款 - 免費WiFi,1972,"17, Cheomseong-ro 49beon-gil, 慶州, 慶尚北道, 南韓"
Apple Motel Gyeongju,蘋果汽車旅館,Agoda.com,標準雙人房 - 禁菸,810,"20-12, Taejong-ro 699 beon-gil, 慶州, 慶尚北道, 南韓"
Apple Motel Gyeongju,蘋果汽車旅館,Booking.com,標準雙人房 - 不退款 - 免費WiFi,874,"20-12, Taejong-ro 699 beon-gil, 慶州, 慶尚北道, 南韓"
Apple Motel Gyeongju,蘋果汽車旅館,Agoda.com,Small Double Room,917,"20-12, Taejong-ro 699 beon-gil, 慶州, 慶尚北道, 南韓"
Apple Motel Gyeongju,蘋果汽車旅館,Booking.com,小型雙人間 - 不退款 - 免費WiFi,916,"20-12, Taejong-ro 699 beon-gil, 慶州, 慶尚北道, 南韓"
Apple Motel Gyeongju,蘋果汽車旅館,Priceline.com,標準雙人房 - 不退款 - 免費WiFi,874,"20-12, Taejong-ro 699 beon-gil, 慶州, 慶尚北道, 南韓"
Apple Motel Gyeongju,蘋果汽車旅館,Priceline.com,小型雙人間 - 不退款 - 免費WiFi,916,"20-12, Taejong-ro 699 beon-gil, 慶州, 慶尚北道, 南韓"
Apple Motel Gyeongju,蘋果汽車旅館,Agoda.com,豪華雙人房 - 禁菸,1112,"20-12, Taejong-ro 699 beon-gil, 慶州, 慶尚北道, 南韓"
Apple Motel Gyeongju,蘋果汽車旅館,Booking.com,豪華雙人房 - 不退款 - 免費WiFi,1111,"20-12, Taejong-ro 699 beon-gil, 慶州, 慶尚北道, 南韓"
Apple Motel Gyeongju,蘋果汽車旅館,Priceline.com,豪華雙人房 - 不退款 - 免費WiFi,1111,"20-12, Taejong-ro 699 beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Agoda.com,韓式暖炕房,1217,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Booking.com,韓式雙人間 - 免費WiFi,1374,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Agoda.com,標準房,1217,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Booking.com,標準雙人房 - 免費WiFi,1374,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Priceline.com,韓式雙人間 - 免費WiFi,1374,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Priceline.com,標準雙人房 - 免費WiFi,1374,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Agoda.com,豪華房(兩床),1626,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Booking.com,標準雙床房 - 免費WiFi,1624,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Hotels.com,"Korean Style Ondol Room (免費停車, 免費無線上網)",1527,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Hotels.com,"標準雙人房 (免費停車, 免費無線上網)",1527,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Expedia.com.tw,"Korean Style Ondol Room (免費停車, 免費無線上網)",1527,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Expedia.com.tw,"標準雙人房 (免費停車, 免費無線上網)",1527,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Priceline.com,標準雙床房 - 免費WiFi,1624,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Agoda.com,套房(兩床),1876,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Booking.com,豪華雙人房 - 免費WiFi,1874,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Hotels.com,"標準雙人房, 2 張單人床 (免費停車, 免費無線上網)",1804,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Expedia.com.tw,"標準雙人房, 2 張單人床 (免費停車, 免費無線上網)",1804,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Priceline.com,豪華雙人房 - 免費WiFi,1874,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Booking.com,套房 - 免費WiFi,2374,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
Sono Hotel,宿諾飯店,Priceline.com,套房 - 免費WiFi,2374,"2, Hwarang-ro 38beon-gil, 慶州, 慶尚北道, 南韓"
N Motel,N 汽車旅館,Hotels.com,"標準雙人房 (免費停車, 免費無線上網)",1077,"119-1, Noseo-dong,, 慶州, 慶尚北道, 南韓"
N Motel,N 汽車旅館,Booking.com,標準雙人房 - 免費WiFi,1388,"119-1, Noseo-dong,, 慶州, 慶尚北道, 南韓"
N Motel,N 汽車旅館,Expedia.com.tw,"標準雙人房 (免費停車, 免費無線上網)",1077,"119-1, Noseo-dong,, 慶州, 慶尚北道, 南韓"
N Motel,N 汽車旅館,Priceline.com,標準雙人房 - 免費WiFi,1388,"119-1, Noseo-dong,, 慶州, 慶尚北道, 南韓"
N Motel,N 汽車旅館,Booking.com,公園景豪華雙人房 - 免費WiFi,1749,"119-1, Noseo-dong,, 慶州, 慶尚北道, 南韓"
N Motel,N 汽車旅館,Priceline.com,公園景豪華雙人房 - 免費WiFi,1749,"119-1, Noseo-dong,, 慶州, 慶尚北道, 南韓"
Mini Hotel 141,141迷你飯店,Agoda.com,標準房(雙人床),1782,"141, Wonhyo-ro, 慶州, 慶尚北道, 南韓"
Mini Hotel 141,141迷你飯店,Booking.com,標準雙人房 - 不退款 - 免費WiFi,2027,"141, Wonhyo-ro, 慶州, 慶尚北道, 南韓"
Mini Hotel 141,141迷你飯店,直接跟飯店訂房,"標準客房 - 包含Wi-Fi, 包括私人停車場（附設）",2032,"141, Wonhyo-ro, 慶州, 慶尚北道, 南韓"
Mini Hotel 141,141迷你飯店,Hotels.com,"標準雙人房 (免費停車, 免費無線上網)",1966,"141, Wonhyo-ro, 慶州, 慶尚北道, 南韓"
Mini Hotel 141,141迷你飯店,Hotels.com,"傳統雙人房, 日式榻榻米 - Room only (免費停車, 免費無線上網)",1966,"141, Wonhyo-ro, 慶州, 慶尚北道, 南韓"
Mini Hotel 141,141迷你飯店,Expedia.com.tw,"標準雙人房 (免費停車, 免費無線上網)",1966,"141, Wonhyo-ro, 慶州, 慶尚北道, 南韓"
Mini Hotel 141,141迷你飯店,Expedia.com.tw,"傳統雙人房, 日式榻榻米 - Room only (免費停車, 免費無線上網)",1966,"141, Wonhyo-ro, 慶州, 慶尚北道, 南韓"
Mini Hotel 141,141迷你飯店,Priceline.com,標準雙人房 - 不退款 - 免費WiFi,2027,"141, Wonhyo-ro, 慶州, 慶尚北道, 南韓"
Mini Hotel 141,141迷你飯店,Agoda.com,家庭房(兩床),3124,"141, Wonhyo-ro, 慶州, 慶尚北道, 南韓"
Mini Hotel 141,141迷你飯店,直接跟飯店訂房,"豪華家庭式客房 (城市景觀) - 包含Wi-Fi, 包括私人停車場（附設）",3423,"141, Wonhyo-ro, 慶州, 慶尚北道, 南韓"
