價錢,內容,商家,房型,旅館名稱,旅館地址
1680,小木屋 - 不退款,Booking,DBL,溪頭妖怪村好聖地渡假木屋,南投縣鹿谷鄉興產路23之1號
1880,杉林景觀獨立陽台雙人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,溪頭妖怪村好聖地渡假木屋,南投縣鹿谷鄉興產路23之1號
2780,杉林景觀獨立陽台四人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,溪頭妖怪村好聖地渡假木屋,南投縣鹿谷鄉興產路23之1號
3280,杉林景觀獨立陽台三人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,TRP,溪頭妖怪村好聖地渡假木屋,南投縣鹿谷鄉興產路23之1號
3980,杉林景觀獨立陽台六人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,QUD,溪頭妖怪村好聖地渡假木屋,南投縣鹿谷鄉興產路23之1號
2500,【春遊季】含早餐+巧克力DIY 威尼斯景觀雙人房 二單床/一大床,雄獅,DBL,清境佛羅倫斯渡假山莊,南投縣仁愛鄉大同村榮光巷8-3號
2667,米蘭四人房(會員特惠) 雙床,Trip,FOUR,清境佛羅倫斯渡假山莊,南投縣仁愛鄉大同村榮光巷8-3號
2800,【春遊季】含早餐+巧克力DIY 米蘭四人房 二大床,雄獅,FOUR,清境佛羅倫斯渡假山莊,南投縣仁愛鄉大同村榮光巷8-3號
2950,標准四人間 - 不退款,Booking,DBL,清境佛羅倫斯渡假山莊,南投縣仁愛鄉大同村榮光巷8-3號
3099,米蘭四人房,AsiaYo,FOUR,清境佛羅倫斯渡假山莊,南投縣仁愛鄉大同村榮光巷8-3號
3765,歐洲庭園雙人套房(會員特惠) 大床,Trip,DBL,清境佛羅倫斯渡假山莊,南投縣仁愛鄉大同村榮光巷8-3號
3999,歐洲庭園雙人房,AsiaYo,DBL,清境佛羅倫斯渡假山莊,南投縣仁愛鄉大同村榮光巷8-3號
3999,巴洛克藝術雙人套房,AsiaYo,DBL,清境佛羅倫斯渡假山莊,南投縣仁愛鄉大同村榮光巷8-3號
4222,洛可可古典樓中樓套房(會員特惠) 雙床,Trip,FOUR,清境佛羅倫斯渡假山莊,南投縣仁愛鄉大同村榮光巷8-3號
4602,洛可可家庭間 - 不退款,Booking,DBL,清境佛羅倫斯渡假山莊,南投縣仁愛鄉大同村榮光巷8-3號
4838,洛可可古典樓中樓4人房,Expedia,FOUR,清境佛羅倫斯渡假山莊,南投縣仁愛鄉大同村榮光巷8-3號
5999,洛可可古典樓中樓四人套房,AsiaYo,FOUR,清境佛羅倫斯渡假山莊,南投縣仁愛鄉大同村榮光巷8-3號
8099,歐洲庭園VIP四人房,AsiaYo,FOUR,清境佛羅倫斯渡假山莊,南投縣仁愛鄉大同村榮光巷8-3號
3025,雙人房(Double Room) ,agoda,DBL,清境瑪格麗特花園山莊,南投縣仁愛鄉大同村信義巷39-1號
3178,花園雙人房 大床,Trip,DBL,清境瑪格麗特花園山莊,南投縣仁愛鄉大同村信義巷39-1號
3335,薰衣草花園三人房 床型未知,Trip,TRP,清境瑪格麗特花園山莊,南投縣仁愛鄉大同村信義巷39-1號
3360,薰衣草花園3人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,TRP,清境瑪格麗特花園山莊,南投縣仁愛鄉大同村信義巷39-1號
3360,瑪格麗特花園2人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,清境瑪格麗特花園山莊,南投縣仁愛鄉大同村信義巷39-1號
3360,瑪格麗特花園2人房,AsiaYo,DBL,清境瑪格麗特花園山莊,南投縣仁愛鄉大同村信義巷39-1號
3530,家庭房(Family Room) ,agoda,FOUR,清境瑪格麗特花園山莊,南投縣仁愛鄉大同村信義巷39-1號
3890,四人間 - 不退款,Booking,FOUR,清境瑪格麗特花園山莊,南投縣仁愛鄉大同村信義巷39-1號
3920,紫羅蘭景觀陽台4人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,清境瑪格麗特花園山莊,南投縣仁愛鄉大同村信義巷39-1號
3920,景觀4人房(不挑房),AsiaYo,FOUR,清境瑪格麗特花園山莊,南投縣仁愛鄉大同村信義巷39-1號
5460,景觀露台6人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,QUD,清境瑪格麗特花園山莊,南投縣仁愛鄉大同村信義巷39-1號
5460,景觀露台6人房,AsiaYo,QUD,清境瑪格麗特花園山莊,南投縣仁愛鄉大同村信義巷39-1號
5467,景觀露臺六人房 床型未知,Trip,QUD,清境瑪格麗特花園山莊,南投縣仁愛鄉大同村信義巷39-1號
2900,浪漫2人房,AsiaYo,DBL,清境優勝美地景觀民宿,南投縣仁愛鄉大同村榮光巷50號
3032,標準雙人房(Standard Double Room) ,agoda,DBL,清境優勝美地景觀民宿,南投縣仁愛鄉大同村榮光巷50號
3226,浪漫雙人房 大床,Trip,DBL,清境優勝美地景觀民宿,南投縣仁愛鄉大同村榮光巷50號
3400,溫馨親子4人房,AsiaYo,FOUR,清境優勝美地景觀民宿,南投縣仁愛鄉大同村榮光巷50號
3480,雙人間 - 不退款,Booking,DBL,清境優勝美地景觀民宿,南投縣仁愛鄉大同村榮光巷50號
3555,家庭房(Family Room) ,agoda,FOUR,清境優勝美地景觀民宿,南投縣仁愛鄉大同村榮光巷50號
3779,溫馨親子四人房 床型未知,Trip,FOUR,清境優勝美地景觀民宿,南投縣仁愛鄉大同村榮光巷50號
4080,高級四人間 - 不退款,Booking,FOUR,清境優勝美地景觀民宿,南投縣仁愛鄉大同村榮光巷50號
4200,景觀6人房,AsiaYo,QUD,清境優勝美地景觀民宿,南投縣仁愛鄉大同村榮光巷50號
4879,景觀六人房 床型未知,Trip,QUD,清境優勝美地景觀民宿,南投縣仁愛鄉大同村榮光巷50號
3200,【2018含早餐】 枯麻/百老匯主題房-2人入住 二大床,雄獅,DBL,溪頭妖怪村主題飯店-明山森林會館,南投縣鹿谷鄉內湖村興產路2-3號
3200,平日限定【一泊一食】2人同行3200元起-主題二大床（2人入住）(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,溪頭妖怪村主題飯店-明山森林會館,南投縣鹿谷鄉內湖村興產路2-3號
3500,平日限定【一泊一食】3人同行3500元起-主題二大床（3人入住）(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,TRP,溪頭妖怪村主題飯店-明山森林會館,南投縣鹿谷鄉內湖村興產路2-3號
3720,高級雙床間 - 不退款,Booking,DBL,溪頭妖怪村主題飯店-明山森林會館,南投縣鹿谷鄉內湖村興產路2-3號
3722,隨機安排房型 - 可住2人(Run Of House - 2 Adults) ,agoda,DBL,溪頭妖怪村主題飯店-明山森林會館,南投縣鹿谷鄉內湖村興產路2-3號
3750,【2018含早餐】 枯麻/百老匯主題房-3人入住 二大床,雄獅,TRP,溪頭妖怪村主題飯店-明山森林會館,南投縣鹿谷鄉內湖村興產路2-3號
4100,【一泊二食】早餐+晚餐 枯麻/百老匯主題房-2人入住 二大床(含早餐與晚餐),雄獅,DBL,溪頭妖怪村主題飯店-明山森林會館,南投縣鹿谷鄉內湖村興產路2-3號
4200,平日限定【一泊一食】溪頭螢火蟲季4人同行4200元起-主題二大床（4人入住）(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,溪頭妖怪村主題飯店-明山森林會館,南投縣鹿谷鄉內湖村興產路2-3號
4300,【2018含早餐】 枯麻/百老匯主題房-4人入住 二大床,雄獅,FOUR,溪頭妖怪村主題飯店-明山森林會館,南投縣鹿谷鄉內湖村興產路2-3號
