價錢,內容,商家,房型,旅館名稱,旅館地址
850,綠沐風格雙人套房(不挑房),AsiaYo,DBL,台中一中綠沐民宿,台中市北區錦新街271號
1000,雙人房 (免費無線上網)(不可退費-不可免費取消),Hotels,DBL,台中一中綠沐民宿,台中市北區錦新街271號
1000,雙人房,Expedia,DBL,台中一中綠沐民宿,台中市北區錦新街271號
3299,標准雙床間 - 不退款,Booking,DBL,台中金典酒店,台中市西區健行路1049號
3299,高級雙人房(Superior Double) ,agoda,DBL,台中金典酒店,台中市西區健行路1049號
3299,"高級客房, 2 張單人床 (免費停車, 免費無線上網)(不可退費-不可免費取消)",Hotels,DBL,台中金典酒店,台中市西區健行路1049號
3798,"豪華客房, 1 張特大雙人床",Expedia,DBL,台中金典酒店,台中市西區健行路1049號
4290,標准雙人間,Booking,DBL,台中金典酒店,台中市西區健行路1049號
4290,【含早餐】 精緻雙床雙人房 二小床(120X203CM),雄獅,DBL,台中金典酒店,台中市西區健行路1049號
4290,"高級客房, 1 張特大雙人床 (免費早餐, 免費停車, 免費無線上網)(不可退費-不可免費取消-自助早餐)",Hotels,DBL,台中金典酒店,台中市西區健行路1049號
4290,精緻雙人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,台中金典酒店,台中市西區健行路1049號
4311,"高級客房, 1 張特大雙人床",Expedia,TRP,台中金典酒店,台中市西區健行路1049號
4999,家庭間 - 不退款,Booking,FOUR,台中金典酒店,台中市西區健行路1049號
4999,豪華家庭房(Family Deluxe Room) ,agoda,FOUR,台中金典酒店,台中市西區健行路1049號
4999,"家庭客房 (免費停車, 免費無線上網)(不可退費-不可免費取消)",Hotels,FOUR,台中金典酒店,台中市西區健行路1049號
4999,家庭客房,Expedia,FOUR,台中金典酒店,台中市西區健行路1049號
5109,豪華家庭房(特惠) 雙床,Trip,FOUR,台中金典酒店,台中市西區健行路1049號
5830,家庭間,Booking,FOUR,台中金典酒店,台中市西區健行路1049號
5830,【含早餐】 豪華家庭房 2中床(150*200CM),雄獅,FOUR,台中金典酒店,台中市西區健行路1049號
5830,"家庭客房 (免費早餐, 免費停車, 免費無線上網)(不可退費-不可免費取消-自助早餐)",Hotels,FOUR,台中金典酒店,台中市西區健行路1049號
5830,豪華家庭房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,台中金典酒店,台中市西區健行路1049號
1599,"精緻雙人房, 1 張標準雙人床 (Room Only)",Expedia,DBL,台中新驛旅店-台中車站店,台中市東區復興路4段133號
1600,雅緻房(Elegant Room) ,agoda,DBL,台中新驛旅店-台中車站店,台中市東區復興路4段133號
3663,標准雙人間 - 不退款,Booking,DBL,台中亞緻大飯店,台中市西區英才路532號
1650,雅致雙人間 - 不退款,Booking,DBL,台中新驛旅店-台中車站店,台中市東區復興路4段133號
1650,"精緻雙人房, 1 張標準雙人床 (Room Only) (免費無線上網)(不可退費-不可免費取消)",Hotels,DBL,台中新驛旅店-台中車站店,台中市東區復興路4段133號
1799,"經濟客房, 1 張標準雙人床",Expedia,DBL,台中新驛旅店-台中車站店,台中市東區復興路4段133號
3663,標準房(雙人床)(Standard Double Bed) ,agoda,DBL,台中亞緻大飯店,台中市西區英才路532號
1818,"經濟客房, 1 張標準雙人床 (免費早餐, 免費無線上網)-省 59%(不可退費-不可免費取消-自助早餐)",Hotels,DBL,台中新驛旅店-台中車站店,台中市東區復興路4段133號
1880,標準客房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,台中新驛旅店-台中車站店,台中市東區復興路4段133號
1995,經濟雙人間 - 不退款,Booking,DBL,台中新驛旅店-台中車站店,台中市東區復興路4段133號
3663,【指定日】不含早餐 標準客房 一大床或二小床,雄獅,DBL,台中亞緻大飯店,台中市西區英才路532號
2870,"豪華三人房, 浴缸 (免費早餐, 免費無線上網)-省 59%(不可退費-不可免費取消-自助早餐)",Hotels,TRP,台中新驛旅店-台中車站店,台中市東區復興路4段133號
2870,"豪華三人房, 浴缸",Expedia,TRP,台中新驛旅店-台中車站店,台中市東區復興路4段133號
3150,豪華三人間 - 不退款,Booking,TRP,台中新驛旅店-台中車站店,台中市東區復興路4段133號
3663,"標準客房, 1 張特大雙人床 (免費停車, 免費無線上網)-省 63%(不可退費-不可免費取消)",Hotels,DBL,台中亞緻大飯店,台中市西區英才路532號
4199,【夏艷亞緻】6/1~8/31 標準客房 一大床或二小床,雄獅,DBL,台中亞緻大飯店,台中市西區英才路532號
4905,標准雙人間 - 單人用 - 不退款,Booking,SGL,台中亞緻大飯店,台中市西區英才路532號
5355,"標準客房, 1 張特大雙人床 (免費早餐, 免費停車, 免費無線上網)-省 55%(不可退費-不可免費取消-自助早餐)",Hotels,DBL,台中亞緻大飯店,台中市西區英才路532號
