價錢,內容,商家,房型,旅館名稱,旅館地址
8316,豪華特大房(Deluxe King Room) ,agoda,DBL,台北寒舍艾麗酒店,台北市信義區松高路18號
5500,高級雙床房,Expedia,DBL,台北福容大飯店,台北市建國南路一段266號
2581,標准雙人間（無窗） - 不退款,Booking,DBL,台北新驛旅店-西門捷運店,台北市中正區寶慶路63號
2813,標準房(Standard Room) ,agoda,DBL,台北新驛旅店-西門捷運店,台北市中正區寶慶路63號
2813,雅致雙人房 (免費無線上網)-省 42%(不可退費-不可免費取消),Hotels,DBL,台北新驛旅店-西門捷運店,台北市中正區寶慶路63號
3475,三人房(無窗) 床型未知,Trip,TRP,台北新驛旅店-西門捷運店,台北市中正區寶慶路63號
3638,三人間（無窗） - 不退款,Booking,TRP,台北新驛旅店-西門捷運店,台北市中正區寶慶路63號
3638,三人客房 (無窗) (免費無線上網)-省 32%(不可退費-不可免費取消),Hotels,TRP,台北新驛旅店-西門捷運店,台北市中正區寶慶路63號
3639,三人房(Triple Room) ,agoda,TRP,台北新驛旅店-西門捷運店,台北市中正區寶慶路63號
27084,"舒適套房, 1 間臥室, 邊間",Expedia,FOUR,台北萬豪酒店,台北市中山區樂群二路199號
434,宿舍 - 需共用衛浴(Dormitory (Shared Bathroom)) ,agoda,SGL,台北趣旅館 林森館,台北市中山區林森北路487號
1051,雙人房 - 無窗(Double Room No Window) ,agoda,DBL,台北趣旅館 林森館,台北市中山區林森北路487號
1168,"舒適雙床房, 2 張單人床 (免費早餐, 免費無線上網)-特別優惠: 省 30%(不可退費-不可免費取消-免費早餐-自助早餐)",Hotels,DBL,台北趣旅館 林森館,台北市中山區林森北路487號
1652,家庭房 - 需共用衛浴/可住4人(Family Room with Shared Bathroom - 4 Persons) ,agoda,FOUR,台北趣旅館 林森館,台北市中山區林森北路487號
1780,"4人家庭房 (公共衛浴) (免費早餐, 免費無線上網)-特別優惠: 省 30%(不可退費-不可免費取消-免費早餐-自助早餐)",Hotels,FOUR,台北趣旅館 林森館,台北市中山區林森北路487號
3412,高級雙床間 - 不退款,Booking,DBL,台北凱撒大飯店,台北市忠孝西路一段38號
3412,"高級雙床房, 2 張單人床",Expedia,DBL,台北凱撒大飯店,台北市忠孝西路一段38號
3413,"高級雙床房, 2 張單人床 - Room Only-Non-refundable (免費停車, 免費無線上網)-省 22%(不可退費-不可免費取消)",Hotels,DBL,台北凱撒大飯店,台北市忠孝西路一段38號
2580,"6人家庭房 (公共衛浴) (免費早餐, 免費無線上網)-特別優惠: 省 30%(不可退費-不可免費取消-免費早餐-自助早餐)",Hotels,QUD,台北趣旅館 林森館,台北市中山區林森北路487號
