價錢,內容,商家,房型,旅館名稱,旅館地址
990,英倫單人房,AsiaYo,SGL,台南安平英倫花園,台南市安平區健康二街489號
1500,復古工業雙人房,AsiaYo,DBL,台南安平英倫花園,台南市安平區健康二街489號
1549,Industrial房(Industrial Room) ,agoda,DBL,台南安平英倫花園,台南市安平區健康二街489號
1980,工業風四人房,AsiaYo,FOUR,台南安平英倫花園,台南市安平區健康二街489號
2410,四人房(Quad Room) ,agoda,FOUR,台南安平英倫花園,台南市安平區健康二街489號
22000,包棟,AsiaYo,QUD,台南安平英倫花園,台南市安平區健康二街489號
3888,僅有高級雙床間 - 不退款,Booking,DBL,台南大億麗緻酒店,台南市中區西門路一段660號
3888,高級房(兩床)(Superior Twin Room Only) ,agoda,DBL,台南大億麗緻酒店,台南市中區西門路一段660號
3888,【不含早睡到飽住房專案】 雅緻雙人房(單床) 一大床,雄獅,DBL,台南大億麗緻酒店,台南市中區西門路一段660號
3888,§【雄獅春季線上旅展】送超市購物金 雅緻雙人房(單床) 一大床,雄獅,DBL,台南大億麗緻酒店,台南市中區西門路一段660號
3888,"雅緻雙人房一大床不含早 (免費停車, 免費無線上網)(不可退費-不可免費取消)",Hotels,DBL,台南大億麗緻酒店,台南市中區西門路一段660號
4599,【兒童專屬FUN暑假】享升等加贈Häagen-Dazs冰淇淋 升等「豪華家庭房」 二大床,雄獅,FOUR,台南大億麗緻酒店,台南市中區西門路一段660號
4679,高級房(兩床) - 附早餐(Superior Twin with Breakfast) ,agoda,DBL,台南大億麗緻酒店,台南市中區西門路一段660號
5060,【一泊二食專案】早餐+晚餐 雅緻單人房 一大床(含早餐與晚餐),雄獅,SGL,台南大億麗緻酒店,台南市中區西門路一段660號
5666,【不含早睡到飽住房專案】 豪華四人房 二中床,雄獅,FOUR,台南大億麗緻酒店,台南市中區西門路一段660號
5748,高級雙人間 - 不退款,Booking,DBL,台南大億麗緻酒店,台南市中區西門路一段660號
5748,"高級雙床房 - Breakfast Included (免費早餐, 免費停車, 免費無線上網)(不可退費-不可免費取消-自助早餐)",Hotels,DBL,台南大億麗緻酒店,台南市中區西門路一段660號
5850,【一泊二食專案】早餐+晚餐 雅緻雙人房(單床) 一大床(含早餐與晚餐),雄獅,DBL,台南大億麗緻酒店,台南市中區西門路一段660號
9200,【一泊二食專案】早餐+晚餐 豪華四人房 二中床(含早餐與晚餐),雄獅,FOUR,台南大億麗緻酒店,台南市中區西門路一段660號
495,混合宿舍間的1張床位 - 不退款,Booking,SGL,台南承億輕旅,台南市中西區友愛街309巷20號
500,混合背包客床位,AsiaYo,SGL,台南承億輕旅,台南市中西區友愛街309巷20號
1320,"雙人房 (免費早餐, 免費無線上網)(不可退費-不可免費取消-免費早餐)",Hotels,DBL,台南承億輕旅,台南市中西區友愛街309巷20號
