價錢,內容,商家,房型,旅館名稱,旅館地址
1896,甜蜜的夢 大床,Trip,DBL,台東森呼吸Villa民宿,台東市浙江路62巷15號
3786,香桃木花園 床型未知,Trip,FOUR,台東森呼吸Villa民宿,台東市浙江路62巷15號
5259,快樂鼠尾草 床型未知,Trip,QUD,台東森呼吸Villa民宿,台東市浙江路62巷15號
1088,【小資精選】指定日優惠 微旅雙人房 一大床(150*180cm),雄獅,DBL,台東旅人驛站-鐵花光點館,台東縣台東市中山路414號
1400,微旅雙人房,AsiaYo,DBL,台東旅人驛站-鐵花光點館,台東縣台東市中山路414號
1988,【小資精選】指定日優惠 漫旅四人房 二大床(150*180cm)*2,雄獅,FOUR,台東旅人驛站-鐵花光點館,台東縣台東市中山路414號
2200,漫旅四人房,AsiaYo,FOUR,台東旅人驛站-鐵花光點館,台東縣台東市中山路414號
1486,客房(雙人床)(Double Bed Room) ,agoda,DBL,台東一品苑民宿,新興路1巷61弄18號
1700,貓頭鷹｜雙人房,AsiaYo,DBL,台東一品苑民宿,新興路1巷61弄18號
1800,標准雙人間 - 不退款,Booking,DBL,台東一品苑民宿,新興路1巷61弄18號
2056,紅貓頭鷹 大床,Trip,DBL,台東一品苑民宿,新興路1巷61弄18號
3999,§【雄獅★心旅行】 翠綠山嵐雙人房 一大床或二小床,雄獅,DBL,池上日暉國際渡假村,臺東縣池上鄉 新興村新興107號
4544,經典雙人房(Classical Double) ,agoda,DBL,池上日暉國際渡假村,臺東縣池上鄉 新興村新興107號
5188,§【雄獅★寶貝親子一起FUN】 翠綠山嵐四人房(2大2小) ,雄獅,FOUR,池上日暉國際渡假村,臺東縣池上鄉 新興村新興107號
5500,翠綠山嵐雙人房,旅遊王,DBL,池上日暉國際渡假村,臺東縣池上鄉 新興村新興107號
5665,【想飛的季節】3天2夜 翠綠山嵐雙人房 一大床或二小床(含早餐與晚餐),雄獅,DBL,池上日暉國際渡假村,臺東縣池上鄉 新興村新興107號
6195,經典家庭房(Classical Family) ,agoda,FOUR,池上日暉國際渡假村,臺東縣池上鄉 新興村新興107號
7500,翠綠山嵐家庭房(4人),旅遊王,FOUR,池上日暉國際渡假村,臺東縣池上鄉 新興村新興107號
8195,【想飛的季節】3天2夜 翠綠山嵐四人房 (含早餐與晚餐),雄獅,FOUR,池上日暉國際渡假村,臺東縣池上鄉 新興村新興107號
3850,§【4-6月兆豐卡友專案】卡友價$3499起 鹿春精緻雙人房 一大床,雄獅,DBL,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
4500,標准單人間 - 不退款,Booking,SGL,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
4900,標准大號床間 - 不退款,Booking,DBL,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
4900,雙人房(Double Room) ,agoda,DBL,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
4900,鹿春精緻雙人房(一大床)(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
5450,§【小資精選】含早晚餐 鹿春精緻雙人房 一大床(含早餐與晚餐),雄獅,DBL,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
5900,標准三人間 - 不退款,Booking,TRP,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
5900,三人房(Triple Room) ,agoda,TRP,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
5900,鹿春精緻三人房(一大床+一小床)(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,TRP,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
5999,§【小資精選】含早餐 鹿豐精緻四人房 二大床 或 四小床,雄獅,FOUR,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
6700,標准四人間 - 不退款,Booking,FOUR,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
6700,四人房(Quad Room) ,agoda,FOUR,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
6700,鹿豐精緻四人房(兩大床或四小床)(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
7450,§【小資精選】含早晚餐 鹿豐精緻四人房 二大床 或 四小床(含早餐與晚餐),雄獅,FOUR,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
7700,鹿泉和室五人房(榻榻米)(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,QUD,台東鹿野鹿鳴溫泉酒店,台東縣鹿野鄉中華路一段200號
2198,雙人房(照片此房型代表圖，房型格局需以現場實際為準),Expedia,DBL,台東康橋商旅城市之星-台東館,台東市中興路一段209巷16號
2199,標准雙人間 - 不退款,Booking,DBL,台東康橋商旅城市之星-台東館,台東市中興路一段209巷16號
2199,標準房(Standard) ,agoda,DBL,台東康橋商旅城市之星-台東館,台東市中興路一段209巷16號
2199,107年【限量促銷】二人成行1999~2899元起-標準客房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,台東康橋商旅城市之星-台東館,台東市中興路一段209巷16號
2600,含早餐 標準雙人客房 一大床,雄獅,DBL,台東康橋商旅城市之星-台東館,台東市中興路一段209巷16號
2695,標準雙人間 大床,Trip,DBL,台東康橋商旅城市之星-台東館,台東市中興路一段209巷16號
3500,豪華三人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,TRP,台東康橋商旅城市之星-台東館,台東市中興路一段209巷16號
3752,豪華三人間 床型未知,Trip,TRP,台東康橋商旅城市之星-台東館,台東市中興路一段209巷16號
4306,溫馨客房4人房 大床 雙床,Trip,FOUR,台東康橋商旅城市之星-台東館,台東市中興路一段209巷16號
3300,標准雙床間 - 不退款,Booking,DBL,台東桂田酒店,950台東縣台東市正氣路316號
