價錢,內容,商家,房型,旅館名稱,旅館地址
600,雅緻房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,嘉義新高大飯店,嘉義市中山路581號
808,標準雙人房(Standard Double) ,agoda,DBL,嘉義新高大飯店,嘉義市中山路581號
1000,家庭房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,嘉義新高大飯店,嘉義市中山路581號
1047,家庭房(Family Room) ,agoda,FOUR,嘉義新高大飯店,嘉義市中山路581號
3600,高級雙床間 - 不退款,Booking,DBL,阿里山神禾景觀餐廳民宿,嘉義縣阿里山鄉樂野段57-12 號
3600,高級房(兩床) - 限住2人(Superior Twin Room for 2 Adults ONLY) ,agoda,DBL,阿里山神禾景觀餐廳民宿,嘉義縣阿里山鄉樂野段57-12 號
1480,高級雙人房 大床,Trip,DBL,嘉義愛玩客民宿,嘉義市西區高鐵大道99號
2400,和風四人房 床型未知,Trip,FOUR,嘉義愛玩客民宿,嘉義市西區高鐵大道99號
3600,通鋪六人房 床型未知,Trip,QUD,嘉義愛玩客民宿,嘉義市西區高鐵大道99號
1286,臥龍客房,Expedia,DBL,嘉義樂客商旅,嘉義市西區林森西路155號
1936,摩登客房,Expedia,FOUR,嘉義樂客商旅,嘉義市西區林森西路155號
2602,玉璽客房,Expedia,QUD,嘉義樂客商旅,嘉義市西區林森西路155號
7200,標准雙人間 - 不退款(含早餐與晚餐),Booking,DBL,阿里山賓館,嘉義縣阿里山鄉香林村16號
7200,高級雙人房(Superior Double) (含早餐與晚餐),agoda,DBL,阿里山賓館,嘉義縣阿里山鄉香林村16號
7200,【2018一泊二食】 (歷史館)貴賓雙人房 一大床 或 二小床(含早餐與晚餐),雄獅,DBL,阿里山賓館,嘉義縣阿里山鄉香林村16號
7200,【2018一泊二食】贈送滋養乳液 (歷史館)貴賓雙人房 一大床 或 二小床(含早餐與晚餐),雄獅,DBL,阿里山賓館,嘉義縣阿里山鄉香林村16號
11560,豪華四人間 - 不退款(含早餐與晚餐),Booking,FOUR,阿里山賓館,嘉義縣阿里山鄉香林村16號
11560,豪華四人房(Deluxe Quad) (含早餐與晚餐),agoda,FOUR,阿里山賓館,嘉義縣阿里山鄉香林村16號
12000,【2018一泊二食】 (歷史館)貴賓四人房 一大床 + 遐思床(含早餐與晚餐),雄獅,FOUR,阿里山賓館,嘉義縣阿里山鄉香林村16號
