價錢,內容,商家,房型,旅館名稱,旅館地址
1925,【一般訂房】 標準客房 一大床,雄獅,DBL,基隆柯達大飯店-基隆店,基隆市義一路7號
1968,商務客房 大床 雙床,Trip,DBL,基隆柯達大飯店-基隆店,基隆市義一路7號
550,宿舍間的單人床,Booking,SGL,基隆輕旅背包客棧,基隆市仁愛區愛三路87號6樓之1
1350,標准雙人間 - 不退款,Booking,DBL,基隆水雲間客棧,基隆市中正區觀海街65號
10000,海景豪華套房 - 不退款,Booking,QUD,基隆水雲間客棧,基隆市中正區觀海街65號
2080,尊貴套房 - 不退款,Booking,DBL,基隆蔚藍海岸休閒SPA汽車旅館,基隆市安樂區武隆街67號
2080,"經典雙人房 (免費早餐, 免費停車, 免費無線上網)(不可退費-不可免費取消)",Hotels,DBL,基隆蔚藍海岸休閒SPA汽車旅館,基隆市安樂區武隆街67號
1765,客房(兩床)(Twin) ,agoda,DBL,基隆華帥海景飯店,基隆市仁愛區孝二路108號
1800,雙人間 - 不退款,Booking,DBL,基隆華帥海景飯店,基隆市仁愛區孝二路108號
1800,雅緻單人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,基隆華帥海景飯店,基隆市仁愛區孝二路108號
1800,雅致雙人房 大床,Trip,DBL,基隆華帥海景飯店,基隆市仁愛區孝二路108號
1800,雅緻客房,旅遊王,DBL,基隆華帥海景飯店,基隆市仁愛區孝二路108號
1950,"高級單人房, 1 張標準雙人床 (免費早餐, 免費無線上網)(可退費-可免費取消-自助早餐)",Hotels,DBL,基隆華帥海景飯店,基隆市仁愛區孝二路108號
1950,"高級單人房, 1 張標準雙人床",Expedia,DBL,基隆華帥海景飯店,基隆市仁愛區孝二路108號
3200,海景四人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,基隆華帥海景飯店,基隆市仁愛區孝二路108號
3200,海景四人房 雙床,Trip,FOUR,基隆華帥海景飯店,基隆市仁愛區孝二路108號
3200,海景四人房,旅遊王,FOUR,基隆華帥海景飯店,基隆市仁愛區孝二路108號
1630,經濟客房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,基隆東岸之星精品旅店,基隆市中正區信三路20號
1630,經濟客房,旅遊王,DBL,基隆東岸之星精品旅店,基隆市中正區信三路20號
1764,標準客房 大床,Trip,DBL,基隆東岸之星精品旅店,基隆市中正區信三路20號
1880,標准雙人間 - 不退款,Booking,DBL,基隆東岸之星精品旅店,基隆市中正區信三路20號
1880,"標準客房 (免費早餐, 免費無線上網)(可退費-可免費取消-自助早餐)",Hotels,DBL,基隆東岸之星精品旅店,基隆市中正區信三路20號
1418,簡約雙人房(Simple Double Room) ,agoda,DBL,基隆香草藝術旅店,基隆市信義區義三路6號
1880,標準客房,Expedia,DBL,基隆東岸之星精品旅店,基隆市中正區信三路20號
1480,簡單雙人間（無窗） - 不退款,Booking,DBL,基隆香草藝術旅店,基隆市信義區義三路6號
2750,溫馨家庭房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,基隆東岸之星精品旅店,基隆市中正區信三路20號
2750,溫馨家庭房,旅遊王,FOUR,基隆東岸之星精品旅店,基隆市中正區信三路20號
