價錢,內容,商家,房型,旅館名稱,旅館地址
2470,雙人房 A(Double A) ,agoda,DBL,宜蘭羅東夜市樂嚮民宿,宜蘭縣羅東鎮
2156,標準房(限住2人)(Standard - 2 Persons Only) ,agoda,DBL,宜蘭東方水漾民宿-峇里館,宜蘭縣礁溪鄉份尾一路7號
2200,豪華雙人間 - 帶淋浴,Booking,DBL,宜蘭東方水漾民宿-峇里館,宜蘭縣礁溪鄉份尾一路7號
2090,Double room(不含早餐),AsiaYo,DBL,宜蘭羅東夏爾民宿,宜蘭縣羅東鎮河濱路23巷1弄16號
2100,高級雙人房 (免費無線上網)(不可退費-不可免費取消),Hotels,DBL,宜蘭羅東夏爾民宿,宜蘭縣羅東鎮河濱路23巷1弄16號
2100,夏爾雙人套房 大床,Trip,DBL,宜蘭羅東夏爾民宿,宜蘭縣羅東鎮河濱路23巷1弄16號
2295,"高級雙人房 (免費早餐, 免費無線上網)-季節性優惠: 省 15%(不可退費-不可免費取消-免費早餐)",Hotels,DBL,宜蘭羅東夏爾民宿,宜蘭縣羅東鎮河濱路23巷1弄16號
2569,高級雙人房(Superior Double) ,agoda,DBL,宜蘭羅東夏爾民宿,宜蘭縣羅東鎮河濱路23巷1弄16號
2800,高級雙人間 - 不退款,Booking,DBL,宜蘭羅東夏爾民宿,宜蘭縣羅東鎮河濱路23巷1弄16號
4922,雅致客房 大床,Trip,DBL,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
5720,高級雙人或雙床間 - 不退款,Booking,DBL,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
5720,高級房(兩床)(Superior Room - Twin) ,agoda,DBL,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
5720,【含早餐】 雅緻客房(一大床)-2人入住 一大床,雄獅,DBL,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
5720,高級雙人房 (免費無線上網)(不可退費-不可免費取消),Hotels,DBL,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
5720,"高級雙人房 (免費早餐, 免費停車, 免費無線上網)(不可退費-不可免費取消-免費早餐)",Hotels,DBL,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
7700,【一泊二食優惠專案】 雅緻客房(一大床)-2人入住 一大床(含早餐與晚餐),雄獅,DBL,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
7744,家庭雙床房,Expedia,FOUR,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
7958,家庭客房 雙床,Trip,FOUR,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
8228,"套房, 2 張雙人床 (Hollywood Suite)",Expedia,TRP,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
8360,家庭房(兩床)(Family Twin) ,agoda,FOUR,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
8800,家庭間 - 不退款,Booking,FOUR,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
8800,【含早餐】 家庭客房-4人入住 二中床,雄獅,FOUR,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
8800,"家庭雙床房 (免費早餐, 免費停車, 免費無線上網)(不可退費-不可免費取消-免費早餐)",Hotels,FOUR,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
8883,三人套房(Triple Suite) ,agoda,TRP,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
9350,好萊塢套房 - 三人間 - 不退款,Booking,TRP,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
9350,"套房, 2 張雙人床 (Hollywood Suite) (免費早餐, 免費停車, 免費無線上網)(不可退費-不可免費取消-免費早餐)",Hotels,TRP,礁溪晶泉丰旅,宜蘭縣礁溪鄉溫泉路67號
2160,高級雙人間 - 不退款,Booking,DBL,宜蘭真水蘭陽白鷺鷥民宿,宜蘭縣冬山鄉武淵村東八路130號
2160,"雙人房 (免費早餐, 免費停車, 免費無線上網)-省 25%(不可退費-不可免費取消-免費早餐)",Hotels,DBL,宜蘭真水蘭陽白鷺鷥民宿,宜蘭縣冬山鄉武淵村東八路130號
2304,蘭陽、文化二人房,AsiaYo,DBL,宜蘭真水蘭陽白鷺鷥民宿,宜蘭縣冬山鄉武淵村東八路130號
2760,三人間 - 不退款,Booking,TRP,宜蘭真水蘭陽白鷺鷥民宿,宜蘭縣冬山鄉武淵村東八路130號
2760,"三人房 (免費早餐, 免費停車, 免費無線上網)-省 25%(不可退費-不可免費取消-免費早餐)",Hotels,TRP,宜蘭真水蘭陽白鷺鷥民宿,宜蘭縣冬山鄉武淵村東八路130號
2880,蘭陽╱文化二人套房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,宜蘭真水蘭陽白鷺鷥民宿,宜蘭縣冬山鄉武淵村東八路130號
3120,標准四人間 - 不退款,Booking,FOUR,宜蘭真水蘭陽白鷺鷥民宿,宜蘭縣冬山鄉武淵村東八路130號
3120,"四人房 (免費早餐, 免費停車, 免費無線上網)-省 25%(不可退費-不可免費取消-免費早餐)",Hotels,FOUR,宜蘭真水蘭陽白鷺鷥民宿,宜蘭縣冬山鄉武淵村東八路130號
3328,海洋四人房,AsiaYo,FOUR,宜蘭真水蘭陽白鷺鷥民宿,宜蘭縣冬山鄉武淵村東八路130號
