價錢,內容,商家,房型,旅館名稱,旅館地址
999,單人間 - 帶共用浴室和衛生間 - 不退款,Booking,SGL,墾丁家 La Maison 歐風海景民宿,"""No.206, Dengta Rd."""
999,單人住宿A(Single A) ,agoda,SGL,墾丁家 La Maison 歐風海景民宿,"""No.206, Dengta Rd."""
1660,標准雙人間 - 不退款,Booking,DBL,墾丁家 La Maison 歐風海景民宿,"""No.206, Dengta Rd."""
1660,小型雙人房(Small Double Room) ,agoda,DBL,墾丁家 La Maison 歐風海景民宿,"""No.206, Dengta Rd."""
1750,家有小小空間房,Expedia,DBL,墾丁家 La Maison 歐風海景民宿,"""No.206, Dengta Rd."""
2878,家有幸福空間兩人房 大床,Trip,DBL,墾丁家 La Maison 歐風海景民宿,"""No.206, Dengta Rd."""
3500,家有小小海景房,Expedia,TRP,墾丁家 La Maison 歐風海景民宿,"""No.206, Dengta Rd."""
4380,典雅四人間 - 不退款,Booking,FOUR,墾丁家 La Maison 歐風海景民宿,"""No.206, Dengta Rd."""
4380,四人房(Quad Room) ,agoda,FOUR,墾丁家 La Maison 歐風海景民宿,"""No.206, Dengta Rd."""
5249,家有大大海景房,Expedia,FOUR,墾丁家 La Maison 歐風海景民宿,"""No.206, Dengta Rd."""
6380,家有大大空間房,Expedia,QUD,墾丁家 La Maison 歐風海景民宿,"""No.206, Dengta Rd."""
7250,豪華家庭間 - 不退款,Booking,QUD,墾丁家 La Maison 歐風海景民宿,"""No.206, Dengta Rd."""
14520,蜜月套房(Honeymoon Suite) (含早餐與晚餐),agoda,DBL,墾丁牡丹灣Villa,屏東縣牡丹鄉旭海村旭海路85-1號
14520,【一泊五食】 蜜月二人套房 湖景臥房一大床(含早餐與晚餐),雄獅,DBL,墾丁牡丹灣Villa,屏東縣牡丹鄉旭海村旭海路85-1號
14520,蜜月套房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,墾丁牡丹灣Villa,屏東縣牡丹鄉旭海村旭海路85-1號
19800,【一泊五食】 VAVAYAN VILLA 二人房 和風臥房一大床(含早餐與晚餐),雄獅,FOUR,墾丁牡丹灣Villa,屏東縣牡丹鄉旭海村旭海路85-1號
1200,201別緻景觀2人房,AsiaYo,DBL,墾丁漫居民宿,46屏東縣恆春鎮中正路232巷225號
1706,景觀2人房 大床,Trip,DBL,墾丁漫居民宿,46屏東縣恆春鎮中正路232巷225號
1800,三人間,Booking,TRP,墾丁漫居民宿,46屏東縣恆春鎮中正路232巷225號
1800,501 溫馨親子景觀3人房,AsiaYo,TRP,墾丁漫居民宿,46屏東縣恆春鎮中正路232巷225號
2200,四人間,Booking,FOUR,墾丁漫居民宿,46屏東縣恆春鎮中正路232巷225號
2200,202 如意圓融4人房,AsiaYo,FOUR,墾丁漫居民宿,46屏東縣恆春鎮中正路232巷225號
2200,502 浪漫星辰景觀4人房,AsiaYo,SGL,墾丁漫居民宿,46屏東縣恆春鎮中正路232巷225號
2268,景觀三人房 床型未知,Trip,TRP,墾丁漫居民宿,46屏東縣恆春鎮中正路232巷225號
2649,景觀四人房 雙床,Trip,FOUR,墾丁漫居民宿,46屏東縣恆春鎮中正路232巷225號
3500,豪華家庭間,Booking,QUD,墾丁漫居民宿,46屏東縣恆春鎮中正路232巷225號
3500,302 如意圓融6人房,AsiaYo,QUD,墾丁漫居民宿,46屏東縣恆春鎮中正路232巷225號
3779,如意圓融六人房 床型未知,Trip,QUD,墾丁漫居民宿,46屏東縣恆春鎮中正路232巷225號
5808,海景豪華雙人間 - 帶陽台 - 單人用,Booking,SGL,墾丁後面有灣民宿,屏東縣車城鄉後灣路34號
6599,"高級雙床房, 1 間臥室, 露台, 海濱",Expedia,DBL,墾丁後面有灣民宿,屏東縣車城鄉後灣路34號
6600,海景豪華雙人間 - 帶陽台,Booking,DBL,墾丁後面有灣民宿,屏東縣車城鄉後灣路34號
7254,山景四人間,Booking,TRP,墾丁後面有灣民宿,屏東縣車城鄉後灣路34號
8823,"高級樓中樓客房, 1 間臥室, 山景, 樓中樓",Expedia,QUD,墾丁後面有灣民宿,屏東縣車城鄉後灣路34號
9822,"高級雙床房, 1 間臥室, 私人泳池, 庭園",Expedia,TRP,墾丁後面有灣民宿,屏東縣車城鄉後灣路34號
3185,高級雙人房(Superior Double) ,agoda,DBL,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
3199,【含早餐專案】(可加人) 景緻客房(2人入住) ,雄獅,DBL,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
3199,【雄獅國旅卡友節】(可加人) 景緻客房升等「樓中樓房」(可加人) 一大床+日式墊被,雄獅,QUD,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
3699,悠活可可祭 A＿一泊一食／景緻客房,旅遊王,DBL,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
3819,高級三人房(Superior Triple) ,agoda,TRP,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
3969,【含早餐專案】(可加人) 景緻客房(3人入住) ,雄獅,TRP,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
4074,高級雙人房(Superior Double) (含早餐與晚餐),agoda,DBL,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
4413,高級家庭房(Superior Family) ,agoda,FOUR,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
4575,景緻客房 ,Expedia,FOUR,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
4576,"景緻客房  (免費早餐, 免費停車, 免費無線上網)-省 50%(不可退費-不可免費取消-自助早餐)",Hotels,FOUR,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
4699,【悠活可可祭(B)專案(含早晚餐)】(可加人) 景緻客房(2人入住) (含早餐與晚餐),雄獅,DBL,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
4739,【含早餐專案】(可加人) 景緻客房(4人入住) ,雄獅,FOUR,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
5231,高級三人房(Superior Triple) (含早餐與晚餐),agoda,TRP,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
6388,高級家庭房(Superior Family) (含早餐與晚餐),agoda,FOUR,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
6706,景緻客房 (含早餐與晚餐),Expedia,FOUR,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
6707,"景緻客房  (免費早餐, 免費停車, 免費無線上網)-提前預訂優惠 19%(不可退費-不可免費取消-一泊二食)(含早餐與晚餐)",Hotels,FOUR,墾丁悠活渡假村,屏東縣恆春鎮萬里路27之8號
3850,2018【春季限定(含早餐)(3天2夜)】~6/30 普羅館-山景雙人房 二小床,雄獅,DBL,墾丁夏都沙灘酒店,946屏東縣恆春鎮墾丁路451號
4141,山景房(特大床或兩床)(Mountain View King or Twin) ,agoda,DBL,墾丁夏都沙灘酒店,946屏東縣恆春鎮墾丁路451號
