價錢,內容,商家,房型,旅館名稱,旅館地址
2610,海景房(Ocean View Room) ,agoda,DBL,九份金瓜石景觀民宿,新北市瑞芳區明里路208號
499,Hostel-8人房（單人入住）(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,SGL,台北晶贊都會旅店,新北市永和區永和路二段168號3樓
499,膠囊八人房,AsiaYo,SGL,台北晶贊都會旅店,新北市永和區永和路二段168號3樓
2380,【附早餐】 標準房 一大床152*188cm,雄獅,DBL,台北晶贊都會旅店,新北市永和區永和路二段168號3樓
2380,標準房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,台北晶贊都會旅店,新北市永和區永和路二段168號3樓
3720,家庭房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,台北晶贊都會旅店,新北市永和區永和路二段168號3樓
3555,雙人房 - 供2餐(Double Half Board) (含早餐與晚餐),agoda,DBL,陽明山攬月會館,新北市金山區中信北路16巷38號
3900,"沽月客房 (免費早餐, 免費無線上網)(不可退費-不可免費取消-免費早餐-一泊二食)(含早餐與晚餐)",Hotels,DBL,陽明山攬月會館,新北市金山區中信北路16巷38號
4800,"攬月客房 (免費早餐, 免費無線上網)(不可退費-不可免費取消-免費早餐-一泊二食)(含早餐與晚餐)",Hotels,FOUR,陽明山攬月會館,新北市金山區中信北路16巷38號
5288,家庭房 - 附2餐(Family Room Half Board) (含早餐與晚餐),agoda,FOUR,陽明山攬月會館,新北市金山區中信北路16巷38號
2680,高級房(兩床)(Superior Twin) ,agoda,DBL,野柳薆悅渡假酒店,新北市萬里區港東路162-3號 
2680,【含早餐】 品悅客房 一大床 / 二小床,雄獅,DBL,野柳薆悅渡假酒店,新北市萬里區港東路162-3號 
3880,【含早餐】 品悅三人房 一大一小床 或 三小床,雄獅,TRP,野柳薆悅渡假酒店,新北市萬里區港東路162-3號 
4965,樂活家庭房(Lohas Family) ,agoda,FOUR,野柳薆悅渡假酒店,新北市萬里區港東路162-3號 
5080,【含早餐】 樂活家庭客房 兩大床(160*200),雄獅,FOUR,野柳薆悅渡假酒店,新北市萬里區港東路162-3號 
5531,高級日式客房(Superior Japanese Style Room) ,agoda,DBL,福隆福容大飯店,臺北縣貢寮鄉福隆村福隆街40號
5832,高級日式房 - 不退款,Booking,DBL,福隆福容大飯店,臺北縣貢寮鄉福隆村福隆街40號
6440,2018 福容假期 新館-旅館區-精緻和洋客房(2人入住) 兩大床,雄獅,DBL,福隆福容大飯店,臺北縣貢寮鄉福隆村福隆街40號
6440,2018 福容假期／精緻和洋客房,旅遊王,DBL,福隆福容大飯店,臺北縣貢寮鄉福隆村福隆街40號
7215,2018福隆金沙奇航冒險趣-早鳥9折 新館-旅館區-精緻和洋客房(2人入住) 兩大床(含早餐與晚餐),雄獅,DBL,福隆福容大飯店,臺北縣貢寮鄉福隆村福隆街40號
7680,"高級別墅, 1 張加大雙人床 (免費早餐, 免費無線上網)(不可退費-不可免費取消-雙人早餐)",Hotels,DBL,福隆福容大飯店,臺北縣貢寮鄉福隆村福隆街40號
9120,"精緻和洋客房 (免費早餐, 免費停車, 免費無線上網)(不可退費-不可免費取消-免費早餐)",Hotels,FOUR,福隆福容大飯店,臺北縣貢寮鄉福隆村福隆街40號
9890,2018 福容假期 經典風呂客房 兩大床,雄獅,FOUR,福隆福容大飯店,臺北縣貢寮鄉福隆村福隆街40號
9890,2018 福容假期／經典風呂客房,旅遊王,FOUR,福隆福容大飯店,臺北縣貢寮鄉福隆村福隆街40號
10080,"經典別墅, 2 張加大雙人床 (免費早餐, 免費無線上網)(不可退費-不可免費取消)",Hotels,FOUR,福隆福容大飯店,臺北縣貢寮鄉福隆村福隆街40號
12462,2018福隆金沙奇航冒險趣-早鳥9折 經典風呂客房 兩大床(含早餐與晚餐),雄獅,FOUR,福隆福容大飯店,臺北縣貢寮鄉福隆村福隆街40號
2260,標準房(兩床)(Standard Twin) ,agoda,DBL,淡水成旅晶贊飯店,25159台北縣淡水鎮中正東路2段91號
2550,晶贊標準房 雙床,Trip,DBL,淡水成旅晶贊飯店,25159台北縣淡水鎮中正東路2段91號
2699,標准雙床間 - 不退款,Booking,DBL,淡水成旅晶贊飯店,25159台北縣淡水鎮中正東路2段91號
