價錢,內容,商家,房型,旅館名稱,旅館地址
3850,高級房(Superior Room) ,agoda,DBL,新竹老爺大酒店,新竹市光復路一段227號
4059,行政房(Executive Room) ,agoda,DBL,新竹煙波大飯店-湖濱本館,新竹市東區明湖路７７３號
4099,【雄獅★線上旅展】加贈7-11商品卡100元 麗池經典客房 一大床,雄獅,DBL,新竹煙波大飯店-湖濱本館,新竹市東區明湖路７７３號
4099,"經典客房 (免費早餐, 免費停車, 免費無線上網)(不可退費-不可免費取消-自助早餐)",Hotels,DBL,新竹煙波大飯店-湖濱本館,新竹市東區明湖路７７３號
6336,四人房(Quadruple Room) ,agoda,FOUR,新竹煙波大飯店-湖濱本館,新竹市東區明湖路７７３號
6399,【雄獅★線上旅展】加贈7-11商品卡100元 香榭四人房 二大床,雄獅,FOUR,新竹煙波大飯店-湖濱本館,新竹市東區明湖路７７３號
6399,"香榭四人房 (免費早餐, 免費停車, 免費無線上網)(不可退費-不可免費取消-自助早餐)",Hotels,FOUR,新竹煙波大飯店-湖濱本館,新竹市東區明湖路７７３號
2125,"精緻雙人房 (免費早餐, 免費停車, 免費無線上網)-季節性優惠: 省 15%(可退費-可免費取消-免費早餐)",Hotels,DBL,新竹尖石峇里森林溫泉渡假村,新竹縣尖石鄉嘉樂村14鄰160號
2250,標准雙人間 （設浴缸） - 不退款,Booking,DBL,新竹尖石峇里森林溫泉渡假村,新竹縣尖石鄉嘉樂村14鄰160號
2250,精致雙人房(提前1天預訂) 大床,Trip,DBL,新竹尖石峇里森林溫泉渡假村,新竹縣尖石鄉嘉樂村14鄰160號
2500,精致四人房 雙床,Trip,FOUR,新竹尖石峇里森林溫泉渡假村,新竹縣尖石鄉嘉樂村14鄰160號
2890,"精緻四人房 (免費早餐, 免費停車, 免費無線上網)-季節性優惠: 省 15%(可退費-可免費取消-免費早餐)",Hotels,FOUR,新竹尖石峇里森林溫泉渡假村,新竹縣尖石鄉嘉樂村14鄰160號
2943,"精緻雙人房 (免費早餐, 免費停車, 免費無線上網)-季節性優惠: 省 11%(可退費-可免費取消-免費早餐)",Hotels,TRP,新竹尖石峇里森林溫泉渡假村,新竹縣尖石鄉嘉樂村14鄰160號
2943,精緻雙人房,Expedia,TRP,新竹尖石峇里森林溫泉渡假村,新竹縣尖石鄉嘉樂村14鄰160號
3060,家庭間 - 不退款,Booking,FOUR,新竹尖石峇里森林溫泉渡假村,新竹縣尖石鄉嘉樂村14鄰160號
3480,標准雙人間 （設浴缸） - 不退款(含早餐與晚餐),Booking,DBL,新竹尖石峇里森林溫泉渡假村,新竹縣尖石鄉嘉樂村14鄰160號
3708,"精緻四人房 (免費早餐, 免費停車, 免費無線上網)-季節性優惠: 省 12%(可退費-可免費取消-免費早餐)",Hotels,QUD,新竹尖石峇里森林溫泉渡假村,新竹縣尖石鄉嘉樂村14鄰160號
3708,精緻四人房,Expedia,QUD,新竹尖石峇里森林溫泉渡假村,新竹縣尖石鄉嘉樂村14鄰160號
5360,家庭間 - 不退款(含早餐與晚餐),Booking,FOUR,新竹尖石峇里森林溫泉渡假村,新竹縣尖石鄉嘉樂村14鄰160號
1184,"標準雙人房, 無窗戶",Expedia,DBL,新竹新舍商旅,新竹市北區西大路658號
1185,"標準雙人房, 無窗戶 (免費早餐, 免費無線上網)-省 25%(不可退費-不可免費取消-免費早餐)",Hotels,DBL,新竹新舍商旅,新竹市北區西大路658號
1351,客房(兩床) - 無窗(No Window Twin Bed) ,agoda,DBL,新竹新舍商旅,新竹市北區西大路658號
1428,雙床間 - 無窗 - 不退款,Booking,DBL,新竹新舍商旅,新竹市北區西大路658號
1444,標準客房 大床,Trip,DBL,新竹新舍商旅,新竹市北區西大路658號
1780,標準客房（一大床）(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,新竹新舍商旅,新竹市北區西大路658號
1008,雙人房(Double Room) ,agoda,DBL,新竹風信子生活旅店,新竹市東區民權路223號
1056,標准雙人間 - 不退款,Booking,DBL,新竹風信子生活旅店,新竹市東區民權路223號
1180,逸悅悠情雙人房,旅遊王,DBL,新竹風信子生活旅店,新竹市東區民權路223號
1280,逸悅悠情雙人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,新竹風信子生活旅店,新竹市東區民權路223號
1720,標准四人間 - 不退款,Booking,FOUR,新竹風信子生活旅店,新竹市東區民權路223號
1744,四人房(Quad Room) ,agoda,FOUR,新竹風信子生活旅店,新竹市東區民權路223號
1880,悠閒雅緻四人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,新竹風信子生活旅店,新竹市東區民權路223號
1880,閒逸雅致 四人房,旅遊王,FOUR,新竹風信子生活旅店,新竹市東區民權路223號
2384,標准家庭間 - 不退款,Booking,QUD,新竹風信子生活旅店,新竹市東區民權路223號
2464,家庭房 - 可住5人(Family Room For 5 Adults) ,agoda,QUD,新竹風信子生活旅店,新竹市東區民權路223號
2480,歡聚時光 五人房,旅遊王,QUD,新竹風信子生活旅店,新竹市東區民權路223號
5883,豪華雙人房(提前1天預訂)(會員特惠) 雙床,Trip,DBL,新竹豐邑喜來登大飯店,新竹縣竹北市光明六路東一段265號
6006,豪華特大房(Deluxe King) ,agoda,DBL,新竹豐邑喜來登大飯店,新竹縣竹北市光明六路東一段265號
6237,【南寮鐵馬追風遊】 限台灣人 豪華雙人房(一大床) 一大床,雄獅,DBL,新竹豐邑喜來登大飯店,新竹縣竹北市光明六路東一段265號
7106,"豪華標準客房, 1 張特大雙人床 (免費停車, 免費無線上網)(不可退費-不可免費取消)",Hotels,TRP,新竹豐邑喜來登大飯店,新竹縣竹北市光明六路東一段265號
7471,豪華房(兩床)(Deluxe Twin) ,agoda,DBL,新竹豐邑喜來登大飯店,新竹縣竹北市光明六路東一段265號
7953,"豪華標準客房, 1 張特大雙人床 (免費早餐, 免費停車, 免費無線上網)(可退費-可免費取消-免費早餐)",Hotels,TRP,新竹豐邑喜來登大飯店,新竹縣竹北市光明六路東一段265號
4000,豪華雙人間 - 帶陽台,Booking,DBL,新竹托斯卡尼田間民宿,30646新竹縣關西鎮坪林56-12號
4000,天秤橘2人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,新竹托斯卡尼田間民宿,30646新竹縣關西鎮坪林56-12號
4799,"風格雙人房, 1 張標準雙人床, 陽台",Expedia,TRP,新竹托斯卡尼田間民宿,30646新竹縣關西鎮坪林56-12號
4800,"風格雙人房, 1 張標準雙人床, 陽台 (免費早餐, 免費無線上網)(可退費-不可免費取消)",Hotels,TRP,新竹托斯卡尼田間民宿,30646新竹縣關西鎮坪林56-12號
5200,帶露台的四人間,Booking,FOUR,新竹托斯卡尼田間民宿,30646新竹縣關西鎮坪林56-12號
5200,"特色四人房, 2 張標準雙人床, 陽台, 山間 (免費早餐, 免費無線上網)(可退費-不可免費取消)",Hotels,FOUR,新竹托斯卡尼田間民宿,30646新竹縣關西鎮坪林56-12號
5200,"特色四人房, 2 張標準雙人床, 陽台, 山間",Expedia,FOUR,新竹托斯卡尼田間民宿,30646新竹縣關西鎮坪林56-12號
5200,水瓶綠4人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,新竹托斯卡尼田間民宿,30646新竹縣關西鎮坪林56-12號
4043,【國人優惠】輕鬆遊不含早 限台灣人 豪華客房 一大床,雄獅,DBL,新竹國賓大飯店,新竹市中華路二段188號
4123,豪華房(特大床)(Deluxe King Bed Room) ,agoda,DBL,新竹國賓大飯店,新竹市中華路二段188號
4418,豪華雙床間 - 不退款,Booking,DBL,新竹國賓大飯店,新竹市中華路二段188號
4418,"豪華客房, 1 張特大雙人床 (免費停車, 免費無線上網)-省 15%(不可退費-不可免費取消)",Hotels,DBL,新竹國賓大飯店,新竹市中華路二段188號
4620,【國人優惠】含早餐 限台灣人 豪華客房 一大床,雄獅,DBL,新竹國賓大飯店,新竹市中華路二段188號
6006,頂級房 - 可住4人(Premier (maximum 4 adults)) ,agoda,FOUR,新竹國賓大飯店,新竹市中華路二段188號
6006,尊榮四人房,Expedia,FOUR,新竹國賓大飯店,新竹市中華路二段188號
6237,【國人優惠】含早餐 限台灣人 尊榮客房(親子房) 二中床,雄獅,FOUR,新竹國賓大飯店,新竹市中華路二段188號
6353,豪華四人間 - 免費取消,Booking,FOUR,新竹國賓大飯店,新竹市中華路二段188號
6353,"尊榮四人房 (免費停車, 免費無線上網)(可退費-可免費取消)",Hotels,FOUR,新竹國賓大飯店,新竹市中華路二段188號
6353,尊榮四人房 雙床,Trip,FOUR,新竹國賓大飯店,新竹市中華路二段188號
6586,豪華房(兩床)(Deluxe Twin Room) ,agoda,DBL,新竹國賓大飯店,新竹市中華路二段188號
