價錢,內容,商家,房型,旅館名稱,旅館地址
1633,高級雙人房(Superior Double) ,agoda,DBL,桃園城市商旅-航空館,桃園縣 大園鄉 埔心村 中正東路４４２號一至九樓
1688,"精緻雙人房 (免費早餐, 免費無線上網)(不可退費-不可免費取消-自助早餐)",Hotels,DBL,桃園城市商旅-航空館,桃園縣 大園鄉 埔心村 中正東路４４２號一至九樓
2029,豪華三人房 雙床,Trip,TRP,桃園城市商旅-航空館,桃園縣 大園鄉 埔心村 中正東路４４２號一至九樓
2188,【純房含早餐】 精緻客房一大床 一大床,雄獅,DBL,桃園城市商旅-航空館,桃園縣 大園鄉 埔心村 中正東路４４２號一至九樓
2987,豪華家庭房(Deluxe Family) ,agoda,FOUR,桃園城市商旅-航空館,桃園縣 大園鄉 埔心村 中正東路４４２號一至九樓
3088,"豪華四人房 (免費早餐, 免費無線上網)(不可退費-不可免費取消-自助早餐)",Hotels,FOUR,桃園城市商旅-航空館,桃園縣 大園鄉 埔心村 中正東路４４２號一至九樓
857,雙人房(Double Room) ,agoda,DBL,桃園壢都渡假飯店,桃園市中壢區中美路二段117號5樓
900,雙人房（一大床）(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,桃園壢都渡假飯店,桃園市中壢區中美路二段117號5樓
1000,"雙人房 （雙床） (免費早餐, 免費無線上網)(不可退費-不可免費取消-免費早餐)",Hotels,DBL,桃園壢都渡假飯店,桃園市中壢區中美路二段117號5樓
1000,雙人房 （雙床）,Expedia,DBL,桃園壢都渡假飯店,桃園市中壢區中美路二段117號5樓
6237,豪華特大號床間 - 單人用 - 不退款,Booking,SGL,桃園大溪笠復威斯汀度假酒店,桃園市大溪區日新路166號
6237,豪華雙床間 - 不退款,Booking,DBL,桃園大溪笠復威斯汀度假酒店,桃園市大溪區日新路166號
6237,"豪華客房 (免費早餐, 免費無線上網)(不可退費-不可免費取消-免費早餐)",Hotels,DBL,桃園大溪笠復威斯汀度假酒店,桃園市大溪區日新路166號
6930,豪華特大房(Deluxe King Room) ,agoda,DBL,桃園大溪笠復威斯汀度假酒店,桃園市大溪區日新路166號
6930,【靈活價格】含早餐 豪華客房一大床 一大床,雄獅,DBL,桃園大溪笠復威斯汀度假酒店,桃園市大溪區日新路166號
7508,【一泊二食專案】早餐+晚餐，4/1~6/28 豪華客房一大床 一大床(含早餐與晚餐),雄獅,DBL,桃園大溪笠復威斯汀度假酒店,桃園市大溪區日新路166號
3825,標準房(兩床)(Standard Twin Room) ,agoda,DBL,桃園華航諾富特-桃園機場飯店,桃園市大園區航站南路1-1號
