價錢,內容,商家,房型,旅館名稱,旅館地址
720,4床混合宿舍間的1個床位,Booking,SGL,澎湖春上村墅民宿,西衛里373號
720,4床位混合宿舍的單人床(Single Bed in 4 Bed Mixed Dormitory Room) ,agoda,SGL,澎湖春上村墅民宿,西衛里373號
3600,四人間 - 帶浴缸,Booking,FOUR,澎湖春上村墅民宿,西衛里373號
4259,高級四人房(Superior Quad Room) ,agoda,FOUR,澎湖春上村墅民宿,西衛里373號
4500,"舒適四人房, 2 張標準雙人床 (免費早餐, 免費無線上網)(不可退費-不可免費取消-免費早餐)",Hotels,FOUR,澎湖春上村墅民宿,西衛里373號
4500,四人間 - 帶陽台 - 不退款,Booking,FOUR,澎湖沐光之居民宿,澎湖縣馬公市民族路96號
1590,標准雙人間 - 帶共用浴室 - 不退款,Booking,DBL,澎湖維亞民宿,澎湖縣湖西鄉港子尾78-1號
2350,四人間 - 帶共用浴室 - 不退款,Booking,TRP,澎湖維亞民宿,澎湖縣湖西鄉港子尾78-1號
2680,【含早餐】 201‧慵懶海風 一大床,雄獅,DBL,澎湖馬公希臘邊境渡假旅店,澎湖縣馬公市山水里59號
4050,【含早餐】 101‧希臘風情 二大床,雄獅,FOUR,澎湖馬公希臘邊境渡假旅店,澎湖縣馬公市山水里59號
11800,海景豪華雙人間 - 帶陽台 - 單人用,Booking,SGL,澎湖23.5蔚藍民宿,西嶼鄉合界村後螺3-2號
13800,海景豪華雙人間 - 帶陽台,Booking,DBL,澎湖23.5蔚藍民宿,西嶼鄉合界村後螺3-2號
2500,好元氣雙人房,AsiaYo,DBL,澎湖幸運海彎海景民宿,880澎湖縣馬公市臨海路20號
3800,好溫馨四人房,AsiaYo,FOUR,澎湖幸運海彎海景民宿,880澎湖縣馬公市臨海路20號
717,【1張床位】6人宿舍 - 限女性(1 Person in 6-Bed Dormitory - Female Only) ,agoda,SGL,澎湖平湖窩行旅,澎湖縣馬公市中興路22號
749,"標準共用宿舍, 男女混合宿舍",Expedia,SGL,澎湖平湖窩行旅,澎湖縣馬公市中興路22號
