價錢,內容,商家,房型,旅館名稱,旅館地址
1580,單人間（城市景） - 不退款,Booking,SGL,花蓮回然慢時旅居,花蓮縣花蓮市國聯一路201號
1580,標準單人房 (入住時配房),Expedia,SGL,花蓮回然慢時旅居,花蓮縣花蓮市國聯一路201號
1650,"標準市景雙人房(一大床) (免費停車, 免費無線上網)(不可退費-不可免費取消)",Hotels,DBL,花蓮回然慢時旅居,花蓮縣花蓮市國聯一路201號
1660,城市景雙床間 - 不退款,Booking,DBL,花蓮回然慢時旅居,花蓮縣花蓮市國聯一路201號
2335,標準市景雙人房(二小床),Expedia,TRP,花蓮回然慢時旅居,花蓮縣花蓮市國聯一路201號
3000,標准家庭間 - 不退款,Booking,FOUR,花蓮回然慢時旅居,花蓮縣花蓮市國聯一路201號
3000,家庭客房 (免費無線上網)(不可退費-不可免費取消),Hotels,FOUR,花蓮回然慢時旅居,花蓮縣花蓮市國聯一路201號
3676,家庭客房,Expedia,QUD,花蓮回然慢時旅居,花蓮縣花蓮市國聯一路201號
4200,慢時四人房 雙床,Trip,FOUR,花蓮回然慢時旅居,花蓮縣花蓮市國聯一路201號
8400,回然雙人房（一大床）(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,花蓮回然慢時旅居,花蓮縣花蓮市國聯一路201號
16400,慢時四人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,花蓮回然慢時旅居,花蓮縣花蓮市國聯一路201號
436,女性宿舍間的1張床位 - 不退款,Booking,SGL,花蓮洄瀾窩國際青年旅舍,花蓮縣花蓮市國聯一路83號
650,【含早餐】 女生專屬背包房-單人床位 上下舖,雄獅,SGL,花蓮洄瀾窩國際青年旅舍,花蓮縣花蓮市國聯一路83號
650,女性專屬單人背包床,AsiaYo,SGL,花蓮洄瀾窩國際青年旅舍,花蓮縣花蓮市國聯一路83號
681,女生背包雙人床,Expedia,DBL,花蓮洄瀾窩國際青年旅舍,花蓮縣花蓮市國聯一路83號
737,男女混住宿舍的雙人床 - 不退款,Booking,DBL,花蓮洄瀾窩國際青年旅舍,花蓮縣花蓮市國聯一路83號
737,"女生背包雙人床 (免費早餐, 免費無線上網)(不可退費-不可免費取消-免費早餐)",Hotels,DBL,花蓮洄瀾窩國際青年旅舍,花蓮縣花蓮市國聯一路83號
