價錢,內容,商家,房型,旅館名稱,旅館地址
2240,經濟雙床間,Booking,DBL,苗栗三義慕哲哈比屋民宿,苗栗縣三義鄉重河路324-12號
2240,四季房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,苗栗三義慕哲哈比屋民宿,苗栗縣三義鄉重河路324-12號
3588,園景雙人間,Booking,DBL,苗栗三義卓也小屋民宿,苗栗縣三義鄉雙潭村崩山下1-9號
4508,園景四人間,Booking,FOUR,苗栗三義卓也小屋民宿,苗栗縣三義鄉雙潭村崩山下1-9號
8320,套房,Expedia,DBL,苗栗兆品酒店,苗栗縣竹南鎮公園路106號
5300,【觀止溫泉早鳥】週六入住再加贈晚餐，2人同行5300元起-觀星情房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,苗栗泰安觀止溫泉會館,苗栗縣泰安鄉圓墩58號
5478,觀星情房雙人房 大床,Trip,DBL,苗栗泰安觀止溫泉會館,苗栗縣泰安鄉圓墩58號
5656,雙人房(Double) ,agoda,DBL,苗栗泰安觀止溫泉會館,苗栗縣泰安鄉圓墩58號
5775,三館觀星情房,Expedia,DBL,苗栗泰安觀止溫泉會館,苗栗縣泰安鄉圓墩58號
8480,【觀止溫泉早鳥】週六入住再加贈晚餐，4人同行8480元起-觀止套房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,苗栗泰安觀止溫泉會館,苗栗縣泰安鄉圓墩58號
9804,套房(1)(Suite 1) ,agoda,FOUR,苗栗泰安觀止溫泉會館,苗栗縣泰安鄉圓墩58號
10009,一館觀日套房,Expedia,FOUR,苗栗泰安觀止溫泉會館,苗栗縣泰安鄉圓墩58號
4875,雙人房(Double) ,agoda,DBL,大湖巧克力雲莊,苗栗縣大湖鄉富興村水尾坪49-2號
5250,【空密兩人房】 空間密碼兩人房 一大床(含早餐與晚餐),雄獅,DBL,大湖巧克力雲莊,苗栗縣大湖鄉富興村水尾坪49-2號
5250,空間密碼雙人套房,AsiaYo,DBL,大湖巧克力雲莊,苗栗縣大湖鄉富興村水尾坪49-2號
6500,家庭房(Family) ,agoda,FOUR,大湖巧克力雲莊,苗栗縣大湖鄉富興村水尾坪49-2號
7580,【空密四人房】 空間密碼四人廣景田野房 二大床(含早餐與晚餐),雄獅,FOUR,大湖巧克力雲莊,苗栗縣大湖鄉富興村水尾坪49-2號
7580,空間密碼田野廣景四人套房,AsiaYo,FOUR,大湖巧克力雲莊,苗栗縣大湖鄉富興村水尾坪49-2號
5700,【2018年度（平日）專案】~含早餐+7-11統一商品卡 觀星情房【11坪】 一大床(併床),雄獅,DBL,泰安觀止溫泉會館,苗栗縣泰安鄉錦水村圓墩58號
8600,【2018年度（平日）專案】~含早餐+7-11統一商品卡 觀止四人套房【16～19坪】 二大床,雄獅,FOUR,泰安觀止溫泉會館,苗栗縣泰安鄉錦水村圓墩58號
1440,雙人間 - 帶陽台 - 單人用,Booking,SGL,苗栗三義薄霧館樓中樓民宿,苗栗縣三義鄉 廣盛村八股路館前8巷1-2號
1600,山景雙人間,Booking,DBL,苗栗三義薄霧館樓中樓民宿,苗栗縣三義鄉 廣盛村八股路館前8巷1-2號
1700,樓中樓二人套房(天花板星空彩繪(可開關)),AsiaYo,DBL,苗栗三義薄霧館樓中樓民宿,苗栗縣三義鄉 廣盛村八股路館前8巷1-2號
2210,山景四人間,Booking,TRP,苗栗三義薄霧館樓中樓民宿,苗栗縣三義鄉 廣盛村八股路館前8巷1-2號
