價錢,內容,商家,房型,旅館名稱,旅館地址
2200,No.3 二大床4人閣樓房,AsiaYo,DBL,金門水頭12號民宿-十八支樑,金門縣金城鎮前水頭12號
3200,No3 家庭房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,金門水頭12號民宿-十八支樑,金門縣金城鎮前水頭12號
3600,No.9四大床8人閣樓房,AsiaYo,FOUR,金門水頭12號民宿-十八支樑,金門縣金城鎮前水頭12號
4800,No5 六人家庭房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,QUD,金門水頭12號民宿-十八支樑,金門縣金城鎮前水頭12號
1200,203房,AsiaYo,DBL,金門大學民宿,金門縣金寧鄉
1600,豪華雙人間 ,Booking,DBL,金門青花瓷民宿,安岐1-6號
1800,豪華家庭套房,Booking,TRP,金門青花瓷民宿,安岐1-6號
1800,舒適四人間,Booking,FOUR,金門青花瓷民宿,安岐1-6號
1829,雙人房 大床,Trip,DBL,金門青花瓷民宿,安岐1-6號
1896,四人房 雙床,Trip,FOUR,金門青花瓷民宿,安岐1-6號
2300,豪華四人房(Deluxe Quad Room) ,agoda,FOUR,金門青花瓷民宿,安岐1-6號
1700,"高級雙人房 (202) (免費停車, 免費無線上網)(不可退費-不可免費取消)",Hotels,DBL,金門老柚木民宿,國順街36號
2400,豪華四人房 雙床,Trip,FOUR,金門老柚木民宿,國順街36號
1600,雙人房(Double) ,agoda,DBL,金門山后海珠民宿,金門縣金沙鎮山后65號
2647,家庭房(Family) ,agoda,FOUR,金門山后海珠民宿,金門縣金沙鎮山后65號
2800,"家庭四人房 (免費早餐, 免費無線上網)(可退費-不可免費取消-免費早餐)",Hotels,FOUR,金門山后海珠民宿,金門縣金沙鎮山后65號
2800,家庭四人房,Expedia,FOUR,金門山后海珠民宿,金門縣金沙鎮山后65號
550,8床混合宿舍間的1張床位 - 不退款,Booking,SGL,金門988古厝民宿,金門縣金城鎮吳厝26號
1000,標准雙人間 - 帶共用浴室 - 免費取消,Booking,DBL,金門988古厝民宿,金門縣金城鎮吳厝26號
1461,四人間 - 帶私人浴室 - 免費取消,Booking,TRP,金門988古厝民宿,金門縣金城鎮吳厝26號
4275,公寓 - 地面樓層 - 不退款,Booking,QUD,金門988古厝民宿,金門縣金城鎮吳厝26號
1800,雙人房(特惠促銷) 大床,Trip,DBL,金門那個地方設計旅店,金門縣金城鎮民生路6號2-3樓
1960,雙人房(Double) ,agoda,DBL,金門那個地方設計旅店,金門縣金城鎮民生路6號2-3樓
2350,三人房(特惠促銷) 床型未知,Trip,TRP,金門那個地方設計旅店,金門縣金城鎮民生路6號2-3樓
2549,三人房(Triple) ,agoda,TRP,金門那個地方設計旅店,金門縣金城鎮民生路6號2-3樓
2900,家庭房(特惠促銷) 雙床,Trip,FOUR,金門那個地方設計旅店,金門縣金城鎮民生路6號2-3樓
3137,家庭房(Family) ,agoda,FOUR,金門那個地方設計旅店,金門縣金城鎮民生路6號2-3樓
1100,雙人間 - 單人用 - 不退款,Booking,SGL,金門金馬玉堂古厝民宿,金門縣金寧鄉后湖64號
1200,雙人間 - 不退款,Booking,DBL,金門金馬玉堂古厝民宿,金門縣金寧鄉后湖64號
1266,溫馨雙人套房 大床,Trip,DBL,金門金馬玉堂古厝民宿,金門縣金寧鄉后湖64號
1874,雙人房(Double Room) ,agoda,DBL,金門拼途拼圖民宿,金門縣金寧鄉埔後206-1號
1800,家庭套房 - 不退款,Booking,TRP,金門金馬玉堂古厝民宿,金門縣金寧鄉后湖64號
1896,舒適家庭套房 床型未知,Trip,TRP,金門金馬玉堂古厝民宿,金門縣金寧鄉后湖64號
1530,標准雙床間 - 帶共用浴室 - 單人用 - 不退款,Booking,SGL,金門水頭6號民宿-歇會兒B&B,金門縣金城鎮前水頭6號
1693,標準房(兩床)(Standard Twin Single) ,agoda,DBL,金門水頭6號民宿-歇會兒B&B,金門縣金城鎮前水頭6號
1700,標准雙床間 - 帶共用浴室 - 不退款,Booking,DBL,金門水頭6號民宿-歇會兒B&B,金門縣金城鎮前水頭6號
1889,雙床雙人房 雙床,Trip,DBL,金門水頭6號民宿-歇會兒B&B,金門縣金城鎮前水頭6號
2584,家庭房 - 可住4人(Family Room (4 Adults)) ,agoda,FOUR,金門水頭6號民宿-歇會兒B&B,金門縣金城鎮前水頭6號
3100,四人間 - 帶共用浴室 - 不退款,Booking,FOUR,金門水頭6號民宿-歇會兒B&B,金門縣金城鎮前水頭6號
3586,家庭四人房 床型未知,Trip,FOUR,金門水頭6號民宿-歇會兒B&B,金門縣金城鎮前水頭6號
1550,大號床間 - 免費取消,Booking,DBL,金門星空民宿,金門縣金湖鎮安民1號
2000,經典三人間 - 免費取消,Booking,TRP,金門星空民宿,金門縣金湖鎮安民1號
1400,標准雙人間 - 單人用,Booking,SGL,金門戀鄉情水頭53號民宿,金門縣金城鎮前水頭53號
2000,標准雙人間,Booking,DBL,金門戀鄉情水頭53號民宿,金門縣金城鎮前水頭53號
2000,標准特大號床間 - 單人用 - 不退款,Booking,SGL,金門落番至南洋民宿,金門縣金寧鄉安美村湖南176號
2500,標准特大號床間 - 不退款,Booking,DBL,金門落番至南洋民宿,金門縣金寧鄉安美村湖南176號
3300,雙人或雙床間 - 可加床 - 不退款,Booking,TRP,金門落番至南洋民宿,金門縣金寧鄉安美村湖南176號
850,"標準雙床房, 2 張單人床, 山景 (免費無線上網)(不可退費-不可免費取消)",Hotels,DBL,金門彩虹行館民宿,金門縣金湖鎮中興路下莊101號
850,雙人房,AsiaYo,DBL,金門彩虹行館民宿,金門縣金湖鎮中興路下莊101號
950,"標準三人房, 山景 (免費無線上網)(不可退費-不可免費取消)",Hotels,TRP,金門彩虹行館民宿,金門縣金湖鎮中興路下莊101號
