價錢,內容,商家,房型,旅館名稱,旅館地址
2000,雅緻二人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,雲林御花園商務汽車旅館-斗六館,640雲林縣斗六市府文路56號
3000,經典四人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,雲林御花園商務汽車旅館-斗六館,640雲林縣斗六市府文路56號
3500,雙人房,AsiaYo,DBL,雲林落羽松莊園,雲林縣斗六市
4000,三人房,AsiaYo,TRP,雲林落羽松莊園,雲林縣斗六市
5000,四人房,AsiaYo,FOUR,雲林落羽松莊園,雲林縣斗六市
25000,包棟,AsiaYo,QUD,雲林落羽松莊園,雲林縣斗六市
3224,標准雙人間 - 單人用 - 不退款,Booking,SGL,雲林虎尾春秋文創設計旅店,雲林縣虎尾鎮信義路69號
3380,標准雙人間 - 不退款,Booking,DBL,雲林虎尾春秋文創設計旅店,雲林縣虎尾鎮信義路69號
1800,出差住好房【商務出差專屬優惠】2人同行$1800起-高級雙人單床房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,斗六華安大飯店,雲林縣斗六市民生路156號9樓
2366,高級雙人房 雙床,Trip,DBL,斗六華安大飯店,雲林縣斗六市民生路156號9樓
2400,高級雙人雙床房,旅遊王,DBL,斗六華安大飯店,雲林縣斗六市民生路156號9樓
3180,學生證無敵【學生訂房促銷專案】4人同行$3180起-豪華雙床房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,斗六華安大飯店,雲林縣斗六市民生路156號9樓
3200,高級四人間 - 不退款,Booking,FOUR,斗六華安大飯店,雲林縣斗六市民生路156號9樓
3400,【含早餐】 豪華雙床四人房 二大床,雄獅,FOUR,斗六華安大飯店,雲林縣斗六市民生路156號9樓
3400,豪華雙床房,旅遊王,FOUR,斗六華安大飯店,雲林縣斗六市民生路156號9樓
2556,御品菁英房 大床,Trip,DBL,雲林御品王朝旅店,630雲林縣斗南鎮建國一路288號 
2700,雙人間 - 不退款,Booking,DBL,雲林御品王朝旅店,630雲林縣斗南鎮建國一路288號 
2700,【住房含早餐】 御品菁英房 一大床(182cm*212cm),雄獅,DBL,雲林御品王朝旅店,630雲林縣斗南鎮建國一路288號 
4000,雙床間 - 不退款,Booking,FOUR,雲林御品王朝旅店,630雲林縣斗南鎮建國一路288號 
2090,【含早餐】 標準客房一大床 一大床,雄獅,DBL,雲林劍湖山王子大飯店,雲林縣古坑鄉永光村大湖口67號
2219,標準客房 大床,Trip,DBL,雲林劍湖山王子大飯店,雲林縣古坑鄉永光村大湖口67號
2352,標準客房,Expedia,DBL,雲林劍湖山王子大飯店,雲林縣古坑鄉永光村大湖口67號
2615,標準雙人房(Standard Double) ,agoda,DBL,雲林劍湖山王子大飯店,雲林縣古坑鄉永光村大湖口67號
