價錢,內容,商家,房型,旅館名稱,旅館地址
1300,雙人房（一大床）(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,馬祖大新民宿,連江縣北竿鄉塘岐村232號
2600,四人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,馬祖大新民宿,連江縣北竿鄉塘岐村232號
1600,標准雙人或雙床間 - 不退款,Booking,DBL,馬祖東引全壘打民宿,連江縣東引鄉中柳村107號
780,8床女性宿舍間的1張床位 - 免費取消,Booking,SGL,馬祖南竿55據點背包客棧,連江縣南竿鄉津沙村150號
1750,雙床間 - 不退款,Booking,DBL,馬祖北海岸飯店-中正館,馬祖北竿鄉塘岐村240號
1700,市景雙人/雙床間 - 不退款,Booking,TRP,馬祖國境之北民宿,連江縣東引鄉樂華村5鄰97號
2448,雙人房(Double) ,agoda,DBL,馬祖星漾海景民宿,連江縣馬祖北竿鄉橋仔村127號
2180,雙床間 - 帶共用浴室,Booking,DBL,馬祖馬悠驛館,連江縣南竿鄉仁愛村4號3樓
1600,【國旅卡限定＊出發去馬祖】兩人同行$1600元起-古街客居雙人雅房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,馬祖津沙文化村,馬祖南竿鄉津沙村70號
1700,古街客居雙人雅房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,馬祖津沙文化村,馬祖南竿鄉津沙村70號
2800,【國旅卡限定＊出發去馬祖】四人同行$2800元起-津沙文化村四人雅房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,馬祖津沙文化村,馬祖南竿鄉津沙村70號
2900,津沙文化村四人雅房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,馬祖津沙文化村,馬祖南竿鄉津沙村70號
1700,三人間 - 帶私人浴室 - 單人用,Booking,SGL,馬祖羅馬佳洲民宿,連江縣北竿鄉塘岐村267之1號
2000,四人間 - 帶私人浴室,Booking,DBL,馬祖羅馬佳洲民宿,連江縣北竿鄉塘岐村267之1號
2400,三人間 - 帶私人浴室,Booking,TRP,馬祖羅馬佳洲民宿,連江縣北竿鄉塘岐村267之1號
1200,標准雙人間 - 不退款,Booking,DBL,馬祖清水灣客棧,連江縣南竿鄉清水村88號
2200,標准雙人間 - 不退款,Booking,DBL,馬祖北澳秘山居民宿,連江縣東引鄉中柳村126號
1200,戰地雙人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,馬祖宏瑞大飯店,連江縣北竿鄉塘岐村146號
1260,雙床間,Booking,DBL,馬祖宏瑞大飯店,連江縣北竿鄉塘岐村146號
1800,標准三人間,Booking,TRP,馬祖宏瑞大飯店,連江縣北竿鄉塘岐村146號
1800,溫馨家庭房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,TRP,馬祖宏瑞大飯店,連江縣北竿鄉塘岐村146號
2160,四人間,Booking,FOUR,馬祖宏瑞大飯店,連江縣北竿鄉塘岐村146號
2200,幸福家庭房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,馬祖宏瑞大飯店,連江縣北竿鄉塘岐村146號
2970,家庭間,Booking,QUD,馬祖宏瑞大飯店,連江縣北竿鄉塘岐村146號
3000,VIP家庭房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,QUD,馬祖宏瑞大飯店,連江縣北竿鄉塘岐村146號
800,二館-女生8人套房(上下舖)(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,SGL,馬祖津沙客棧,連江縣南竿鄉 津沙村12號
2000,本館-海景木雅房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,馬祖津沙客棧,連江縣南竿鄉 津沙村12號
2800,本館-美景木雅房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,TRP,馬祖津沙客棧,連江縣南竿鄉 津沙村12號
2450,雙人間 - 不退款,Booking,DBL,馬祖北海岸飯店-復興館,馬祖北竿塘岐村240號 
2450,雙人房(Double) ,agoda,DBL,馬祖北海岸飯店-復興館,馬祖北竿塘岐村240號 
750,4床宿舍間的1個床位,Booking,SGL,馬祖南竿蓮園民宿,連江縣南竿鄉馬祖村79號
1800,山景雙人間,Booking,DBL,馬祖南竿蓮園民宿,連江縣南竿鄉馬祖村79號
2000,海景雙人套房,AsiaYo,DBL,馬祖香格里拉休閒民宿,馬祖東引鄉
2400,三人海景套房,AsiaYo,TRP,馬祖香格里拉休閒民宿,馬祖東引鄉
2600,彩繪北疆四人房,AsiaYo,FOUR,馬祖香格里拉休閒民宿,馬祖東引鄉
2800,海景四人間,Booking,FOUR,馬祖香格里拉休閒民宿,馬祖東引鄉
700,8床混合宿舍間的1張床位 - 單人用 - 不退款,Booking,SGL,馬祖夫人民宿,連江縣南竿鄉四維村40之1號
1200,8床混合宿舍間的1張床位 - 不退款,Booking,DBL,馬祖夫人民宿,連江縣南竿鄉四維村40之1號
700,混合宿舍間的1張床位 - 不退款,Booking,SGL,馬祖1青年民宿,連江縣南竿鄉津沙村71號
1800,雙人間 - 帶私人浴室 - 單人用,Booking,SGL,馬祖北竿台江大飯店,連江縣北竿鄉塘岐村200號
2000,雙人間 - 帶私人浴室,Booking,DBL,馬祖北竿台江大飯店,連江縣北竿鄉塘岐村200號
2400,三人間 - 帶浴室,Booking,TRP,馬祖北竿台江大飯店,連江縣北竿鄉塘岐村200號
3800,四人間,Booking,FOUR,馬祖北竿台江大飯店,連江縣北竿鄉塘岐村200號
2880,海景雙人間 - 不退款,Booking,DBL,馬祖隴之悅驛宿館,連江縣南竿鄉介壽路215號
3390,山景三人間 - 不退款,Booking,TRP,馬祖隴之悅驛宿館,連江縣南竿鄉介壽路215號
4140,四人間 - 不退款,Booking,FOUR,馬祖隴之悅驛宿館,連江縣南竿鄉介壽路215號
1800,標準房（二小床）(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,馬祖卡蹓英雄館,連江縣南竿鄉馬祖村101-1號
3200,眷探房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,馬祖卡蹓英雄館,連江縣南竿鄉馬祖村101-1號
1700,兩人和式房(1大床),AsiaYo,DBL,馬祖印象北疆風情旅棧,馬祖東引鄉
3000,四人親子套房,AsiaYo,FOUR,馬祖印象北疆風情旅棧,馬祖東引鄉
2000,雙人套房（B：半海景）(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,芹壁地中海,連江縣 北竿鄉 芹壁村 ５４號
2700,三人套房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,TRP,芹壁地中海,連江縣 北竿鄉 芹壁村 ５４號
3600,【國旅卡最優惠】五人同行只要$3600元起-五人套房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,QUD,芹壁地中海,連江縣 北竿鄉 芹壁村 ５４號
3780,【國旅卡最優惠】四人同行只要$3780元起-四人套房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,芹壁地中海,連江縣 北竿鄉 芹壁村 ５４號
1600,雙人房（一大床）(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,馬祖東方明珠旅館,馬祖南竿鄉介壽村88號
2800,四人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,馬祖東方明珠旅館,馬祖南竿鄉介壽村88號
2200,海景二人套房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,馬祖美芹居民宿,連江縣北竿鄉芹壁村28之2號
3300,海景三人套房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,TRP,馬祖美芹居民宿,連江縣北竿鄉芹壁村28之2號
