價錢,內容,商家,房型,旅館名稱,旅館地址
700,單人房 - 需共用衛浴(Single Shared Bathroom) ,agoda,SGL,高雄承億輕旅,高雄市新興區中山一路145號
800,"單人房, 共用浴室",Expedia,SGL,高雄承億輕旅,高雄市新興區中山一路145號
1059,標準雙人房 - 無窗(Standard Double No Window) ,agoda,DBL,高雄承億輕旅,高雄市新興區中山一路145號
1733,四人房 - 無窗(Quad No Window) ,agoda,FOUR,高雄承億輕旅,高雄市新興區中山一路145號
776,經濟雙人房(Economy Double Room) ,agoda,DBL,高雄85天空民宿,高雄市苓雅區自強三路12樓之11
828,經濟雙人房 (免費無線上網)(不可退費-不可免費取消),Hotels,DBL,高雄85天空民宿,高雄市苓雅區自強三路12樓之11
828,中庭雙人房 大床,Trip,DBL,高雄85天空民宿,高雄市苓雅區自強三路12樓之11
828,精品主題｜標準雙人房(無景),AsiaYo,DBL,高雄85天空民宿,高雄市苓雅區自強三路12樓之11
1342,高級四人房(Superior Quadruple) ,agoda,FOUR,高雄85天空民宿,高雄市苓雅區自強三路12樓之11
1399,高級四人房 (免費無線上網)(不可退費-不可免費取消),Hotels,FOUR,高雄85天空民宿,高雄市苓雅區自強三路12樓之11
1468,中庭四人房 雙床,Trip,FOUR,高雄85天空民宿,高雄市苓雅區自強三路12樓之11
1499,精品主題｜高級四人房 (無景),AsiaYo,FOUR,高雄85天空民宿,高雄市苓雅區自強三路12樓之11
1380,標準房(兩床) - 無窗(Standard Twin No Window) ,agoda,DBL,高雄城市商旅-真愛館,高雄市鹽埕區大義街1號
1500,標准無窗雙床間 - 不退款,Booking,DBL,高雄城市商旅-真愛館,高雄市鹽埕區大義街1號
1500,"標準雙人房, 無窗戶 (免費無線上網)-省 40%(不可退費-不可免費取消)",Hotels,DBL,高雄城市商旅-真愛館,高雄市鹽埕區大義街1號
1740,豪華房(兩床)(Deluxe Twin Bed Room) ,agoda,DBL,高雄城市商旅-真愛館,高雄市鹽埕區大義街1號
1980,城市景雙床間 - 不退款,Booking,DBL,高雄城市商旅-真愛館,高雄市鹽埕區大義街1號
1980,"市景城市雙人客房 (免費早餐, 免費無線上網)-省 40%(不可退費-不可免費取消-免費早餐)",Hotels,DBL,高雄城市商旅-真愛館,高雄市鹽埕區大義街1號
2340,家庭房 - 無窗(Family Room - No Window) ,agoda,FOUR,高雄城市商旅-真愛館,高雄市鹽埕區大義街1號
2460,標准四人間 - 無窗 - 不退款,Booking,FOUR,高雄城市商旅-真愛館,高雄市鹽埕區大義街1號
2460,"家庭四人房, 無窗戶 (免費早餐, 免費無線上網)-省 40%(不可退費-不可免費取消-免費早餐)",Hotels,FOUR,高雄城市商旅-真愛館,高雄市鹽埕區大義街1號
3780,高級間 - 帶3張床 - 不退款,Booking,QUD,高雄城市商旅-真愛館,高雄市鹽埕區大義街1號
3780,"精緻六人客房 (免費早餐, 免費無線上網)-省 40%(不可退費-不可免費取消-免費早餐)",Hotels,QUD,高雄城市商旅-真愛館,高雄市鹽埕區大義街1號
3388,假日、端午連假不加價！【四方獨家優惠】每日限量1間！單人出差$3388元起-英迪格高級房一大床  (無窗房 / 10坪)(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,高雄中央公園英迪格酒店,高雄市新興區中山一路4號
3589,英迪格高級房 - 不退款,Booking,DBL,高雄中央公園英迪格酒店,高雄市新興區中山一路4號
3589,高級房(Superior Room) ,agoda,DBL,高雄中央公園英迪格酒店,高雄市新興區中山一路4號
3988,【純住房不含早】 英迪格高級房 一大床(180*200cm),雄獅,DBL,高雄中央公園英迪格酒店,高雄市新興區中山一路4號
3988,英迪格高級房 (免費無線上網)(可退費-可免費取消),Hotels,DBL,高雄中央公園英迪格酒店,高雄市新興區中山一路4號
4563,【純住房含早】 英迪格高級房 一大床(180*200cm),雄獅,DBL,高雄中央公園英迪格酒店,高雄市新興區中山一路4號
4563,"英迪格高級房 (免費早餐, 免費無線上網)(可退費-可免費取消-雙人早餐)",Hotels,DBL,高雄中央公園英迪格酒店,高雄市新興區中山一路4號
5023,英迪格豪華房 (免費無線上網)(可退費-可免費取消),Hotels,TRP,高雄中央公園英迪格酒店,高雄市新興區中山一路4號
5598,"英迪格豪華房 (免費早餐, 免費無線上網)(可退費-可免費取消-雙人早餐)",Hotels,TRP,高雄中央公園英迪格酒店,高雄市新興區中山一路4號
1579,【週日～週五限量促銷】 精緻雙人房 一大床,雄獅,DBL,高雄康橋商旅-後驛九如館,高雄市三民區九如二路339號
1579,平日限定優惠-精緻雙人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,DBL,高雄康橋商旅-後驛九如館,高雄市三民區九如二路339號
1634,高級房(雙人床)(Superior Double Bed) ,agoda,DBL,高雄康橋商旅-後驛九如館,高雄市三民區九如二路339號
1679,"標準客房(照片此房型代表圖，房型格局需以現場實際為準) (免費早餐, 免費無線上網)(不可退費-不可免費取消-自助早餐)",Hotels,DBL,高雄康橋商旅-後驛九如館,高雄市三民區九如二路339號
1679,標準客房(照片此房型代表圖，房型格局需以現場實際為準),Expedia,DBL,高雄康橋商旅-後驛九如館,高雄市三民區九如二路339號
1947,精致雙人房(會員特惠) 大床,Trip,DBL,高雄康橋商旅-後驛九如館,高雄市三民區九如二路339號
2779,【週日～週五限量促銷】 溫馨四人房 二大床,雄獅,FOUR,高雄康橋商旅-後驛九如館,高雄市三民區九如二路339號
2779,平日限定優惠-溫馨四人房(歡迎使用『國旅卡』消費，本站提供多種付款方式，刷卡消費不會加收海外刷卡手續費),四方通行,FOUR,高雄康橋商旅-後驛九如館,高雄市三民區九如二路339號
